family,selection,model_label,top_n,observed_pairs,random_pairs,observed_mean_jaccard,observed_median_jaccard,random_mean_jaccard,random_median_jaccard,observed_mean_overlap_n,random_mean_overlap_n,mannwhitney_p_greater
Concrete,nosmooth,Concrete nosmooth,25,15,7500,0.009580498866213151,0.0,0.0026232571042601456,0.0,0.4666666666666667,0.12826666666666667,0.0004102185294975143
Concrete,nosmooth,Concrete nosmooth,50,15,7500,0.01635529146574802,0.02040816326530612,0.005017801661515404,0.0,1.6,0.4944,8.459956098688324e-07
Concrete,nosmooth,Concrete nosmooth,100,15,7500,0.027926798514224964,0.030927835051546393,0.01023232646425314,0.010101010101010102,5.4,2.0158666666666667,1.1477103987204055e-07
Concrete,nosmooth,Concrete nosmooth,200,15,7500,0.04102357262607933,0.03896103896103896,0.020396437125184463,0.02040816326530612,15.733333333333333,7.977333333333333,9.983316736030261e-11
Concrete,nosmooth,Concrete nosmooth,400,15,7500,0.0631626703227253,0.06524633821571238,0.04169022239810127,0.041666666666666664,47.46666666666667,31.983466666666665,3.6566108929039205e-10
Concrete,smooth,Concrete smooth,25,15,7500,0.006802721088435373,0.0,0.0026107926858686733,0.0,0.3333333333333333,0.1276,0.006140721863986445
Concrete,smooth,Concrete smooth,50,15,7500,0.010898521649626213,0.010101010101010102,0.00511403246479218,0.0,1.0666666666666667,0.5037333333333334,0.01759728608743724
Concrete,smooth,Concrete smooth,100,15,7500,0.02267539320774067,0.02040816326530612,0.010236131554105866,0.010101010101010102,4.4,2.0165333333333333,0.00012421304083952403
Concrete,smooth,Concrete smooth,200,15,7500,0.03961755312770259,0.03896103896103896,0.0206116978183284,0.02040816326530612,15.2,8.059333333333333,2.257285335605422e-09
Concrete,smooth,Concrete smooth,400,15,7500,0.0638532622316315,0.0610079575596817,0.041920792905957974,0.041666666666666664,47.93333333333333,32.152,2.2903290860325355e-10
LSPIN,nosmooth,LSPIN nosmooth,25,15,7500,0.004081632653061224,0.0,0.002634814493173157,0.0,0.2,0.1288,0.18132650578649867
LSPIN,nosmooth,LSPIN nosmooth,50,15,7500,0.005400948258091115,0.0,0.005216248396463201,0.0,0.5333333333333333,0.5138666666666667,0.36917475983654935
LSPIN,nosmooth,LSPIN nosmooth,100,15,7500,0.012549248109208898,0.015228426395939087,0.010163033147295605,0.010101010101010102,2.466666666666667,2.002266666666667,0.1261523823427932
LSPIN,nosmooth,LSPIN nosmooth,200,15,7500,0.022375231543147817,0.023017902813299233,0.02046892562701655,0.02040816326530612,8.733333333333333,8.004666666666667,0.11671609945513162
LSPIN,nosmooth,LSPIN nosmooth,400,15,7500,0.043743324071133044,0.044386422976501305,0.04168337096978125,0.041666666666666664,33.46666666666667,31.9764,0.170962673957558
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,25,15,7500,0.005442176870748299,0.0,0.0026122666087711696,0.0,0.26666666666666666,0.12773333333333334,0.045062225293050984
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,50,15,7500,0.008809180237751667,0.010101010101010102,0.0051097445809523264,0.0,0.8666666666666667,0.5033333333333333,0.02638182534274629
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,100,15,7500,0.018039846475822092,0.02040816326530612,0.010063504540573759,0.010101010101010102,3.533333333333333,1.9832,3.713508289096074e-05
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,200,15,7500,0.02619975674254015,0.02564102564102564,0.02036043037463947,0.02040816326530612,10.2,7.962933333333333,0.00041049539460227743
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,400,15,7500,0.046687766210746766,0.04712041884816754,0.04180807215495255,0.041666666666666664,35.666666666666664,32.068133333333336,0.0020168201180832484
