family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,nosmooth,Concrete nosmooth,ENSG00000070756,4,BRCA,4,1.0,0.9338675439357758,2958.0,6.5670234607252596,2.1227817702336345,4.677554964249641,1.0,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554],,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000118785,4,BRCA,2,0.5,0.7535822093486786,2387.0,13.862310313375144,1.6175911821719007,12.244719131203244,1.0,SPP1,secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255],Reported breast-cancer prognostic and tumor-microenvironment context,True
LSPIN,smooth_lamx0p25_smooth0p15,LSPIN smooth,ENSG00000137825,4,BRCA,2,0.5,0.8053800463676453,2551.0,8.989170620495548,2.2656000682230766,6.80596419120007,1.0,ITPKA,inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178],,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000146648,3,BRCA,3,1.0,0.712436854839325,2257.0,16.69916716152158,2.2434407258238567,14.455726435697724,1.0,EGFR,epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236],Basal-like / triple-negative breast cancer marker and therapeutic target context,True
Concrete,smooth,Concrete smooth,ENSG00000146648,3,BRCA,3,1.0,0.6717171669006348,2128.0,15.616132812242531,2.646471756672299,13.925628643441677,1.0,EGFR,epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236],Basal-like / triple-negative breast cancer marker and therapeutic target context,True
Concrete,nosmooth,Concrete nosmooth,ENSG00000260244,3,BRCA,3,1.0,0.8073887228965759,2557.0,11.268670385879698,2.437364605088334,8.690289774424194,1.0,ENSG00000260244,"novel transcript, overlapping GUCY1A3",,False
Concrete,smooth,Concrete smooth,ENSG00000127084,3,BRCA,3,1.0,0.6668771505355835,2112.0,9.346490511800075,2.129427889535881,6.151896310262401,1.0,FGD3,"FYVE, RhoGEF and PH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16027]",Reported breast-cancer prognostic factor,True
Concrete,nosmooth,Concrete nosmooth,ENSG00000142634,3,BRCA,3,1.0,0.8266498446464539,2618.0,7.119683694646111,1.7246692174133478,5.395014477232763,1.0,EFHD2,EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670],,False
Concrete,smooth,Concrete smooth,ENSG00000229953,3,BRCA,3,1.0,0.7493686676025391,2374.0,7.319505499337901,1.9142335540199984,5.016570375144732,1.0,BCAN-AS2,BCAN antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:56267],,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000224189,3,BRCA,3,1.0,0.8215977549552917,2602.0,4.500430350086232,2.1908584817064245,2.309571868379807,0.6666666666666666,HAGLR,HOXD antisense growth-associated long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:43755],,False
Concrete,smooth,Concrete smooth,ENSG00000198353,3,BRCA,3,1.0,0.785669207572937,2489.0,1.0757756280556292,2.218016034246545,-1.305259318069388,0.3333333333333333,HOXC4,homeobox C4 [Source:HGNC Symbol;Acc:HGNC:5126],,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000148848,3,LGG,2,0.6666666666666666,0.4240606129169464,1343.0,17.651682034261093,2.671409615840834,14.395493346029609,1.0,ADAM12,ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190],Reported glioma-associated metalloprotease/prognosis context,True
