model,tumor_type,gene_symbol,ensembl_id,refit_recurrence,same_top_gated_tumor_across_refits,median_gate_rate,median_selected_patients,median_cox_signal_neglog10p,median_random_signal_neglog10p,median_gated_gene_advantage_neglog10p,fraction_refits_beating_random_median,top100_refit_overlap_vs_random_for_model,curated_tumor_gene_note
Concrete nosmooth,BRCA,EGFR,ENSG00000146648,3/6,3/3,0.712436854839325,2257.0,16.69916716152158,2.2434407258238567,14.455726435697724,1.0,5.4 vs 2.0; p=1.1e-07,Basal-like / triple-negative breast cancer marker and therapeutic target context
Concrete smooth,BRCA,EGFR,ENSG00000146648,3/6,3/3,0.6717171669006348,2128.0,15.616132812242531,2.646471756672299,13.925628643441677,1.0,4.4 vs 2.0; p=1.2e-04,Basal-like / triple-negative breast cancer marker and therapeutic target context
Concrete smooth,BRCA,FGD3,ENSG00000127084,3/6,3/3,0.6668771505355835,2112.0,9.346490511800075,2.129427889535881,6.151896310262401,1.0,4.4 vs 2.0; p=1.2e-04,Reported breast-cancer prognostic factor
LSPIN nosmooth,KIRC,COL11A1,ENSG00000060718,2/6,2/2,0.7489737868309021,2372.0,29.649864489813808,2.562580425260111,27.0872840645537,1.0,2.5 vs 2.0; p=0.126,ECM/collagen remodeling marker reported across solid tumors; candidate KIRC context
Concrete smooth,BRCA,EPHB2,ENSG00000133216,2/6,2/2,0.8836757838726044,2799.0,27.319207442447997,2.696773738919153,24.62243370352884,1.0,4.4 vs 2.0; p=1.2e-04,Reported breast-cancer prognostic / receptor-tyrosine-kinase context
Concrete nosmooth,BRCA,SERPINE1,ENSG00000106366,2/6,2/2,0.8997784852981567,2850.0,24.881102241943964,2.1099676419532587,22.771134599990706,1.0,5.4 vs 2.0; p=1.1e-07,Reported breast-cancer prognostic and invasion/ECM context
LSPIN smooth,BRCA,PBK,ENSG00000168078,2/6,2/2,0.8967803120613098,2841.0,24.791280846616967,2.946077986736629,21.845202859880338,1.0,3.5 vs 2.0; p=3.7e-05,Reported breast-cancer proliferation/prognosis context
Concrete smooth,UCEC,CIRBP,ENSG00000099622,2/6,2/2,0.6241371929645538,1977.0,21.517035686467164,2.12577519147733,19.391260494989833,1.0,4.4 vs 2.0; p=1.2e-04,Stress-response RNA-binding protein; candidate UCEC context
LSPIN nosmooth,BRCA,SPP1,ENSG00000118785,2/6,2/2,0.731010913848877,2315.5,18.69472603172554,2.3241352786821268,16.370590753043412,1.0,2.5 vs 2.0; p=0.126,Reported breast-cancer prognostic and tumor-microenvironment context
Concrete smooth,BRCA,TFRC,ENSG00000072274,2/6,2/2,1.0,3167.0,18.670556741405274,2.6963990657821926,15.974157675623083,1.0,4.4 vs 2.0; p=1.2e-04,Iron-uptake marker with cancer proliferation context
Concrete nosmooth,BRCA,TFRC,ENSG00000072274,2/6,2/2,0.99984210729599,3166.5,18.650794326946645,2.7520691281504543,15.898725198796194,1.0,5.4 vs 2.0; p=1.1e-07,Iron-uptake marker with cancer proliferation context
Concrete smooth,BRCA,TTK,ENSG00000112742,2/6,2/2,0.6618250608444214,2096.0,15.33245359206316,2.494968729013104,12.837484863050056,1.0,4.4 vs 2.0; p=1.2e-04,Mitotic checkpoint kinase with breast-cancer proliferation context
Concrete nosmooth,BRCA,CDK6,ENSG00000105810,2/6,2/2,0.8809598982334137,2790.0,15.442013371091445,2.6251735404147487,12.816839830676695,1.0,5.4 vs 2.0; p=1.1e-07,Cell-cycle kinase with breast-cancer relevance
