gene,probe_id
ENSG00000186081,ENSG00000186081.10
ENSG00000205420,ENSG00000205420.9
ENSG00000128422,ENSG00000128422.14
ENSG00000186847,ENSG00000186847.5
ENSG00000211895,ENSG00000211895.4
ENSG00000211592,ENSG00000211592.5
ENSG00000171345,ENSG00000171345.12
ENSG00000211896,ENSG00000211896.5
ENSG00000124102,ENSG00000124102.4
ENSG00000176153,ENSG00000176153.11
ENSG00000106541,ENSG00000106541.10
ENSG00000162896,ENSG00000162896.5
ENSG00000186832,ENSG00000186832.7
ENSG00000086548,ENSG00000086548.8
ENSG00000175793,ENSG00000175793.11
ENSG00000148346,ENSG00000148346.10
ENSG00000124107,ENSG00000124107.5
ENSG00000105388,ENSG00000105388.13
ENSG00000160180,ENSG00000160180.15
ENSG00000163220,ENSG00000163220.10
ENSG00000211677,ENSG00000211677.2
ENSG00000239951,ENSG00000239951.1
ENSG00000169469,ENSG00000169469.8
ENSG00000101443,ENSG00000101443.16
ENSG00000211598,ENSG00000211598.2
ENSG00000211893,ENSG00000211893.3
ENSG00000165215,ENSG00000165215.6
ENSG00000184292,ENSG00000184292.6
ENSG00000160182,ENSG00000160182.2
ENSG00000143546,ENSG00000143546.8
ENSG00000211892,ENSG00000211892.3
ENSG00000211679,ENSG00000211679.2
ENSG00000135480,ENSG00000135480.13
ENSG00000189334,ENSG00000189334.7
ENSG00000129824,ENSG00000129824.14
ENSG00000169474,ENSG00000169474.4
ENSG00000157765,ENSG00000157765.10
ENSG00000160862,ENSG00000160862.11
ENSG00000211890,ENSG00000211890.3
ENSG00000243466,ENSG00000243466.1
ENSG00000196754,ENSG00000196754.9
ENSG00000163993,ENSG00000163993.6
ENSG00000143556,ENSG00000143556.7
ENSG00000211666,ENSG00000211666.2
ENSG00000185479,ENSG00000185479.5
ENSG00000211653,ENSG00000211653.2
ENSG00000168878,ENSG00000168878.15
ENSG00000241351,ENSG00000241351.2
ENSG00000211897,ENSG00000211897.6
ENSG00000211662,ENSG00000211662.2
ENSG00000211949,ENSG00000211949.3
ENSG00000211899,ENSG00000211899.6
ENSG00000143320,ENSG00000143320.7
ENSG00000089356,ENSG00000089356.15
ENSG00000211663,ENSG00000211663.2
ENSG00000211966,ENSG00000211966.2
ENSG00000211659,ENSG00000211659.2
ENSG00000211945,ENSG00000211945.2
ENSG00000171401,ENSG00000171401.13
ENSG00000211959,ENSG00000211959.2
ENSG00000171747,ENSG00000171747.7
ENSG00000211660,ENSG00000211660.3
ENSG00000197249,ENSG00000197249.11
ENSG00000164266,ENSG00000164266.9
ENSG00000131095,ENSG00000131095.10
ENSG00000188257,ENSG00000188257.9
ENSG00000132465,ENSG00000132465.9
ENSG00000102837,ENSG00000102837.6
ENSG00000124664,ENSG00000124664.9
ENSG00000170421,ENSG00000170421.10
ENSG00000263639,ENSG00000263639.4
ENSG00000175084,ENSG00000175084.10
ENSG00000164825,ENSG00000164825.3
ENSG00000167656,ENSG00000167656.4
ENSG00000145423,ENSG00000145423.4
ENSG00000119888,ENSG00000119888.9
ENSG00000102854,ENSG00000102854.13
ENSG00000162366,ENSG00000162366.6
ENSG00000145824,ENSG00000145824.11
ENSG00000211651,ENSG00000211651.3
ENSG00000117472,ENSG00000117472.8
ENSG00000198074,ENSG00000198074.8
ENSG00000127324,ENSG00000127324.7
ENSG00000211668,ENSG00000211668.2
ENSG00000211644,ENSG00000211644.2
ENSG00000189377,ENSG00000189377.7
ENSG00000163631,ENSG00000163631.15
ENSG00000118785,ENSG00000118785.12
ENSG00000135744,ENSG00000135744.7
ENSG00000132698,ENSG00000132698.12
ENSG00000167644,ENSG00000167644.10
ENSG00000204385,ENSG00000204385.9
ENSG00000211648,ENSG00000211648.2
ENSG00000244437,ENSG00000244437.1
ENSG00000270550,ENSG00000270550.1
ENSG00000109846,ENSG00000109846.6
ENSG00000243955,ENSG00000243955.4
ENSG00000081277,ENSG00000081277.10
ENSG00000173432,ENSG00000173432.9
ENSG00000142515,ENSG00000142515.13
ENSG00000012223,ENSG00000012223.11
ENSG00000137673,ENSG00000137673.7
ENSG00000196611,ENSG00000196611.4
ENSG00000211943,ENSG00000211943.2
ENSG00000211673,ENSG00000211673.2
ENSG00000108821,ENSG00000108821.12
ENSG00000138207,ENSG00000138207.11
ENSG00000134240,ENSG00000134240.10
ENSG00000211947,ENSG00000211947.2
ENSG00000224373,ENSG00000224373.3
ENSG00000167244,ENSG00000167244.16
ENSG00000111057,ENSG00000111057.9
ENSG00000101210,ENSG00000101210.9
ENSG00000241794,ENSG00000241794.1
ENSG00000158874,ENSG00000158874.10
ENSG00000178363,ENSG00000178363.4
ENSG00000185499,ENSG00000185499.15
ENSG00000120885,ENSG00000120885.18
ENSG00000189143,ENSG00000189143.9
ENSG00000168542,ENSG00000168542.11
ENSG00000211934,ENSG00000211934.3
