model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
Concrete,0.12,0.0022,0.0,0.7532580171175878,0.06689468594231049
Concrete,0.12,0.0022,0.1,0.8964934705448616,0.044278753792375974
Concrete,0.12,0.0022,0.2,0.8230002380901245,0.10823140433740899
Concrete,0.12,0.0022,0.4,0.8804796817258556,0.0176614443027619
Concrete,0.12,0.00275,0.0,0.8157371783068051,0.025707880534425166
Concrete,0.12,0.00275,0.1,0.9073644336000136,0.014904234054503553
Concrete,0.12,0.00275,0.2,0.8845640769791782,0.020454741898673016
Concrete,0.12,0.00275,0.4,0.9042242552605418,0.045622259590049334
Concrete,0.12,0.0033,0.0,0.7371739455289387,0.033774578741984036
Concrete,0.12,0.0033,0.1,0.9103937767213862,0.024740388488534607
Concrete,0.12,0.0033,0.2,0.8681825670563827,0.07846775925111035
Concrete,0.12,0.0033,0.4,0.7587307975426381,0.1338949110469844
Concrete,0.12,0.0044,0.0,0.7144152931488303,0.038242296710337464
Concrete,0.12,0.0044,0.1,0.856774089716042,0.020642352641752418
Concrete,0.12,0.0044,0.2,0.7730824752211416,0.08837666800343003
Concrete,0.12,0.0044,0.4,0.7416123506469529,0.09507577100541623
Concrete,0.12,0.0055,0.0,0.7373783924887265,0.02165813075256062
Concrete,0.12,0.0055,0.1,0.721817303538351,0.07427750968044843
Concrete,0.12,0.0055,0.2,0.7404417796126491,0.07541104668644026
Concrete,0.12,0.0055,0.4,0.7314555130159207,0.05835125862283703
Concrete,0.15,0.0022,0.0,0.750709551350406,0.04689316026625849
Concrete,0.15,0.0022,0.1,0.9020903210399847,0.004648736597047391
Concrete,0.15,0.0022,0.2,0.8561841145881967,0.07425942522958504
Concrete,0.15,0.0022,0.4,0.8542211900951567,0.07276615418258951
Concrete,0.15,0.00275,0.0,0.7279849363708871,0.08396879518730513
Concrete,0.15,0.00275,0.1,0.9001374613421826,0.02969547848232017
Concrete,0.15,0.00275,0.2,0.8515793926501122,0.0205148341921864
Concrete,0.15,0.00275,0.4,0.8907229469294698,0.027836253393159933
Concrete,0.15,0.0033,0.0,0.788756043812861,0.03930517054134917
Concrete,0.15,0.0033,0.1,0.8161448295960113,0.10361288834689397
Concrete,0.15,0.0033,0.2,0.7793945175681568,0.09281270094205546
Concrete,0.15,0.0033,0.4,0.7524401712144524,0.04379385915864643
Concrete,0.15,0.0044,0.0,0.6737272947764504,0.025749011175087978
Concrete,0.15,0.0044,0.1,0.8466772245316925,0.03725596817882842
Concrete,0.15,0.0044,0.2,0.9024501189716676,0.024129388652584197
Concrete,0.15,0.0044,0.4,0.8264294989288933,0.02966486067384064
Concrete,0.15,0.0055,0.0,0.6177914834627399,0.033363539773299186
Concrete,0.15,0.0055,0.1,0.6565040139890636,0.09834453127217037
Concrete,0.15,0.0055,0.2,0.6699557748917974,0.08982937406234269
