model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.15,0.014,0.1,0,1,0.8050243355446454
LSPIN,lspin_tf,0.15,0.014,0.1,0,2,0.8897572298134577
LSPIN,lspin_tf,0.15,0.014,0.1,1,2,0.8710499847648698
LSPIN,lspin_tf,0.15,0.0105,0.1,0,1,0.8356338580950026
LSPIN,lspin_tf,0.15,0.0105,0.1,0,2,0.8988110056642149
LSPIN,lspin_tf,0.15,0.0105,0.1,1,2,0.8649981447581031
LSPIN,lspin_tf,0.15,0.00875,0.1,0,1,0.8177528390498647
LSPIN,lspin_tf,0.15,0.00875,0.1,0,2,0.9076197468761584
LSPIN,lspin_tf,0.15,0.00875,0.1,1,2,0.8579176107470041
LSPIN,lspin_tf,0.15,0.007,0.1,0,1,0.8572649477738351
LSPIN,lspin_tf,0.15,0.007,0.1,0,2,0.8940305981019128
LSPIN,lspin_tf,0.15,0.007,0.1,1,2,0.8666171402302568
LSPIN,lspin_tf,0.15,0.00525,0.1,0,1,0.81747822083166
LSPIN,lspin_tf,0.15,0.00525,0.1,0,2,0.8993222343331451
LSPIN,lspin_tf,0.15,0.00525,0.1,1,2,0.7920797996067075
LSPIN,lspin_tf,0.12,0.014,0.1,0,1,0.7489069568172219
LSPIN,lspin_tf,0.12,0.014,0.1,0,2,0.7441103488677405
LSPIN,lspin_tf,0.12,0.014,0.1,1,2,0.7864236063587684
LSPIN,lspin_tf,0.12,0.0105,0.1,0,1,0.8762058069002019
LSPIN,lspin_tf,0.12,0.0105,0.1,0,2,0.8410432720880967
LSPIN,lspin_tf,0.12,0.0105,0.1,1,2,0.8006851091976335
LSPIN,lspin_tf,0.12,0.00875,0.1,0,1,0.9006898511470326
LSPIN,lspin_tf,0.12,0.00875,0.1,0,2,0.8624631312576146
LSPIN,lspin_tf,0.12,0.00875,0.1,1,2,0.9253061631151028
LSPIN,lspin_tf,0.12,0.007,0.1,0,1,0.9081477576660676
LSPIN,lspin_tf,0.12,0.007,0.1,0,2,0.8715800886382081
LSPIN,lspin_tf,0.12,0.007,0.1,1,2,0.8877852463326851
LSPIN,lspin_tf,0.12,0.00525,0.1,0,1,0.7801996745630594
