histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6500818330605564,LSPIN,0.15,0.014,0.1,10123
infiltratinglobularcarcinoma,60,0.4603174603174603,LSPIN,0.15,0.014,0.1,10123
other,23,0.5675675675675675,LSPIN,0.15,0.014,0.1,10123
infiltratingductalcarcinoma,220,0.5692307692307692,LSPIN,0.15,0.014,0.1,10124
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,0.15,0.014,0.1,10124
other,23,0.4594594594594595,LSPIN,0.15,0.014,0.1,10124
infiltratingductalcarcinoma,220,0.6657937806873977,LSPIN,0.15,0.014,0.1,10125
infiltratinglobularcarcinoma,60,0.4021164021164021,LSPIN,0.15,0.014,0.1,10125
other,23,0.5945945945945946,LSPIN,0.15,0.014,0.1,10125
infiltratingductalcarcinoma,220,0.5937806873977087,LSPIN,0.15,0.0105,0.1,50123
infiltratinglobularcarcinoma,60,0.4391534391534391,LSPIN,0.15,0.0105,0.1,50123
other,23,0.5135135135135135,LSPIN,0.15,0.0105,0.1,50123
infiltratingductalcarcinoma,220,0.5941080196399345,LSPIN,0.15,0.0105,0.1,50124
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,0.15,0.0105,0.1,50124
other,23,0.4594594594594595,LSPIN,0.15,0.0105,0.1,50124
infiltratingductalcarcinoma,220,0.5711947626841244,LSPIN,0.15,0.0105,0.1,50125
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,0.15,0.0105,0.1,50125
other,23,0.4594594594594595,LSPIN,0.15,0.0105,0.1,50125
infiltratingductalcarcinoma,220,0.5191489361702127,LSPIN,0.15,0.00875,0.1,90123
infiltratinglobularcarcinoma,60,0.4761904761904761,LSPIN,0.15,0.00875,0.1,90123
other,23,0.4864864864864865,LSPIN,0.15,0.00875,0.1,90123
infiltratingductalcarcinoma,220,0.5970540098199673,LSPIN,0.15,0.00875,0.1,90124
infiltratinglobularcarcinoma,60,0.6137566137566137,LSPIN,0.15,0.00875,0.1,90124
other,23,0.4054054054054054,LSPIN,0.15,0.00875,0.1,90124
infiltratingductalcarcinoma,220,0.6340425531914894,LSPIN,0.15,0.00875,0.1,90125
infiltratinglobularcarcinoma,60,0.5185185185185185,LSPIN,0.15,0.00875,0.1,90125
other,23,0.5945945945945946,LSPIN,0.15,0.00875,0.1,90125
infiltratingductalcarcinoma,220,0.611456628477905,LSPIN,0.15,0.007,0.1,130123
infiltratinglobularcarcinoma,60,0.492063492063492,LSPIN,0.15,0.007,0.1,130123
other,23,0.5405405405405406,LSPIN,0.15,0.007,0.1,130123
infiltratingductalcarcinoma,220,0.5950900163666121,LSPIN,0.15,0.007,0.1,130124
infiltratinglobularcarcinoma,60,0.4497354497354497,LSPIN,0.15,0.007,0.1,130124
other,23,0.5135135135135135,LSPIN,0.15,0.007,0.1,130124
infiltratingductalcarcinoma,220,0.6202945990180033,LSPIN,0.15,0.007,0.1,130125
infiltratinglobularcarcinoma,60,0.5079365079365079,LSPIN,0.15,0.007,0.1,130125
other,23,0.5135135135135135,LSPIN,0.15,0.007,0.1,130125
infiltratingductalcarcinoma,220,0.6121112929623568,LSPIN,0.15,0.00525,0.1,170123
infiltratinglobularcarcinoma,60,0.5661375661375662,LSPIN,0.15,0.00525,0.1,170123
other,23,0.4324324324324324,LSPIN,0.15,0.00525,0.1,170123
infiltratingductalcarcinoma,220,0.6147299509001637,LSPIN,0.15,0.00525,0.1,170124
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,0.15,0.00525,0.1,170124
other,23,0.5135135135135135,LSPIN,0.15,0.00525,0.1,170124
infiltratingductalcarcinoma,220,0.628150572831424,LSPIN,0.15,0.00525,0.1,170125
infiltratinglobularcarcinoma,60,0.5185185185185185,LSPIN,0.15,0.00525,0.1,170125
other,23,0.5675675675675675,LSPIN,0.15,0.00525,0.1,170125
infiltratingductalcarcinoma,220,0.6409165302782324,LSPIN,0.12,0.014,0.1,210123
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,0.12,0.014,0.1,210123
other,23,0.5675675675675675,LSPIN,0.12,0.014,0.1,210123
infiltratingductalcarcinoma,220,0.5322422258592472,LSPIN,0.12,0.014,0.1,210124
infiltratinglobularcarcinoma,60,0.5238095238095238,LSPIN,0.12,0.014,0.1,210124
other,23,0.7027027027027027,LSPIN,0.12,0.014,0.1,210124
infiltratingductalcarcinoma,220,0.6127659574468085,LSPIN,0.12,0.014,0.1,210125
