model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
Concrete,0.12,0.0022,0.0,0.2952781263098688,0.361560569260489
Concrete,0.12,0.0022,0.1,0.5216914028197545,0.5656986000145231
Concrete,0.12,0.0022,0.2,0.5808711818562179,0.5879315147740635
Concrete,0.12,0.0022,0.4,0.5058884251448476,0.5419200813642925
Concrete,0.12,0.00275,0.0,0.2738939396595734,0.3617812514824453
Concrete,0.12,0.00275,0.1,0.5184983390163852,0.537131495155827
Concrete,0.12,0.00275,0.2,0.4455743314931219,0.4942724690761984
Concrete,0.12,0.00275,0.4,0.4047926144602955,0.48774038503420886
Concrete,0.12,0.0033,0.0,0.27424064332013837,0.3864517380814432
Concrete,0.12,0.0033,0.1,0.45086890328999507,0.5285109661105745
Concrete,0.12,0.0033,0.2,0.4020681808313135,0.48603664952889786
Concrete,0.12,0.0033,0.4,0.4232249019725239,0.4820785849842791
Concrete,0.12,0.0044,0.0,0.36886787235911034,0.38701911106864967
Concrete,0.12,0.0044,0.1,0.5450194973359752,0.5393962720120128
Concrete,0.12,0.0044,0.2,0.368456949567588,0.4560574678361393
Concrete,0.12,0.0044,0.4,0.4489650598892132,0.4582847630715124
Concrete,0.12,0.0055,0.0,0.3089721814477922,0.41463000328447025
Concrete,0.12,0.0055,0.1,0.35201672178643584,0.3792953303142424
Concrete,0.12,0.0055,0.2,0.40266722764784535,0.4278829202834502
Concrete,0.12,0.0055,0.4,0.30523162319745706,0.37812565608496684
Concrete,0.15,0.0022,0.0,0.24581994226152926,0.3201208856586137
Concrete,0.15,0.0022,0.1,0.43186849466838345,0.5034011858441868
Concrete,0.15,0.0022,0.2,0.4338629633234083,0.5183732483505016
Concrete,0.15,0.0022,0.4,0.5608733986557635,0.5443404908977064
Concrete,0.15,0.00275,0.0,0.3320243294098172,0.3700698014971992
Concrete,0.15,0.00275,0.1,0.401298826472207,0.47575801650200705
Concrete,0.15,0.00275,0.2,0.39723648490434754,0.47011466081998915
Concrete,0.15,0.00275,0.4,0.4858953850293661,0.5584384167771618
Concrete,0.15,0.0033,0.0,0.36482523728017097,0.3980316628816365
Concrete,0.15,0.0033,0.1,0.5411451285279213,0.5535182738307379
Concrete,0.15,0.0033,0.2,0.4812723172266349,0.5075529434278904
Concrete,0.15,0.0033,0.4,0.4129550521062641,0.45163931677038294
Concrete,0.15,0.0044,0.0,0.25655721514956137,0.3314326667406841
Concrete,0.15,0.0044,0.1,0.3452367194807973,0.4314517608039132
Concrete,0.15,0.0044,0.2,0.6096228809769931,0.6215181522051855
Concrete,0.15,0.0044,0.4,0.4426631912922923,0.468191546139094
Concrete,0.15,0.0055,0.0,0.32307986983176307,0.3465213488149943
