model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
Concrete,0.12,0.0022,0.0,0.7532580171175878,0.0668946859423104
Concrete,0.12,0.0022,0.1,0.8964934705448616,0.0442787537923759
Concrete,0.12,0.0022,0.2,0.8230002380901245,0.1082314043374089
Concrete,0.12,0.0022,0.4,0.8804796817258556,0.0176614443027619
Concrete,0.12,0.00275,0.0,0.8157371783068051,0.0257078805344251
Concrete,0.12,0.00275,0.1,0.9073644336000136,0.0149042340545035
Concrete,0.12,0.00275,0.2,0.8845640769791782,0.020454741898673
Concrete,0.12,0.00275,0.4,0.9042242552605418,0.0456222595900493
Concrete,0.12,0.0033,0.0,0.7371739455289387,0.033774578741984
Concrete,0.12,0.0033,0.1,0.9103937767213862,0.0247403884885346
Concrete,0.12,0.0033,0.2,0.8681825670563827,0.0784677592511103
Concrete,0.12,0.0033,0.4,0.7587307975426381,0.1338949110469844
Concrete,0.12,0.0044,0.0,0.7144152931488303,0.0382422967103374
Concrete,0.12,0.0044,0.1,0.856774089716042,0.0206423526417524
Concrete,0.12,0.0044,0.2,0.7730824752211416,0.08837666800343
Concrete,0.12,0.0044,0.4,0.7416123506469529,0.0950757710054162
Concrete,0.12,0.0055,0.0,0.7373783924887265,0.0216581307525606
Concrete,0.12,0.0055,0.1,0.721817303538351,0.0742775096804484
Concrete,0.12,0.0055,0.2,0.7404417796126491,0.0754110466864402
Concrete,0.12,0.0055,0.4,0.7314555130159207,0.058351258622837
Concrete,0.15,0.0022,0.0,0.750709551350406,0.0468931602662584
Concrete,0.15,0.0022,0.1,0.9020903210399848,0.0046487365970473
Concrete,0.15,0.0022,0.2,0.8561841145881967,0.074259425229585
Concrete,0.15,0.0022,0.4,0.8542211900951567,0.0727661541825895
Concrete,0.15,0.00275,0.0,0.7279849363708871,0.0839687951873051
Concrete,0.15,0.00275,0.1,0.9001374613421826,0.0296954784823201
Concrete,0.15,0.00275,0.2,0.8515793926501122,0.0205148341921864
Concrete,0.15,0.00275,0.4,0.8907229469294698,0.0278362533931599
Concrete,0.15,0.0033,0.0,0.788756043812861,0.0393051705413491
Concrete,0.15,0.0033,0.1,0.8161448295960113,0.1036128883468939
Concrete,0.15,0.0033,0.2,0.7793945175681568,0.0928127009420554
Concrete,0.15,0.0033,0.4,0.7524401712144524,0.0437938591586464
Concrete,0.15,0.0044,0.0,0.6737272947764504,0.0257490111750879
Concrete,0.15,0.0044,0.1,0.8466772245316925,0.0372559681788284
Concrete,0.15,0.0044,0.2,0.9024501189716676,0.0241293886525841
Concrete,0.15,0.0044,0.4,0.8264294989288933,0.0296648606738406
Concrete,0.15,0.0055,0.0,0.6177914834627399,0.0333635397732991
Concrete,0.15,0.0055,0.1,0.6565040139890636,0.0983445312721703
Concrete,0.15,0.0055,0.2,0.6699557748917974,0.0898293740623426
Concrete,0.15,0.0055,0.4,0.8652506885916494,0.0184307873596166
L-Concrete,0.12,0.00165,0.0,0.7373609701350561,0.0495055173834622
L-Concrete,0.12,0.00165,0.1,0.9782953257264404,0.0090234173715149
L-Concrete,0.12,0.00165,0.2,0.8934687143029955,0.0624853371274125
L-Concrete,0.12,0.00165,0.4,0.6763441729645113,0.2155627132705446
L-Concrete,0.12,0.00275,0.0,0.7866724344249215,0.0463363231232977
L-Concrete,0.12,0.00275,0.1,0.9594546955464506,0.0158382334989325
L-Concrete,0.12,0.00275,0.2,0.9093062140518696,0.0319284530024101
L-Concrete,0.12,0.00275,0.4,0.7148515180307862,0.1902807554657333
L-Concrete,0.12,0.0033,0.0,0.7197348666864717,0.0572674938417812
L-Concrete,0.12,0.0033,0.1,0.9145466298907996,0.0533322163559463
L-Concrete,0.12,0.0033,0.2,0.9435496831021488,0.0248414517419745
L-Concrete,0.12,0.0033,0.4,0.8825620036355583,0.0523687495698183
L-Concrete,0.12,0.0044,0.0,0.7898665397482603,0.0339652208355775
L-Concrete,0.12,0.0044,0.1,0.9612297991212578,0.0143886572647176
L-Concrete,0.12,0.0044,0.2,0.8956941677288613,0.0411739443286803
L-Concrete,0.12,0.0044,0.4,0.9532070277396886,0.0101891213205559
L-Concrete,0.12,0.0066,0.0,0.636218895427343,0.0842490582689403
L-Concrete,0.12,0.0066,0.1,0.911092030132867,0.0488932261929683
L-Concrete,0.12,0.0066,0.2,0.8794185210511988,0.0086777601058621
L-Concrete,0.12,0.0066,0.4,0.971659688387217,0.00297933667588
L-Concrete,0.15,0.00165,0.0,0.6643842137887671,0.0393073535667932
L-Concrete,0.15,0.00165,0.1,0.8263897952667745,0.1350896264643037
L-Concrete,0.15,0.00165,0.2,0.8024170970662693,0.1195060045789411
L-Concrete,0.15,0.00165,0.4,0.8523445608828819,0.1148318918943881
L-Concrete,0.15,0.00275,0.0,0.5968480158191208,0.0131470658404594
L-Concrete,0.15,0.00275,0.1,0.818397503346076,0.1283099947235171
L-Concrete,0.15,0.00275,0.2,0.8344652104405572,0.0998844133371107
L-Concrete,0.15,0.00275,0.4,0.9063523599600743,0.0568545142769805
L-Concrete,0.15,0.0033,0.0,0.733008683491715,0.0584557105626464
L-Concrete,0.15,0.0033,0.1,0.9492298909412784,0.0218938104309477
L-Concrete,0.15,0.0033,0.2,0.9136594368516642,0.0613897292927448
L-Concrete,0.15,0.0033,0.4,0.9387684175065888,0.0288706735069176
