model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.15,0.014,0.1,0,1,0.4185002027485783,0.4043124957465602
LSPIN,lspin_tf,0.15,0.014,0.1,0,2,0.4230216024639746,0.4620846786392352
LSPIN,lspin_tf,0.15,0.014,0.1,1,2,0.5596768063125723,0.5541825058816204
LSPIN,lspin_tf,0.15,0.0105,0.1,0,1,0.3596850076653168,0.4718318983942871
LSPIN,lspin_tf,0.15,0.0105,0.1,0,2,0.4381589002942875,0.4783598879499742
LSPIN,lspin_tf,0.15,0.0105,0.1,1,2,0.5946649714940667,0.5386109742482803
LSPIN,lspin_tf,0.15,0.00875,0.1,0,1,0.3446765466868233,0.4080935944493989
LSPIN,lspin_tf,0.15,0.00875,0.1,0,2,0.3852855630683436,0.44788447740054
LSPIN,lspin_tf,0.15,0.00875,0.1,1,2,0.3043085572802594,0.3899079327541875
LSPIN,lspin_tf,0.15,0.007,0.1,0,1,0.4250938967499246,0.5037961088104449
LSPIN,lspin_tf,0.15,0.007,0.1,0,2,0.5689517297029323,0.5746051487195648
LSPIN,lspin_tf,0.15,0.007,0.1,1,2,0.5498810019502167,0.5701800545952289
LSPIN,lspin_tf,0.15,0.00525,0.1,0,1,0.6309231251938858,0.5156981048662469
LSPIN,lspin_tf,0.15,0.00525,0.1,0,2,0.3846599564452438,0.491350461367625
LSPIN,lspin_tf,0.15,0.00525,0.1,1,2,0.4303549000278034,0.5018260844301776
LSPIN,lspin_tf,0.12,0.014,0.1,0,1,0.4445608664560684,0.5513943067146765
LSPIN,lspin_tf,0.12,0.014,0.1,0,2,0.4440085999517919,0.5040508466875199
LSPIN,lspin_tf,0.12,0.014,0.1,1,2,0.3823804879781322,0.4792872277298091
LSPIN,lspin_tf,0.12,0.0105,0.1,0,1,0.6312190024719256,0.6081164404862616
LSPIN,lspin_tf,0.12,0.0105,0.1,0,2,0.4128969263921168,0.4611041068290991
LSPIN,lspin_tf,0.12,0.0105,0.1,1,2,0.4782709444208704,0.4980877264995868
LSPIN,lspin_tf,0.12,0.00875,0.1,0,1,0.5830434758832389,0.5809558165971538
LSPIN,lspin_tf,0.12,0.00875,0.1,0,2,0.4392138850893968,0.4599227615418428
LSPIN,lspin_tf,0.12,0.00875,0.1,1,2,0.5039366322215774,0.5505526567058048
LSPIN,lspin_tf,0.12,0.007,0.1,0,1,0.4180218159983463,0.5294158035944215
LSPIN,lspin_tf,0.12,0.007,0.1,0,2,0.350452372099936,0.3824803427362986
LSPIN,lspin_tf,0.12,0.007,0.1,1,2,0.4140317540128369,0.4985315302967952
LSPIN,lspin_tf,0.12,0.00525,0.1,0,1,0.4705856149497655,0.5710445545108348
LSPIN,lspin_tf,0.12,0.00525,0.1,0,2,0.4839995579970118,0.5862094849703279
LSPIN,lspin_tf,0.12,0.00525,0.1,1,2,0.701033262433909,0.6899256454936321
L-LSPIN,lspin_tf,0.15,0.021,0.1,0,1,0.4318732519406011,0.4996239073748778
L-LSPIN,lspin_tf,0.15,0.021,0.1,0,2,0.3792561193789451,0.4687456513751405
L-LSPIN,lspin_tf,0.15,0.021,0.1,1,2,0.4521087101741398,0.5150109073628549
L-LSPIN,lspin_tf,0.15,0.014,0.1,0,1,0.5109042680643712,0.5437504536105683
L-LSPIN,lspin_tf,0.15,0.014,0.1,0,2,0.3155797733327197,0.4296749522412375
L-LSPIN,lspin_tf,0.15,0.014,0.1,1,2,0.2477492836851535,0.3578925397593064
L-LSPIN,lspin_tf,0.15,0.0105,0.1,0,1,0.2751650401581063,0.4232282017484353
L-LSPIN,lspin_tf,0.15,0.0105,0.1,0,2,0.4435193056768068,0.5479757751911486
L-LSPIN,lspin_tf,0.15,0.0105,0.1,1,2,0.5052285389513181,0.5423591386657541
L-LSPIN,lspin_tf,0.15,0.00875,0.1,0,1,0.2725335357331687,0.391366743071363
L-LSPIN,lspin_tf,0.15,0.00875,0.1,0,2,0.618706192342737,0.5872303348783128
L-LSPIN,lspin_tf,0.15,0.00875,0.1,1,2,0.41476660033306,0.5066491067196509
L-LSPIN,lspin_tf,0.15,0.007,0.1,0,1,0.8084696664930011,0.7414543543789325
L-LSPIN,lspin_tf,0.15,0.007,0.1,0,2,0.6327006687063024,0.5821073846444248
L-LSPIN,lspin_tf,0.15,0.007,0.1,1,2,0.6407321482404719,0.6178082986518855
L-LSPIN,lspin_tf,0.12,0.021,0.1,0,1,0.6137897103252776,0.6134774085819346
L-LSPIN,lspin_tf,0.12,0.021,0.1,0,2,0.3638254902782491,0.4566179468429907
L-LSPIN,lspin_tf,0.12,0.021,0.1,1,2,0.4079594153993369,0.5165744599573611
L-LSPIN,lspin_tf,0.12,0.014,0.1,0,1,0.4890853305121301,0.5368288245798009
L-LSPIN,lspin_tf,0.12,0.014,0.1,0,2,0.4375055765630146,0.4808159975587251
L-LSPIN,lspin_tf,0.12,0.014,0.1,1,2,0.5045605079284479,0.5422825023852836
L-LSPIN,lspin_tf,0.12,0.0105,0.1,0,1,0.4684332546060477,0.5532502232256906
L-LSPIN,lspin_tf,0.12,0.0105,0.1,0,2,0.4770184805097364,0.5669430399310066
L-LSPIN,lspin_tf,0.12,0.0105,0.1,1,2,0.5517384076066283,0.5952294561181374
L-LSPIN,lspin_tf,0.12,0.00875,0.1,0,1,0.4185940293695675,0.4786666550728375
L-LSPIN,lspin_tf,0.12,0.00875,0.1,0,2,0.3354661001003752,0.4274485479073425
L-LSPIN,lspin_tf,0.12,0.00875,0.1,1,2,0.5625595676049293,0.5920836987373603
L-LSPIN,lspin_tf,0.12,0.007,0.1,0,1,0.5100080568794081,0.582902260317651
L-LSPIN,lspin_tf,0.12,0.007,0.1,0,2,0.2993460984568201,0.3978961478231977
L-LSPIN,lspin_tf,0.12,0.007,0.1,1,2,0.377772851899827,0.472641849870028
Concrete,concrete,0.15,0.0055,0.1,0,1,0.25387698339188,0.3432835030259296
Concrete,concrete,0.15,0.0055,0.1,0,2,0.3757016949909481,0.4338054712064203
Concrete,concrete,0.15,0.0055,0.1,1,2,0.2932623665310658,0.3561220726141998
Concrete,concrete,0.15,0.0044,0.1,0,1,0.3645118826498559,0.4265864924153348
Concrete,concrete,0.15,0.0044,0.1,0,2,0.3077945327981313,0.3983348066343174
Concrete,concrete,0.15,0.0044,0.1,1,2,0.3634037429944048,0.4694339833620872
Concrete,concrete,0.15,0.0033,0.1,0,1,0.7163753401694473,0.6226846455627072
Concrete,concrete,0.15,0.0033,0.1,0,2,0.4495236809077566,0.5312713149504066
Concrete,concrete,0.15,0.0033,0.1,1,2,0.4575363645065601,0.5065988609790998
Concrete,concrete,0.15,0.00275,0.1,0,1,0.4750616576190256,0.504925071911297
Concrete,concrete,0.15,0.00275,0.1,0,2,0.3752947986607274,0.472991920852629
Concrete,concrete,0.15,0.00275,0.1,1,2,0.3535400231368679,0.4493570567420952
Concrete,concrete,0.15,0.0022,0.1,0,1,0.4040920178024053,0.5046851965470925
Concrete,concrete,0.15,0.0022,0.1,0,2,0.3937215978550319,0.4845244630465055
Concrete,concrete,0.15,0.0022,0.1,1,2,0.497791868347713,0.5209938979389624
Concrete,concrete,0.12,0.0055,0.1,0,1,0.3228524367021085,0.316775904741451
Concrete,concrete,0.12,0.0055,0.1,0,2,0.2703599581713474,0.3444419037936359
Concrete,concrete,0.12,0.0055,0.1,1,2,0.4628377704858515,0.4766681824076403
Concrete,concrete,0.12,0.0044,0.1,0,1,0.5634489842545674,0.5675939805785934
Concrete,concrete,0.12,0.0044,0.1,0,2,0.5981525368974144,0.5653518521167684
Concrete,concrete,0.12,0.0044,0.1,1,2,0.4734569708559438,0.4852429833406764
Concrete,concrete,0.12,0.0033,0.1,0,1,0.4155016686006804,0.4983236088910032
Concrete,concrete,0.12,0.0033,0.1,0,2,0.5165648045811185,0.5307708423941819
Concrete,concrete,0.12,0.0033,0.1,1,2,0.4205402366881863,0.5564384470465381
Concrete,concrete,0.12,0.00275,0.1,0,1,0.4920904435182905,0.5504775772822331
Concrete,concrete,0.12,0.00275,0.1,0,2,0.520611936611837,0.5351338760568718
Concrete,concrete,0.12,0.00275,0.1,1,2,0.542792636919028,0.5257830321283761
Concrete,concrete,0.12,0.0022,0.1,0,1,0.6050521178912484,0.5506020332727163
Concrete,concrete,0.12,0.0022,0.1,0,2,0.6341353505820245,0.5549025709486538
Concrete,concrete,0.12,0.0022,0.1,1,2,0.7366789011168036,0.6758431082399281
L-Concrete,concrete,0.15,0.0066,0.1,0,1,0.5936518974976696,0.6042275284301171
L-Concrete,concrete,0.15,0.0066,0.1,0,2,0.5161864956218529,0.6187423276701992
L-Concrete,concrete,0.15,0.0066,0.1,1,2,0.4387888241803872,0.5479443155600974
L-Concrete,concrete,0.15,0.0044,0.1,0,1,0.490013254649725,0.5755672592563247
L-Concrete,concrete,0.15,0.0044,0.1,0,2,0.4183352226294548,0.4990193714872467
L-Concrete,concrete,0.15,0.0044,0.1,1,2,0.5245497838875445,0.529133230336511
L-Concrete,concrete,0.15,0.0033,0.1,0,1,0.6335114255201222,0.7025915663202916
L-Concrete,concrete,0.15,0.0033,0.1,0,2,0.5230183143537851,0.6543605673381363
L-Concrete,concrete,0.15,0.0033,0.1,1,2,0.5316117834397632,0.6326009280129655
L-Concrete,concrete,0.15,0.00275,0.1,0,1,0.5173325906847683,0.5742129861362675
L-Concrete,concrete,0.15,0.00275,0.1,0,2,0.4851575939875346,0.6241284254109638
L-Concrete,concrete,0.15,0.00275,0.1,1,2,0.4059822303049937,0.4989881020249253
L-Concrete,concrete,0.15,0.00165,0.1,0,1,0.759069236207458,0.7521388364720784
L-Concrete,concrete,0.15,0.00165,0.1,0,2,0.6603054566593469,0.6566523542011553
L-Concrete,concrete,0.15,0.00165,0.1,1,2,0.6834981436806445,0.6862205502243096
L-Concrete,concrete,0.12,0.0066,0.1,0,1,0.6174059884172899,0.5997176684639038
L-Concrete,concrete,0.12,0.0066,0.1,0,2,0.705131902987111,0.7116703045055598
L-Concrete,concrete,0.12,0.0066,0.1,1,2,0.5470111084562291,0.5700340356839293
L-Concrete,concrete,0.12,0.0044,0.1,0,1,0.5007323621751424,0.6285249400983327
L-Concrete,concrete,0.12,0.0044,0.1,0,2,0.5540176452287922,0.6645554478450291
L-Concrete,concrete,0.12,0.0044,0.1,1,2,0.8196608075438593,0.7151165619987697
L-Concrete,concrete,0.12,0.0033,0.1,0,1,0.687947317447025,0.6934895561922707
L-Concrete,concrete,0.12,0.0033,0.1,0,2,0.7569101878236052,0.7739409950358359
L-Concrete,concrete,0.12,0.0033,0.1,1,2,0.8212707535284517,0.7871832801028475
L-Concrete,concrete,0.12,0.00275,0.1,0,1,0.6099166517382176,0.6839843053238437
L-Concrete,concrete,0.12,0.00275,0.1,0,2,0.5720625782018913,0.6574205825561776
L-Concrete,concrete,0.12,0.00275,0.1,1,2,0.5438748269144198,0.6883014012198454
L-Concrete,concrete,0.12,0.00165,0.1,0,1,0.5608803671759875,0.6587839274207928
L-Concrete,concrete,0.12,0.00165,0.1,0,2,0.4923582408369865,0.615966926107446
