model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.15,0.014,0.1,0,1,0.4999318484631783,2.1156462585034013,0.2727272727272727,2.35071806500378,0.3125
LSPIN,lspin_tf,0.15,0.014,0.1,0,2,0.5334579656480435,2.429075333837239,0.3263157894736842,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.15,0.014,0.1,1,2,0.3463131297298445,1.5671453766691863,0.1886792452830188,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,0.15,0.0105,0.1,0,1,0.5740573691053859,2.1940035273368608,0.2857142857142857,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.15,0.0105,0.1,0,2,0.6097276537318898,2.1940035273368608,0.2857142857142857,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.15,0.0105,0.1,1,2,0.4517804842639539,1.6455026455026456,0.2,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.15,0.00875,0.1,0,1,0.4634811125814427,2.429075333837239,0.3263157894736842,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.15,0.00875,0.1,0,2,0.406638779209199,1.802217183169564,0.2233009708737864,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.15,0.00875,0.1,1,2,0.5848380167850775,2.1940035273368608,0.2857142857142857,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,0.15,0.007,0.1,0,1,0.6227376572976002,2.35071806500378,0.3125,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.15,0.007,0.1,0,2,0.6481535182672478,2.35071806500378,0.3125,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.15,0.007,0.1,1,2,0.577652169167254,2.429075333837239,0.3263157894736842,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.15,0.00525,0.1,0,1,0.5431477027507375,2.507432602670698,0.3404255319148936,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.15,0.00525,0.1,0,2,0.7730263153347693,2.6641471403376165,0.3695652173913043,3.291005291005291,0.5
LSPIN,lspin_tf,0.15,0.00525,0.1,1,2,0.6142791489572085,2.429075333837239,0.3263157894736842,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,0.12,0.014,0.1,0,1,0.4086142385326133,1.880574452003024,0.2352941176470588,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.12,0.014,0.1,0,2,0.4449246799370344,2.2723607961703203,0.2989690721649484,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.014,0.1,1,2,0.4195953709872765,2.037288989669942,0.26,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.12,0.0105,0.1,0,1,0.5559651894104672,1.802217183169564,0.2233009708737864,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.12,0.0105,0.1,0,2,0.6194558014985132,2.35071806500378,0.3125,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.0105,0.1,1,2,0.5257831043730632,2.2723607961703203,0.2989690721649484,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00875,0.1,0,1,0.5358098922551162,1.880574452003024,0.2352941176470588,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00875,0.1,0,2,0.398443643122217,2.037288989669942,0.26,2.35071806500378,0.3125
LSPIN,lspin_tf,0.12,0.00875,0.1,1,2,0.6384326812188843,2.6641471403376165,0.3695652173913043,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.007,0.1,0,1,0.526683375994419,2.2723607961703203,0.2989690721649484,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.12,0.007,0.1,0,2,0.6019749311171273,2.742504409171076,0.3846153846153846,2.977576215671454,0.4318181818181818
LSPIN,lspin_tf,0.12,0.007,0.1,1,2,0.5748247314209447,2.2723607961703203,0.2989690721649484,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.00525,0.1,0,1,0.6742276967952,2.35071806500378,0.3125,2.8208616780045355,0.4
LSPIN,lspin_tf,0.12,0.00525,0.1,0,2,0.6497768215956035,2.507432602670698,0.3404255319148936,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.00525,0.1,1,2,0.6522975254157029,2.6641471403376165,0.3695652173913043,2.8208616780045355,0.4
L-LSPIN,lspin_tf,0.15,0.021,0.1,0,1,0.4150079111850444,2.1940035273368608,0.2857142857142857,1.958931720836483,0.2475247524752475
L-LSPIN,lspin_tf,0.15,0.021,0.1,0,2,0.4600364943571118,1.958931720836483,0.2475247524752475,2.1156462585034013,0.2727272727272727
L-LSPIN,lspin_tf,0.15,0.021,0.1,1,2,0.3713907347680749,1.488788107835727,0.1775700934579439,1.958931720836483,0.2475247524752475
L-LSPIN,lspin_tf,0.15,0.014,0.1,0,1,0.4964601378759463,2.1156462585034013,0.2727272727272727,2.6641471403376165,0.3695652173913043
L-LSPIN,lspin_tf,0.15,0.014,0.1,0,2,0.4686041264422369,1.880574452003024,0.2352941176470588,2.1940035273368608,0.2857142857142857
L-LSPIN,lspin_tf,0.15,0.014,0.1,1,2,0.4982332611451759,2.1156462585034013,0.2727272727272727,2.1156462585034013,0.2727272727272727
L-LSPIN,lspin_tf,0.15,0.0105,0.1,0,1,0.5417215155492511,2.6641471403376165,0.3695652173913043,2.2723607961703203,0.2989690721649484
L-LSPIN,lspin_tf,0.15,0.0105,0.1,0,2,0.4004463060136394,2.2723607961703203,0.2989690721649484,1.880574452003024,0.2352941176470588
L-LSPIN,lspin_tf,0.15,0.0105,0.1,1,2,0.5068958873780076,2.35071806500378,0.3125,1.802217183169564,0.2233009708737864
L-LSPIN,lspin_tf,0.15,0.00875,0.1,0,1,0.6501889254602917,2.742504409171076,0.3846153846153846,2.6641471403376165,0.3695652173913043
