model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
Concrete,0.12,0.0022,0.0,0.4879760482037651,2.12167374072136,0.2757793457882638,2.238205063601889,0.29917098689019
Concrete,0.12,0.0022,0.1,0.5115941462942434,2.175921080682986,0.2844750266550578,2.4471577804911138,0.3322105378149375
Concrete,0.12,0.0022,0.2,0.6180221223724528,2.5857898715041574,0.3565127063070064,2.846980767615688,0.4062816362750122
Concrete,0.12,0.0022,0.4,0.5618476921163631,2.3507180650037798,0.3137538540945084,2.3245989753926266,0.3119101123595506
Concrete,0.12,0.00275,0.0,0.3618537229042943,1.6716217351137983,0.2056546776172944,1.8805744520030236,0.2362637362637362
Concrete,0.12,0.00275,0.1,0.5433067330395615,2.5074326026706983,0.3447272146569495,2.298479885781473,0.3036663824509727
Concrete,0.12,0.00275,0.2,0.4132619812952572,1.8022171831695644,0.2238327051351083,2.246241706559167,0.2947321149640737
Concrete,0.12,0.00275,0.4,0.4647104530708613,1.828336272780717,0.228235829628026,2.3507180650037798,0.316323125089395
Concrete,0.12,0.0033,0.0,0.4957904720315828,2.2723607961703203,0.2993373781219684,2.141765348114555,0.2797982013599473
Concrete,0.12,0.0033,0.1,0.3378390332795144,1.5410262870580336,0.186106252186516,1.880574452003024,0.2356108597285068
Concrete,0.12,0.0033,0.2,0.4926856598296847,2.089527168892248,0.2684848484848485,2.559670781893004,0.3515153755174453
Concrete,0.12,0.0033,0.4,0.3149707762983976,1.9066935416141768,0.2414934053856017,2.011169900058789,0.2558415841584158
Concrete,0.12,0.0044,0.0,0.4003231729951853,1.4104308390022675,0.1679635504878223,2.2462417065591667,0.2966057475312748
Concrete,0.12,0.0044,0.1,0.1859913231550725,1.6455026455026456,0.2002903547772434,1.279835390946502,0.1493415463041631
Concrete,0.12,0.0044,0.2,0.3632023813027905,2.1156462585034017,0.2744148006790666,2.011169900058789,0.2588710518863003
Concrete,0.12,0.0044,0.4,0.2217765033189557,1.7760980935584112,0.2196877380045696,1.6193835558914926,0.1963695183321351
Concrete,0.12,0.0055,0.0,0.3536939609669419,2.1156462585034013,0.2727272727272727,1.8544553623918707,0.2317647058823529
Concrete,0.12,0.0055,0.1,0.1347053377029307,1.3320735701688082,0.1565475160117707,1.6455026455026456,0.2002903547772434
Concrete,0.12,0.0055,0.2,0.2025411749945544,1.3320735701688082,0.157826784598844,1.5410262870580331,0.1867433270227755
Concrete,0.12,0.0055,0.4,0.1087155404463608,1.4626690182245738,0.1750725689404934,1.253716301335349,0.1479843815956099
Concrete,0.15,0.0022,0.0,0.4825977812165757,2.141765348114555,0.2781123932826719,1.7499790039472582,0.2170858067997841
Concrete,0.15,0.0022,0.1,0.4474342981820875,1.8283362727807173,0.2293592090537846,2.1940035273368608,0.2871446450920794
Concrete,0.15,0.0022,0.2,0.4623885064110886,2.220122616948014,0.29207550092956,1.749979003947258,0.2162264150943396
Concrete,0.15,0.0022,0.4,0.5786079706089512,2.4029562442260857,0.3238987816307404,2.4290753338372384,0.3271984308597581
Concrete,0.15,0.00275,0.0,0.5207447649624211,2.1940035273368608,0.2882864450127877,2.4813135130595447,0.3382577997598695
Concrete,0.15,0.00275,0.1,0.4887032618302254,2.0895271688922485,0.2689968208464266,2.141765348114555,0.2774027034514938
Concrete,0.15,0.00275,0.2,0.3377844020699841,1.8805744520030236,0.2367657887284055,1.8805744520030236,0.2393318751242791
Concrete,0.15,0.00275,0.4,0.3339234563409447,2.0895271688922485,0.2704896907216494,1.880574452003024,0.2356108597285068
Concrete,0.15,0.0033,0.0,0.5360951353868134,2.089527168892248,0.2693281095843401,2.5857898715041574,0.3555804404628593
Concrete,0.15,0.0033,0.1,0.4964786761221114,2.455194423448392,0.3325893964191836,2.0895271688922485,0.2733031674208144
Concrete,0.15,0.0033,0.2,0.3949142747591471,1.8544553623918707,0.2336432854928912,2.1156462585034017,0.2744148006790666
Concrete,0.15,0.0033,0.4,0.4757556609001975,2.27236079617032,0.3024731561344833,2.2723607961703203,0.2993373781219684
Concrete,0.15,0.0044,0.0,0.3424240032385535,1.9589317208364827,0.2519032580030498,2.063408079281096,0.2656346749226006
Concrete,0.15,0.0044,0.1,0.2765328830667313,1.6193835558914922,0.196655879180151,1.5932644662803392,0.1930880912086933
Concrete,0.15,0.0044,0.2,0.2238326290053272,1.7238599143361049,0.2115384615384615,1.5410262870580331,0.187139282735613
Concrete,0.15,0.0044,0.4,0.2690371789642048,1.279835390946502,0.14920998980632,1.880574452003024,0.2353732803320309
Concrete,0.15,0.0055,0.0,0.3632453035221044,1.6716217351137983,0.2041365086233972,2.1417653481145544,0.2801303135801127
Concrete,0.15,0.0055,0.1,0.0909875065568994,1.044763584446124,0.1195446637924513,1.4104308390022675,0.1675456331419633
Concrete,0.15,0.0055,0.2,0.1321979267289408,1.044763584446124,0.1191709191709191,1.6716217351137983,0.2051153039832284
Concrete,0.15,0.0055,0.4,0.1512723988887951,1.5671453766691863,0.1887497795803209,1.4887881078357268,0.1784740609983327
L-Concrete,0.12,0.00165,0.0,0.5670278173348758,2.429075333837239,0.3267078571053506,2.5074326026706983,0.3432521087160262
L-Concrete,0.12,0.00165,0.1,0.7143598560907624,2.5857898715041574,0.3555602006688962,3.1865289325606785,0.478549866480901
L-Concrete,0.12,0.00165,0.2,0.5932157677439697,2.2723607961703203,0.3017887294216969,2.298479885781473,0.303951367781155
L-Concrete,0.12,0.00165,0.4,0.5519144194765164,2.481313513059545,0.3358234295415959,2.3507180650037798,0.3152380952380952
L-Concrete,0.12,0.00275,0.0,0.5575516727336143,2.4290753338372384,0.3275726740111568,2.4029562442260857,0.3217105263157895
L-Concrete,0.12,0.00275,0.1,0.5253339178506842,2.1940035273368608,0.2860714285714286,2.455194423448392,0.3327380952380952
L-Concrete,0.12,0.00275,0.2,0.6644160344768671,2.69026622994877,0.3751359188111635,2.768623498782229,0.3897435897435897
L-Concrete,0.12,0.00275,0.4,0.4239929882394596,1.906693541614177,0.2403361344537815,1.880574452003024,0.2372777610899837
L-Concrete,0.12,0.0033,0.0,0.4665482331357831,2.1116279370247626,0.2746600671260502,2.127701222939318,0.2779997552217076
L-Concrete,0.12,0.0033,0.1,0.5237849050226783,2.0895271688922485,0.2689968208464266,2.1156462585034013,0.2748970887268759
L-Concrete,0.12,0.0033,0.2,0.446273399616393,1.9328126312253295,0.2439301622469939,2.2723607961703203,0.2996052631578947
L-Concrete,0.12,0.0033,0.4,0.4481412953576502,2.089527168892248,0.2684848484848485,1.958931720836483,0.2476062900407687
L-Concrete,0.12,0.0044,0.0,0.3991175169930479,1.7238599143361053,0.2129273909581999,1.880574452003024,0.2355293221629855
L-Concrete,0.12,0.0044,0.1,0.5579374700324157,2.429075333837239,0.3264137737961926,2.3245989753926266,0.3080846446011936
L-Concrete,0.12,0.0044,0.2,0.3448219426945026,1.7238599143361053,0.2129273909581999,1.7238599143361053,0.2117647058823529
L-Concrete,0.12,0.0044,0.4,0.576250642863765,2.0372889896699418,0.2623424912208221,2.35071806500378,0.3125
L-Concrete,0.12,0.0066,0.0,0.2765585124596643,1.3581926597799612,0.1595310907237512,1.9328126312253295,0.2444130127298444
L-Concrete,0.12,0.0066,0.1,0.4627346900235959,1.981032488968997,0.2520895852588457,2.087518008152929,0.2697932018951163
L-Concrete,0.12,0.0066,0.2,0.4259688934612118,1.8022171831695644,0.2239934053856017,1.8805744520030236,0.2358555683798402
L-Concrete,0.12,0.0066,0.4,0.4039567126402623,1.9328126312253295,0.2438461538461538,1.985050810447636,0.251848714283193
L-Concrete,0.15,0.00165,0.0,0.4831316159270575,1.9589317208364827,0.2478509986921021,2.141765348114555,0.2778361344537814
L-Concrete,0.15,0.00165,0.1,0.5335747655038612,2.298479885781473,0.3057808857808857,2.4290753338372397,0.3331264896272581
L-Concrete,0.15,0.00165,0.2,0.5382254066231644,2.167884437725708,0.2819130127298444,2.559670781893004,0.350239905514136
L-Concrete,0.15,0.00165,0.4,0.7291277499490185,2.8469807676156886,0.4077500834538778,2.925338036449148,0.4213353997158724
L-Concrete,0.15,0.00275,0.0,0.5017678712964498,2.246241706559167,0.2946428571428571,2.2462417065591667,0.297564320229855
L-Concrete,0.15,0.00275,0.1,0.5871345568042168,2.4290753338372384,0.3283469721767594,2.69026622994877,0.375438596491228
L-Concrete,0.15,0.00275,0.2,0.4861009296962221,2.1417653481145544,0.280764163372859,2.167884437725708,0.2826500947967137
L-Concrete,0.15,0.00275,0.4,0.5494077396255561,2.141765348114555,0.2778361344537814,2.376837154614933,0.3171052631578947
L-Concrete,0.15,0.0033,0.0,0.480395354729912,2.167884437725708,0.282815640763075,2.063408079281095,0.2692307692307692
L-Concrete,0.15,0.0033,0.1,0.5376068628321223,1.985050810447636,0.2520094145336863,2.5074326026706983,0.3417227933356965
L-Concrete,0.15,0.0033,0.2,0.5436098265381429,2.089527168892248,0.2695094145336864,2.037288989669942,0.26
L-Concrete,0.15,0.0033,0.4,0.4238034909348152,2.141765348114555,0.2810701577120766,1.8022171831695644,0.226667254763585
L-Concrete,0.15,0.0044,0.0,0.4323414643188552,2.063408079281095,0.2649098474341192,1.985050810447636,0.251848714283193
L-Concrete,0.15,0.0044,0.1,0.498360065907571,2.037288989669942,0.2609890109890109,2.220122616948014,0.2903138528138528
L-Concrete,0.15,0.0044,0.2,0.5231774643275896,2.2462417065591667,0.2949191159717475,2.167884437725708,0.2817424242424242
L-Concrete,0.15,0.0044,0.4,0.5224824612430701,2.063408079281095,0.2672773499750617,2.220122616948014,0.2923633232888506
L-Concrete,0.15,0.0066,0.0,0.3438243543852947,1.4887881078357268,0.1778444654034125,1.8544553623918705,0.2326073728868213
L-Concrete,0.15,0.0066,0.1,0.3861117690682978,1.9328126312253295,0.2439301622469939,2.1156462585034017,0.2733258251754309
L-Concrete,0.15,0.0066,0.2,0.5070464132795464,1.985050810447636,0.251848714283193,2.167884437725708,0.2819130127298444
L-Concrete,0.15,0.0066,0.4,0.45234926560501,2.2723607961703203,0.2997982013599473,1.985050810447636,0.2524175824175824
L-LSPIN,0.12,0.007,0.0,0.4165365794125152,2.220122616948014,0.2903138528138528,1.8022171831695644,0.2238461538461538
L-LSPIN,0.12,0.007,0.1,0.5272495401883718,2.429075333837239,0.3341176470588236,2.3768371546149325,0.3196563573883161
L-LSPIN,0.12,0.007,0.2,0.6133529233127413,2.5857898715041574,0.3551554828150573,2.3507180650037798,0.3125949538795442
L-LSPIN,0.12,0.007,0.4,0.543034930340686,2.3245989753926266,0.3088450181898801,2.429075333837239,0.3264137737961926
L-LSPIN,0.12,0.00875,0.0,0.4230651837490295,2.1156462585034017,0.2744148006790666,1.9066935416141764,0.2401845727088445
L-LSPIN,0.12,0.00875,0.1,0.4545072178293681,1.958931720836483,0.2475247524752475,1.9328126312253295,0.2447978436657681
L-LSPIN,0.12,0.00875,0.2,0.5381961405619505,2.167884437725708,0.2831469295009886,2.324598975392626,0.3093355919442875
L-LSPIN,0.12,0.00875,0.4,0.579609386299016,2.4290753338372384,0.3266067119982452,2.5857898715041574,0.3551487414187642
L-LSPIN,0.12,0.0105,0.0,0.3920390898365924,1.985050810447636,0.2520094145336863,2.1156462585034013,0.2730736991224895
L-LSPIN,0.12,0.0105,0.1,0.4777939733954341,2.2462417065591667,0.2996771026508127,2.063408079281096,0.2651062900407687
L-LSPIN,0.12,0.0105,0.2,0.5546660947156293,2.1940035273368608,0.2860714285714286,2.533551692281851,0.3462719298245614
L-LSPIN,0.12,0.0105,0.4,0.4319669672216095,2.298479885781473,0.3062928581424639,2.0895271688922485,0.2721325988589415
L-LSPIN,0.12,0.014,0.0,0.3609011460982021,1.8544553623918705,0.2319347319347319,2.0895271688922485,0.2689968208464266
L-LSPIN,0.12,0.014,0.1,0.5332077827136469,2.4290753338372384,0.3266067119982452,2.455194423448392,0.3314111045857538
L-LSPIN,0.12,0.014,0.2,0.4443406058579957,2.063408079281096,0.2646728590384811,1.985050810447636,0.2520094145336863
L-LSPIN,0.12,0.014,0.4,0.5305466725603517,2.481313513059545,0.3366334154180057,2.5074326026706983,0.3420466058763931
L-LSPIN,0.12,0.021,0.0,0.3097877059828262,1.6455026455026456,0.2009319606459379,1.51490719744688,0.1814122533748701
L-LSPIN,0.12,0.021,0.1,0.4098604344720786,1.880574452003024,0.2353732803320309,2.089527168892248,0.2684848484848485
L-LSPIN,0.12,0.021,0.2,0.4260609565392197,1.776098093558411,0.2193801344286781,2.063408079281095,0.266347687400319
L-LSPIN,0.12,0.021,0.4,0.476012146944882,2.089527168892248,0.2684848484848485,2.3245989753926266,0.309559750542117
L-LSPIN,0.15,0.007,0.0,0.3748201855035578,1.8363729157379955,0.2299005259836241,1.882583612742343,0.2373658182965657
L-LSPIN,0.15,0.007,0.1,0.6216658344914605,2.533551692281851,0.3462719298245614,2.716385319559923,0.3798180314309347
L-LSPIN,0.15,0.007,0.2,0.5516036433741746,2.194003527336861,0.2868596597618971,2.27236079617032,0.2996223634521506
L-LSPIN,0.15,0.007,0.4,0.5778230469423756,2.141765348114555,0.2834324553950722,2.638028050726464,0.3663230240549828
L-LSPIN,0.15,0.00875,0.0,0.3349307385431683,1.9589317208364827,0.248088578088578,1.6716217351137983,0.2061453686696405
L-LSPIN,0.15,0.00875,0.1,0.5700263965393643,2.3507180650037798,0.314528152260111,2.559670781893004,0.3510498913905457
L-LSPIN,0.15,0.00875,0.2,0.4943987669844563,1.9328126312253295,0.2468357362051994,2.298479885781473,0.303847687400319
L-LSPIN,0.15,0.00875,0.4,0.4494103700953148,2.3245989753926266,0.3083696299313759,1.9066935416141768,0.2394501586080938
L-LSPIN,0.15,0.0105,0.0,0.3791967193552286,1.7238599143361046,0.2116131441374159,1.958931720836483,0.2476062900407687
L-LSPIN,0.15,0.0105,0.1,0.4830212363136327,2.429075333837239,0.3270114298520842,1.985050810447636,0.2525213868952645
L-LSPIN,0.15,0.0105,0.2,0.4384476097063501,2.167884437725708,0.2821892715587348,2.2723607961703203,0.2993373781219684
L-LSPIN,0.15,0.0105,0.4,0.4996944640241968,2.063408079281095,0.2654072731392318,2.063408079281095,0.2672773499750617
L-LSPIN,0.15,0.014,0.0,0.3693213913068567,2.063408079281096,0.2651062900407687,1.906693541614177,0.2393709959231217
L-LSPIN,0.15,0.014,0.1,0.4877658418211197,2.037288989669942,0.2602495543672014,2.324598975392626,0.3093355919442875
L-LSPIN,0.15,0.014,0.2,0.5162281112273764,2.4029562442260857,0.3219034645178421,2.5074326026706983,0.3407258064516129
L-LSPIN,0.15,0.014,0.4,0.506122501427427,1.985050810447636,0.251848714283193,2.298479885781473,0.3059514742683059
L-LSPIN,0.15,0.021,0.0,0.1873423053998412,1.3843117493911146,0.1638888888888888,1.3843117493911146,0.1631655663208437
L-LSPIN,0.15,0.021,0.1,0.4154783801034103,1.880574452003024,0.2369363772158257,2.011169900058789,0.2559255925592559
