model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.15,0.014,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,10123,0,1,1,0.6165438165438165,0.8092105263157895,5,239.91387939453125,239.91961669921875,0.9640971038962688,738.0,520.0,415.87664861355375
LSPIN,lspin_tf,mlp,0.15,0.014,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,10124,1,1,1,0.5490581490581491,0.7598684210526315,10,209.19647216796875,209.1993560791016,0.9466153587928404,502.0,395.0,329.78812838045707
LSPIN,lspin_tf,mlp,0.15,0.014,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,10125,2,1,1,0.6281736281736282,0.8618421052631579,5,214.0587310791016,214.05465698242188,0.9570170360776415,718.0,495.0,394.1880684626556
LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,50123,0,5,1,0.5865683865683866,0.8585526315789473,6,325.7080993652344,325.7106018066406,0.9646517807808656,833.0,648.0,523.6671697026455
LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,50124,1,5,1,0.5690417690417691,0.7384868421052632,9,231.2748413085937,231.27651977539065,0.95623658561495,600.0,465.0,370.4023971971577
LSPIN,lspin_tf,mlp,0.15,0.0105,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,50125,2,5,1,0.5770679770679771,0.8256578947368421,8,265.30419921875,265.31512451171875,0.9544474762072356,653.0,501.0,411.1211801863528
LSPIN,lspin_tf,mlp,0.15,0.00875,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,90123,0,9,1,0.5144963144963145,0.8322368421052632,12,271.8463134765625,271.8553161621094,0.9632835520703192,669.0,530.0,432.64417751400464
LSPIN,lspin_tf,mlp,0.15,0.00875,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,90124,1,9,1,0.572972972972973,0.8388157894736842,5,365.6344909667969,365.6430969238281,0.9694713062793682,1067.0,811.0,653.9912646824282
LSPIN,lspin_tf,mlp,0.15,0.00875,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,90125,2,9,1,0.5978705978705978,0.8519736842105263,6,372.2457275390625,372.23150634765625,0.972384156685448,970.0,749.0,600.9315359678023
LSPIN,lspin_tf,mlp,0.15,0.007,0.1,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,130123,0,13,1,0.5927927927927928,0.8157894736842105,9,401.2856750488281,401.2958068847656,0.9723541626218304,926.0,767.0,635.2798031087895
