family,selection,fold,rep,subgroup,n_subgroups_this_model,k,n_test,n_events_test,cindex_own,cindex_global,cindex_foreign,cindex_random_median,own_minus_global,own_minus_foreign,own_minus_random
Concrete,smooth,0,0,0,4,50,230,27,0.6426746166950597,0.5259795570698467,0.5762350936967632,0.5934838160136287,0.11669505962521298,0.06643952299829647,0.049190800681431
Concrete,smooth,0,0,2,4,50,51,7,0.4682080924855491,0.42196531791907516,0.3352601156069364,0.4624277456647399,0.046242774566473965,0.1329479768786127,0.005780346820809246
Concrete,smooth,0,0,3,4,50,39,6,0.5686274509803921,0.6470588235294118,0.7647058823529411,0.6176470588235294,-0.07843137254901966,-0.196078431372549,-0.0490196078431373
LSPIN,smooth,0,0,0,4,50,88,11,0.6648501362397821,0.4986376021798365,0.7193460490463215,0.510899182561308,0.16621253405994557,-0.054495912806539426,0.1539509536784741
LSPIN,smooth,0,0,1,4,50,142,15,0.5905511811023622,0.6916010498687664,0.7322834645669292,0.5997375328083989,-0.1010498687664042,-0.141732283464567,-0.009186351706036766
LSPIN,smooth,0,0,2,4,50,77,10,0.49081364829396323,0.4041994750656168,0.6876640419947506,0.4671916010498688,0.08661417322834641,-0.19685039370078738,0.023622047244094446
LSPIN,smooth,0,0,3,4,50,38,6,0.8021978021978022,0.6373626373626373,0.7142857142857143,0.6153846153846154,0.16483516483516492,0.08791208791208793,0.18681318681318682
Concrete,smooth,0,1,0,4,50,246,29,0.6444608023555392,0.5800515274199485,0.6146485093853515,0.5899889584100111,0.06440927493559068,0.029812292970187615,0.054471843945528065
Concrete,smooth,0,1,1,4,50,72,8,0.4601449275362319,0.38768115942028986,0.4492753623188406,0.5289855072463768,0.07246376811594202,0.010869565217391297,-0.06884057971014496
LSPIN,smooth,0,1,0,4,50,50,10,0.6204081632653061,0.46122448979591835,0.6,0.5040816326530613,0.15918367346938778,0.020408163265306145,0.11632653061224485
LSPIN,smooth,0,1,1,4,50,69,5,0.8421052631578947,0.8421052631578947,0.7894736842105263,0.6052631578947368,0.0,0.05263157894736836,0.23684210526315785
LSPIN,smooth,0,1,2,4,50,154,18,0.5418326693227091,0.50199203187251,0.46613545816733065,0.5273904382470119,0.03984063745019917,0.07569721115537847,0.014442231075697198
LSPIN,smooth,0,1,3,4,50,72,9,0.3778501628664495,0.6905537459283387,0.6123778501628665,0.5260586319218241,-0.3127035830618892,-0.234527687296417,-0.1482084690553746
Concrete,smooth,1,0,0,4,50,261,38,0.5673049442697914,0.6764789939982853,0.5633038010860246,0.5557302086310374,-0.10917404972849387,0.004001143183766764,0.011574735638753997
