dataset,rep,noise_k,model,test_cindex
brca,0,0,dense_mlp,0.6183926115150324
brca,0,0,Concrete_smooth,0.5358616624091177
brca,0,0,LSPIN_smooth,0.5362546669286696
brca,0,200,dense_mlp,0.5786991550402829
brca,0,200,Concrete_smooth,0.5114953821968953
brca,0,200,LSPIN_smooth,0.5796816663391628
brca,0,1000,dense_mlp,0.6345057968166634
brca,0,1000,Concrete_smooth,0.5488308115543329
brca,0,1000,LSPIN_smooth,0.5435252505403813
brca,1,0,dense_mlp,0.5901167710272466
brca,1,0,Concrete_smooth,0.5740396006092402
brca,1,0,LSPIN_smooth,0.5830089693687596
brca,1,200,dense_mlp,0.5867321035708242
brca,1,200,Concrete_smooth,0.6457945506853952
brca,1,200,LSPIN_smooth,0.607547808427822
brca,1,1000,dense_mlp,0.659671687256727
brca,1,1000,Concrete_smooth,0.5860551700795397
brca,1,1000,LSPIN_smooth,0.5897783042816044
brca,2,0,dense_mlp,0.674741246421493
brca,2,0,Concrete_smooth,0.6604272186743008
brca,2,0,LSPIN_smooth,0.6635102400352345
brca,2,200,dense_mlp,0.6027306760625413
brca,2,200,Concrete_smooth,0.6368641268443074
brca,2,200,LSPIN_smooth,0.6190266461131909
brca,2,1000,dense_mlp,0.6520590178374808
brca,2,1000,Concrete_smooth,0.6524994494604712
brca,2,1000,LSPIN_smooth,0.672979519929531
