dataset,rep,fraction,n_train,model,train_cindex,test_cindex,generalization_gap
brca,0,0.25,154,dense_mlp,0.9368895567242674,0.5401847121241894,0.39670484460007804
brca,0,0.25,154,coxnet_l1ratio0.9,1.0,0.6048339555904892,0.39516604440951075
brca,0,0.25,154,Concrete_smooth,0.9827197595792637,0.5987423855374336,0.3839773740418301
brca,0,0.25,154,LSPIN_smooth,0.9977460555972952,0.6048339555904892,0.392912100006806
brca,0,0.5,307,dense_mlp,0.9896311066799601,0.5704460601296915,0.41918504655026867
brca,0,0.5,307,coxnet_l1ratio0.9,1.0,0.6539595205344861,0.34604047946551386
brca,0,0.5,307,Concrete_smooth,0.9674975074775674,0.5588524268029083,0.4086450806746591
brca,0,0.5,307,LSPIN_smooth,0.9966101694915255,0.530752603654942,0.46585756583658344
brca,0,0.75,460,dense_mlp,0.9929940685979541,0.6130870505010808,0.37990701809687333
brca,0,0.75,460,coxnet_l1ratio0.9,0.9931230121206911,0.6641776380428375,0.3289453740778536
brca,0,0.75,460,Concrete_smooth,0.9604573196939741,0.5873452544704264,0.3731120652235477
brca,0,0.75,460,LSPIN_smooth,0.9915756898478466,0.6024759284731774,0.3890997613746692
brca,0,1.0,614,dense_mlp,0.991308263904526,0.6183926115150324,0.37291565238949353
brca,0,1.0,614,coxnet_l1ratio0.9,0.9660887187570367,0.5804676753782668,0.3856210433787699
brca,0,1.0,614,Concrete_smooth,0.9576671920738572,0.5358616624091177,0.4218055296647395
brca,0,1.0,614,LSPIN_smooth,0.9873451925242063,0.5362546669286696,0.45109052559553664
brca,1,0.25,154,dense_mlp,0.9536474164133738,0.5403621594178372,0.41328525699553664
brca,1,0.25,154,coxnet_l1ratio0.9,0.7895136778115501,0.572347266881029,0.21716641093052114
brca,1,0.25,154,Concrete_smooth,0.9878419452887538,0.6234557454730073,0.3643861998157465
brca,1,0.25,154,LSPIN_smooth,0.9962006079027356,0.5792858351666949,0.4169147727360407
brca,1,0.5,307,dense_mlp,0.9760337552742616,0.5633778981215095,0.4126558571527521
brca,1,0.5,307,coxnet_l1ratio0.9,1.0,0.645625317312574,0.354374682687426
brca,1,0.5,307,Concrete_smooth,0.9843037974683544,0.6551023861905568,0.32920141127779756
brca,1,0.5,307,LSPIN_smooth,0.9942616033755274,0.6077170418006431,0.38654456157488426
brca,1,0.75,460,dense_mlp,0.8949470252648737,0.6105940091386022,0.2843530161262715
brca,1,0.75,460,coxnet_l1ratio0.9,0.6752241238793806,0.5467930275850398,0.1284310962943408
brca,1,0.75,460,Concrete_smooth,0.9709046454767726,0.6111017092570655,0.35980293621970705
brca,1,0.75,460,LSPIN_smooth,0.9930725346373268,0.6334405144694534,0.35963202016787343
brca,1,1.0,614,dense_mlp,0.9821246417642201,0.5901167710272466,0.3920078707369735
brca,1,1.0,614,coxnet_l1ratio0.9,0.9969398163889833,0.6706718564900999,0.32626795989888346
brca,1,1.0,614,Concrete_smooth,0.9644921552436003,0.5740396006092402,0.3904525546343601
brca,1,1.0,614,LSPIN_smooth,0.9943168018652547,0.5830089693687596,0.41130783249649516
brca,2,0.25,154,dense_mlp,0.9863112391930836,0.5534023342876019,0.43290890490548173
brca,2,0.25,154,coxnet_l1ratio0.9,1.0,0.63069808412244,0.36930191587756
brca,2,0.25,154,Concrete_smooth,0.9884726224783862,0.5459149966967628,0.4425576257816234
brca,2,0.25,154,LSPIN_smooth,0.9978386167146974,0.4959260074873376,0.5019126092273598
brca,2,0.5,307,dense_mlp,0.9674767038187466,0.5895177273728254,0.37795897644592125
brca,2,0.5,307,coxnet_l1ratio0.9,1.0,0.6798062100858842,0.32019378991411585
brca,2,0.5,307,Concrete_smooth,0.9802667641147451,0.591719885487778,0.38854687862696713
brca,2,0.5,307,LSPIN_smooth,0.9956148364699433,0.6141818982602951,0.3814329382096482
brca,2,0.75,460,dense_mlp,0.9873865559144747,0.6936798062100858,0.2937067497043888
brca,2,0.75,460,coxnet_l1ratio0.9,0.9530841409013998,0.6073552081039418,0.345728932797458
brca,2,0.75,460,Concrete_smooth,0.9695431472081218,0.5793878000440431,0.39015534716407874
brca,2,0.75,460,LSPIN_smooth,0.9940009229349331,0.5868751376348822,0.40712578530005095
brca,2,1.0,614,dense_mlp,0.9906172839506173,0.674741246421493,0.3158760375291243
brca,2,1.0,614,coxnet_l1ratio0.9,1.0,0.6648315349042061,0.3351684650957939
brca,2,1.0,614,Concrete_smooth,0.9603703703703703,0.6604272186743008,0.29994315169606955
brca,2,1.0,614,LSPIN_smooth,0.9864609053497942,0.6635102400352345,0.32295066531455974
