model,fraction,train_cindex_mean,train_cindex_std,train_cindex_count,test_cindex_mean,test_cindex_std,test_cindex_count,generalization_gap_mean,generalization_gap_std,generalization_gap_count
Concrete_smooth,0.25,0.9863447757821345,0.003155153765300172,3,0.5893710425690679,0.03961071170741847,3,0.39697373321306667,0.04067397169155578,3
Concrete_smooth,0.5,0.9773560230202222,0.008773092733073959,3,0.6018915661604144,0.04892454380278432,3,0.37546445685980795,0.04130601011087659,3
Concrete_smooth,0.75,0.9669683707929563,0.005679679497476182,3,0.592611587923845,0.016499809405714494,3,0.37435678286911117,0.01521444064193246,3
Concrete_smooth,1.0,0.960843239229276,0.0034369658545553503,3,0.590109493897553,0.06381869283083863,3,0.37073374533172304,0.06327901209153053,3
LSPIN_smooth,0.25,0.997261760071576,0.0009201493542843152,3,0.5600152660815073,0.056953941168807025,3,0.4372464939900689,0.05727400736327636,3
LSPIN_smooth,0.5,0.9954955364456654,0.0011788193551804846,3,0.5842171812386268,0.04641437691505035,3,0.41127835520703865,0.047336031182020004,3
LSPIN_smooth,0.75,0.9928830491400356,0.001223669664140412,3,0.6075971935258376,0.023701352213346464,3,0.3852858556141978,0.02397548413421358,3
LSPIN_smooth,1.0,0.9893742999130851,0.004303107611030419,3,0.5942579587775546,0.06436924765530093,3,0.3951163411355305,0.06558642574935926,3
coxnet_l1ratio0.9,0.25,0.9298378926038501,0.12152433477623582,3,0.6026264355313194,0.029237977474405888,3,0.32721145707253063,0.09617521729363063,3
coxnet_l1ratio0.9,0.5,1.0,0.0,3,0.6597970159776482,0.017822475206374533,3,0.3402029840223519,0.0178224752063745,3
coxnet_l1ratio0.9,0.75,0.8738104256338238,0.1731420435235441,3,0.606108624577273,0.058702233100189224,3,0.2677018010565508,0.12090355191037856,3
coxnet_l1ratio0.9,1.0,0.9876761783820066,0.018757798131125804,3,0.6386570222575242,0.05047798932933615,3,0.3490191561244824,0.03200903561686507,3
dense_mlp,0.25,0.9589494041102417,0.02513382142980707,3,0.5446497352765428,0.007580492330436057,3,0.41429966883369884,0.01812333493544661,3
dense_mlp,0.5,0.9777138552576562,0.011172351744368194,3,0.5744472285413421,0.013521452577877131,3,0.403266626716314,0.022158868432380387,3
dense_mlp,0.75,0.9584425499257675,0.055060169710921494,3,0.6391202886165895,0.047266367893408365,3,0.3193222613091779,0.05267596842233427,3
dense_mlp,1.0,0.9880167298731211,0.005114380708987704,3,0.6277502096545907,0.04308130616803479,3,0.36026652021853045,0.03961078660422958,3
