method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected
Concrete_smooth,0,66,0.0,0.0,0.0,358.0151515151515
Concrete_smooth,1,84,0.0,0.0,0.0,374.39285714285717
Concrete_smooth,2,74,0.0,0.0,0.0,366.35135135135135
Concrete_smooth,3,87,0.0,0.0,0.0,356.7931034482759
LSPIN_smooth,0,66,0.0027202966319529046,0.125,0.00266927531305274,368.95454545454544
LSPIN_smooth,1,84,0.0,0.0,0.0,384.0238095238095
LSPIN_smooth,2,74,0.0,0.0,0.0,371.0945945945946
LSPIN_smooth,3,87,0.0,0.0,0.0,382.81609195402297
coxnet_global_matched_k371,0,66,0.0,0.0,0.0,359.0
coxnet_global_matched_k371,1,84,0.0,0.0,0.0,359.0
coxnet_global_matched_k371,2,74,0.0027855153203342623,0.125,0.00273224043715847,359.0
coxnet_global_matched_k371,3,87,0.0027855153203342627,0.125,0.00273224043715847,359.0
