method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected
Concrete_smooth,0,48,0.05868659567343521,0.3361111111111111,0.05265612023684613,85.77083333333333
Concrete_smooth,1,53,0.054440083607920506,0.21886792452830184,0.04541242466229526,60.113207547169814
Concrete_smooth,2,208,0.097680604285296,0.40064102564102566,0.08535732133610627,62.95673076923077
Concrete_smooth,3,2,0.03428683385579937,0.2,0.03015151515151515,87.5
LSPIN_smooth,0,48,0.06049812739697438,0.7305555555555555,0.05917420317773836,181.33333333333334
LSPIN_smooth,1,53,0.057712093794394015,0.7006289308176099,0.05638492094993438,183.24528301886792
LSPIN_smooth,2,208,0.04571652530810384,0.5336538461538461,0.044071809428758574,173.58173076923077
LSPIN_smooth,3,2,0.05851063829787234,0.7333333333333333,0.057291666666666664,188.0
coxnet_global_matched_k121,0,48,0.040983606557377046,0.3333333333333333,0.03787878787878788,122.0
coxnet_global_matched_k121,1,53,0.03278688524590165,0.2666666666666667,0.03007518796992481,122.0
coxnet_global_matched_k121,2,208,0.09016393442622951,0.7333333333333332,0.0873015873015873,122.0
coxnet_global_matched_k121,3,2,0.04918032786885246,0.4,0.04580152671755725,122.0
