method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected
Concrete_smooth,0,66,0.06852616233764987,0.3121212121212121,0.05934073032071931,66.0
Concrete_smooth,1,84,0.06514419653235197,0.292063492063492,0.05618539631580308,67.26190476190476
Concrete_smooth,2,74,0.0630886009610951,0.28198198198198193,0.05411809799314412,68.24324324324324
Concrete_smooth,3,87,0.04979308540240576,0.22835249042145586,0.042538215304814525,70.34482758620689
LSPIN_smooth,0,66,0.04512299775790436,0.506060606060606,0.04327043765122248,168.65151515151516
LSPIN_smooth,1,84,0.059362223513450274,0.6587301587301587,0.057659909575900385,167.23809523809524
LSPIN_smooth,2,74,0.04058463215131202,0.45405405405405397,0.03872156914855094,167.28378378378378
LSPIN_smooth,3,87,0.050738018370330686,0.5532567049808429,0.04878426068211968,163.82758620689654
coxnet_global_matched_k117,0,66,0.06666666666666665,0.5333333333333332,0.06299212598425197,120.0
coxnet_global_matched_k117,1,84,0.033333333333333326,0.2666666666666666,0.03053435114503817,120.0
coxnet_global_matched_k117,2,74,0.033333333333333326,0.2666666666666666,0.03053435114503817,120.0
coxnet_global_matched_k117,3,87,0.06666666666666664,0.5333333333333331,0.06299212598425195,120.0
