model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,mean_affinity_corr,std_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,mean_cluster_ari,mean_cluster_nmi
Concrete,0.12,0.0022,0.0,0.5783920283920284,0.034863695439572996,162.43059794108072,50.84642250303164,0.9636295224652617,0.010246927667432824,1484.1666666666667,722.9166666666666,12,162.4890874226888,50.87548144381757,0.7532580171175878,0.06689468594231049,0.48797604820376517,2.1216737407213597,0.2757793457882638,2.238205063601889,0.29917098689019006,0.2952781263098688,0.361560569260489
Concrete,0.12,0.0022,0.1,0.5604422604422604,0.04597530035608854,129.70149993896484,40.79520174890693,0.9327553458387216,0.020842626549808275,500.75,370.0833333333333,12,129.70609633127847,40.7969832342808,0.8964934705448616,0.044278753792375974,0.5115941462942434,2.175921080682986,0.2844750266550578,2.4471577804911138,0.3322105378149375,0.5216914028197545,0.5656986000145231
Concrete,0.12,0.0022,0.2,0.5066885066885067,0.052432771016495114,105.23043823242188,25.648753858827657,0.9312916600482918,0.021772287283350497,559.3333333333334,342.3333333333333,3,105.23265584309895,25.641606721721466,0.8230002380901245,0.10823140433740899,0.6180221223724528,2.5857898715041574,0.35651270630700643,2.846980767615688,0.4062816362750122,0.5808711818562179,0.5879315147740635
Concrete,0.12,0.0022,0.4,0.5449085449085449,0.03488456412203552,165.77813720703125,45.11950868126433,0.9524907631532055,0.015978884318809113,843.6666666666666,554.6666666666666,3,165.7757110595703,45.07352409071889,0.8804796817258556,0.0176614443027619,0.5618476921163631,2.3507180650037793,0.31375385409450846,2.3245989753926266,0.3119101123595506,0.5058884251448476,0.5419200813642925
Concrete,0.12,0.00275,0.0,0.5694239694239694,0.01947248006584113,83.0471585591634,17.043924905451405,0.9370085112475101,0.008480134717632292,884.3333333333334,394.3333333333333,3,83.05498886108398,17.056605354132966,0.8157371783068051,0.025707880534425166,0.36185372290429435,1.6716217351137985,0.2056546776172944,1.8805744520030234,0.23626373626373623,0.2738939396595734,0.3617812514824453
Concrete,0.12,0.00275,0.1,0.5306033306033305,0.04537895252180917,91.03536987304688,13.997507414204197,0.926896368654412,0.013320827731230387,431.0,303.3333333333333,3,91.02905019124348,13.983114283043921,0.9073644336000136,0.014904234054503553,0.5433067330395615,2.5074326026706983,0.34472721465694955,2.2984798857814734,0.30366638245097277,0.5184983390163852,0.537131495155827
Concrete,0.12,0.00275,0.2,0.5790335790335791,0.017489838713624795,84.75884246826172,5.87581828307707,0.8973206188675967,0.029440551444900844,314.0,231.66666666666666,3,84.73073323567708,5.890072060831592,0.8845640769791782,0.020454741898673016,0.4132619812952572,1.8022171831695644,0.22383270513510836,2.246241706559167,0.2947321149640737,0.4455743314931219,0.4942724690761984
Concrete,0.12,0.00275,0.4,0.538028938028938,0.07584961685627034,116.47695922851561,58.54747503180225,0.9111185334654351,0.04693380883463551,423.3333333333333,306.0,3,116.48913828531902,58.535118525662426,0.9042242552605418,0.045622259590049334,0.4647104530708613,1.828336272780717,0.228235829628026,2.3507180650037793,0.316323125089395,0.4047926144602955,0.48774038503420886
Concrete,0.12,0.0033,0.0,0.5630903630903631,0.04400476487832574,60.497320810953774,9.125997607638691,0.9328194520081668,0.0033539371539722225,665.6666666666666,312.3333333333333,3,60.51986312866211,9.119538244998846,0.7371739455289387,0.033774578741984036,0.49579047203158283,2.2723607961703203,0.2993373781219684,2.141765348114555,0.2797982013599473,0.27424064332013837,0.3864517380814432
Concrete,0.12,0.0033,0.1,0.5283647283647284,0.0369768968473618,66.44158681233723,19.62108142538207,0.8845556356321965,0.016422453811015526,253.0,184.66666666666666,3,66.44736989339192,19.613491789810546,0.9103937767213862,0.024740388488534607,0.3378390332795144,1.5410262870580336,0.18610625218651602,1.8805744520030236,0.2356108597285068,0.45086890328999507,0.5285109661105745
Concrete,0.12,0.0033,0.2,0.542069342069342,0.06825306026747671,89.18649800618489,16.91656790532866,0.9294486200631797,0.015323353839538529,506.6666666666667,330.3333333333333,3,89.22328186035156,16.88936302894449,0.8681825670563827,0.07846775925111035,0.4926856598296847,2.089527168892248,0.2684848484848485,2.5596707818930042,0.3515153755174453,0.4020681808313135,0.48603664952889786
Concrete,0.12,0.0033,0.4,0.5336609336609336,0.02578695319135715,47.29153315226237,15.235817487623768,0.837051619420771,0.03334420130895174,174.33333333333334,131.66666666666666,3,47.29052861531576,15.230782301541947,0.7587307975426381,0.1338949110469844,0.3149707762983976,1.9066935416141766,0.2414934053856017,2.011169900058789,0.25584158415841585,0.4232249019725239,0.4820785849842791
Concrete,0.12,0.0044,0.0,0.4931476931476932,0.025612780276814413,46.95498402913412,13.892642294596216,0.9068021376948098,0.03288481080972747,468.3333333333333,229.33333333333334,3,46.973182678222656,13.922594670348168,0.7144152931488303,0.038242296710337464,0.40032317299518533,1.4104308390022675,0.1679635504878223,2.2462417065591667,0.29660574753127483,0.36886787235911034,0.38701911106864967
Concrete,0.12,0.0044,0.1,0.5042315042315043,0.03490032756614916,24.71918551127116,16.994876712157,0.7277581388909301,0.150019044247991,108.33333333333333,72.0,3,24.707589785257976,16.99392750116179,0.856774089716042,0.020642352641752418,0.1859913231550725,1.6455026455026456,0.20029035477724344,1.2798353909465021,0.1493415463041631,0.5450194973359752,0.5393962720120128
Concrete,0.12,0.0044,0.2,0.5005733005733006,0.04022920018016113,45.32368723551432,8.859630767861216,0.8591046245477436,0.017596893997734602,201.0,136.33333333333334,3,45.32735951741537,8.861651834847965,0.7730824752211416,0.08837666800343003,0.3632023813027905,2.1156462585034017,0.2744148006790666,2.011169900058789,0.2588710518863003,0.368456949567588,0.4560574678361393
Concrete,0.12,0.0044,0.4,0.5352989352989354,0.079431426824254,26.127545674641926,6.870980263450243,0.7903184927631696,0.030770703557998186,111.0,79.33333333333333,3,26.137283325195312,6.859035740465243,0.7416123506469529,0.09507577100541623,0.2217765033189557,1.7760980935584112,0.21968773800456967,1.6193835558914926,0.19636951833213515,0.4489650598892132,0.4582847630715124
Concrete,0.12,0.0055,0.0,0.5548457548457548,0.03636966154617392,25.426581064860027,2.7657547391110024,0.863760516931784,0.008562168452032578,278.0,127.0,3,25.44011052449544,2.752423195733862,0.7373783924887265,0.02165813075256062,0.3536939609669419,2.1156462585034013,0.2727272727272727,1.8544553623918707,0.23176470588235296,0.3089721814477922,0.41463000328447025
Concrete,0.12,0.0055,0.1,0.5145509145509145,0.02575693556614984,18.383708953857422,8.341399605968833,0.672981760931191,0.046182426645693275,60.333333333333336,46.0,3,18.378700892130535,8.335569735129143,0.721817303538351,0.07427750968044843,0.13470533770293072,1.3320735701688082,0.15654751601177078,1.6455026455026456,0.20029035477724344,0.35201672178643584,0.3792953303142424
Concrete,0.12,0.0055,0.2,0.47933387933387933,0.062016553337169024,15.093248049418131,7.737858191040339,0.6643728216774981,0.13741989556109863,60.333333333333336,41.0,3,15.093283971150717,7.737817431226616,0.7404417796126491,0.07541104668644026,0.2025411749945544,1.3320735701688082,0.15782678459884403,1.5410262870580331,0.1867433270227755,0.40266722764784535,0.4278829202834502
Concrete,0.12,0.0055,0.4,0.597979797979798,0.0869305746275846,12.54876740773519,2.894043308663132,0.6129751676478524,0.010024775374398288,45.333333333333336,33.0,3,12.555593172709147,2.8924161478379156,0.7314555130159207,0.05835125862283703,0.10871554044636085,1.4626690182245738,0.17507256894049342,1.253716301335349,0.14798438159560992,0.30523162319745706,0.37812565608496684
Concrete,0.15,0.0022,0.0,0.5492219492219492,0.03125837627982616,122.7309799194336,26.07107190266619,0.9568453563334196,0.005710701798887515,1173.3333333333333,565.0,3,122.73380533854167,26.085648032561654,0.750709551350406,0.04689316026625849,0.48259778121657576,2.141765348114555,0.2781123932826719,1.7499790039472582,0.21708580679978415,0.24581994226152926,0.3201208856586137
Concrete,0.15,0.0022,0.1,0.5647283647283647,0.057623755327044064,131.4640909830729,51.64771383015347,0.940374268053701,0.02118950960774207,507.3333333333333,369.6666666666667,3,131.4763946533203,51.65623950823826,0.9020903210399847,0.004648736597047391,0.4474342981820875,1.8283362727807173,0.2293592090537846,2.1940035273368608,0.2871446450920794,0.43186849466838345,0.5034011858441868
Concrete,0.15,0.0022,0.2,0.5331695331695331,0.02882277875612132,106.0203628540039,23.102057381473582,0.9209579356335524,0.017558450064674654,325.3333333333333,253.33333333333334,3,106.0107192993164,23.105825184803802,0.8561841145881967,0.07425942522958504,0.4623885064110886,2.220122616948014,0.29207550092956,1.749979003947258,0.2162264150943396,0.4338629633234083,0.5183732483505016
Concrete,0.15,0.0022,0.4,0.5862407862407862,0.03187291924949687,122.44051361083984,30.025580627187924,0.9294450096328896,0.014754942194086499,507.0,362.0,3,122.45365905761719,30.052682257730496,0.8542211900951567,0.07276615418258951,0.5786079706089512,2.4029562442260857,0.3238987816307404,2.4290753338372384,0.3271984308597581,0.5608733986557635,0.5443404908977064
Concrete,0.15,0.00275,0.0,0.5676767676767677,0.029150140269654,132.56270345052084,54.93886488996288,0.9573540759732312,0.015908095129560085,1267.6666666666667,624.0,3,132.56174977620444,54.89455615360974,0.7279849363708871,0.08396879518730513,0.5207447649624211,2.1940035273368608,0.2882864450127877,2.4813135130595447,0.3382577997598695,0.3320243294098172,0.3700698014971992
Concrete,0.15,0.00275,0.1,0.5216489216489216,0.02275132583400662,80.2165044148763,40.01820921198183,0.9021833950839958,0.02908215073283845,261.3333333333333,199.66666666666666,3,80.19655863444011,40.01225253374987,0.9001374613421826,0.02969547848232017,0.48870326183022544,2.0895271688922485,0.2689968208464266,2.141765348114555,0.27740270345149387,0.401298826472207,0.47575801650200705
Concrete,0.15,0.00275,0.2,0.5618891618891619,0.03934660415117123,84.24008687337239,1.3256864844147822,0.918395128711842,0.01240315631830982,388.0,265.6666666666667,3,84.25237782796223,1.3176309756500946,0.8515793926501122,0.0205148341921864,0.3377844020699841,1.8805744520030234,0.2367657887284055,1.8805744520030234,0.23933187512427914,0.39723648490434754,0.47011466081998915
Concrete,0.15,0.00275,0.4,0.6097188097188098,0.054679167363994245,99.34941228230794,68.94060125224068,0.9001497723627492,0.05911871710821229,350.3333333333333,268.6666666666667,3,99.34312057495117,68.92465461608943,0.8907229469294698,0.027836253393159933,0.3339234563409447,2.0895271688922485,0.27048969072164947,1.8805744520030236,0.2356108597285068,0.4858953850293661,0.5584384167771618
Concrete,0.15,0.0033,0.0,0.585967785967786,0.028089857619422225,81.35691324869792,34.88257899374771,0.9370699756514765,0.01602290904382162,769.3333333333334,378.6666666666667,3,81.37876510620116,34.88776834276909,0.788756043812861,0.03930517054134917,0.5360951353868134,2.089527168892248,0.26932810958434017,2.5857898715041574,0.3555804404628593,0.36482523728017097,0.3980316628816365
Concrete,0.15,0.0033,0.1,0.5677313677313677,0.023833908865099274,67.75991312662761,21.956017742752916,0.9117962505585545,0.020187414306173348,365.0,245.66666666666666,3,67.76611328125,21.96891299519561,0.8161448295960113,0.10361288834689397,0.4964786761221114,2.4551944234483916,0.33258939641918367,2.0895271688922485,0.27330316742081445,0.5411451285279213,0.5535182738307379
Concrete,0.15,0.0033,0.2,0.5213759213759214,0.02262281296794942,45.86923853556315,26.71487790276972,0.8476159130202093,0.08627882067311607,194.66666666666666,149.33333333333334,3,45.87630144755045,26.715077941525625,0.7793945175681568,0.09281270094205546,0.39491427475914714,1.8544553623918707,0.23364328549289126,2.1156462585034017,0.27441480067906665,0.4812723172266349,0.5075529434278904
Concrete,0.15,0.0033,0.4,0.5633087633087633,0.07320438053420915,81.4555180867513,36.35029455577263,0.894847538470783,0.035054881359529305,451.3333333333333,266.6666666666667,3,81.49468739827473,36.37994264519445,0.7524401712144524,0.04379385915864643,0.47575566090019755,2.27236079617032,0.30247315613448333,2.2723607961703203,0.2993373781219684,0.4129550521062641,0.45163931677038294
Concrete,0.15,0.0044,0.0,0.5696969696969697,0.028491813143533336,43.59378306070963,10.169615802639084,0.9110748905128084,0.017338480425106113,557.3333333333334,232.66666666666666,3,43.58209482828776,10.20408275160868,0.6737272947764504,0.025749011175087978,0.34242400323855354,1.9589317208364827,0.25190325800304986,2.063408079281096,0.2656346749226006,0.25655721514956137,0.3314326667406841
Concrete,0.15,0.0044,0.1,0.5141687141687141,0.012627494756565482,47.63772773742676,22.893639100141012,0.8582212577229097,0.04377898828896877,231.33333333333334,146.0,3,47.63664245605469,22.90225188050349,0.8466772245316925,0.03725596817882842,0.27653288306673135,1.6193835558914922,0.196655879180151,1.5932644662803392,0.19308809120869333,0.3452367194807973,0.4314517608039132
Concrete,0.15,0.0044,0.2,0.56003276003276,0.01609248038108451,32.272239685058594,13.422291900264318,0.8102215878126408,0.04659621531637766,125.0,101.66666666666667,3,32.27824465433757,13.418875258551948,0.9024501189716676,0.024129388652584197,0.2238326290053272,1.7238599143361049,0.21153846153846154,1.5410262870580331,0.187139282735613,0.6096228809769931,0.6215181522051855
Concrete,0.15,0.0044,0.4,0.5060879060879061,0.04890918560285463,25.75991439819336,8.577643772745978,0.80030748352487,0.02067738962555017,126.33333333333333,83.0,3,25.752024332682293,8.578161036619528,0.8264294989288933,0.02966486067384064,0.26903717896420487,1.2798353909465021,0.14920998980632005,1.8805744520030236,0.2353732803320309,0.4426631912922923,0.468191546139094
Concrete,0.15,0.0055,0.0,0.46950586950586953,0.07422919090694749,31.622722625732422,5.099076078710078,0.8714891942849364,0.03308548971035816,360.3333333333333,157.66666666666666,3,31.6180419921875,5.106078737070587,0.6177914834627399,0.033363539773299186,0.3632453035221044,1.6716217351137985,0.20413650862339727,2.1417653481145544,0.28013031358011276,0.32307986983176307,0.3465213488149943
Concrete,0.15,0.0055,0.1,0.5039039039039038,0.058964949716311284,17.116827805836994,9.405316712389968,0.6677694998220668,0.120369546509554,76.0,49.0,3,17.12387752532959,9.412711224614315,0.6565040139890636,0.09834453127217037,0.09098750655689943,1.044763584446124,0.11954466379245136,1.4104308390022675,0.16754563314196338,0.3076136816379646,0.3777370156155166
Concrete,0.15,0.0055,0.2,0.5266175266175266,0.016655343705870164,11.001071612040201,5.326729579850457,0.692449667256966,0.03574384624199856,61.0,35.666666666666664,3,10.998424530029297,5.327300644260197,0.6699557748917974,0.08982937406234269,0.13219792672894085,1.044763584446124,0.11917091917091911,1.6716217351137985,0.20511530398322844,0.3313106560210137,0.40063715022678764
Concrete,0.15,0.0055,0.4,0.5797433797433796,0.07061218424235399,20.966773986816406,7.650522833696317,0.7026685907122188,0.08193631038017216,67.66666666666667,55.666666666666664,3,20.971599260965984,7.641613114176373,0.8652506885916494,0.018430787359616632,0.15127239888879515,1.5671453766691863,0.1887497795803209,1.4887881078357268,0.17847406099833277,0.37891157590439234,0.44664946954912477
L-Concrete,0.12,0.00165,0.0,0.5081627081627081,0.025363165257705177,380.4844563802083,109.42364846718382,0.9683405077770398,0.010213128692093511,1917.3333333333333,971.3333333333334,3,380.48777262369794,109.44547062304494,0.7373609701350561,0.0495055173834622,0.5670278173348758,2.429075333837239,0.32670785710535066,2.5074326026706983,0.34325210871602624,0.35804244487300635,0.4298355551311137
L-Concrete,0.12,0.00165,0.1,0.5776412776412777,0.05598036851968902,2216.5970458984375,300.77443387200367,0.9882499905464196,0.005540025517562373,3345.6666666666665,3298.6666666666665,3,2216.5694986979165,300.7915375287684,0.9782953257264403,0.009023417371514946,0.7143598560907624,2.5857898715041574,0.35556020066889626,3.1865289325606785,0.478549866480901,0.5388560597939551,0.6397820345981596
L-Concrete,0.12,0.00165,0.2,0.5558558558558558,0.079368025202789,2699.736328125,46.55333891552681,0.9941405131510065,0.0015983092923402159,5258.333333333333,4760.333333333333,3,2699.8614908854165,46.73863638075948,0.8934687143029955,0.06248533712741257,0.5932157677439697,2.2723607961703203,0.30178872942169693,2.298479885781473,0.303951367781155,0.5910089417057832,0.6317858387609879
L-Concrete,0.12,0.00165,0.4,0.5836745836745837,0.05938074115756152,2619.3194173177085,841.7784903848293,0.994100405333084,0.004615924376146234,7241.0,5716.333333333333,3,2620.0323893229165,842.8552370123585,0.6763441729645113,0.21556271327054463,0.5519144194765164,2.481313513059545,0.3358234295415959,2.3507180650037793,0.31523809523809526,0.5578835059102797,0.6017900634490089
L-Concrete,0.12,0.00275,0.0,0.5574392574392574,0.02840177860260248,543.2743937174479,317.1086646308516,0.9760317776194514,0.011594329567094646,2610.3333333333335,1582.6666666666667,3,543.2904459635416,317.0886388536633,0.7866724344249215,0.046336323123297746,0.5575516727336143,2.4290753338372384,0.32757267401115686,2.4029562442260857,0.3217105263157895,0.3481623395594113,0.4094527179032316
L-Concrete,0.12,0.00275,0.1,0.5663117663117663,0.04596406939500936,1461.1189778645833,166.55694016756667,0.987932255923858,0.0016496131093600146,2465.0,2403.0,3,1461.1239420572917,166.6064878429462,0.9594546955464506,0.015838233498932538,0.5253339178506842,2.1940035273368608,0.2860714285714286,2.455194423448392,0.3327380952380952,0.5752846856181763,0.676568763033289
L-Concrete,0.12,0.00275,0.2,0.5404586404586404,0.05310467244357738,1268.8370768229167,236.75592320187744,0.9859275805522572,0.006000061021900363,2128.3333333333335,1999.0,3,1268.8556315104167,236.7335392203256,0.9093062140518695,0.03192845300241019,0.6644160344768671,2.69026622994877,0.37513591881116354,2.768623498782229,0.3897435897435897,0.5321607152920695,0.6072391242292152
L-Concrete,0.12,0.00275,0.4,0.5702156702156702,0.03523382390648864,1588.9485677083333,349.30054164264703,0.9881235827207456,0.0031350349381312425,3170.3333333333335,2731.3333333333335,3,1589.0316569010417,349.3684724250053,0.7148515180307862,0.19028075546573334,0.4239929882394596,1.906693541614177,0.24033613445378152,1.8805744520030239,0.2372777610899837,0.4192061906974259,0.4831151834217627
L-Concrete,0.12,0.0033,0.0,0.5658135408135408,0.04561311823470387,352.44292704264325,106.04153199307284,0.970019759082065,0.009087207664727216,1826.6666666666667,997.4166666666666,12,352.4536526997884,106.05940915952945,0.7197348666864717,0.05726749384178123,0.4665482331357831,2.1116279370247626,0.27466006712605023,2.127701222939318,0.27799975522170767,0.3238565195437749,0.37996244788477745
L-Concrete,0.12,0.0033,0.1,0.5801255801255801,0.028301110230252023,1246.0771891276042,151.2527992311829,0.9853864277197316,0.003691259049772377,2303.3333333333335,2198.3333333333335,3,1246.1051432291667,151.25452296396298,0.9145466298907996,0.053332216355946316,0.5237849050226783,2.0895271688922485,0.2689968208464266,2.1156462585034013,0.27489708872687596,0.7553760862663607,0.7515379437769848
L-Concrete,0.12,0.0033,0.2,0.581053781053781,0.05640206782471122,1279.4372965494792,129.04993272753688,0.9861522986123085,0.003163041182774571,2667.6666666666665,2409.3333333333335,3,1279.4973958333333,129.0659935544406,0.9435496831021487,0.02484145174197452,0.44627339961639306,1.9328126312253298,0.2439301622469939,2.2723607961703203,0.29960526315789476,0.6958243073979,0.6932335971706376
