model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
Concrete,0.12,0.0015,0.0,0.9688450617849014,0.010367582769799618
Concrete,0.12,0.0015,0.025,0.9619044579473116,0.023493822900857785
Concrete,0.12,0.0015,0.05,0.9786084051424105,0.009851695123921471
Concrete,0.12,0.0015,0.1,0.9733725642191802,0.007983683461821687
Concrete,0.12,0.002,0.0,0.9659826237374967,0.012004619954372088
Concrete,0.12,0.002,0.025,0.9662723239519156,0.009519509806549156
Concrete,0.12,0.002,0.05,0.9774599195931489,0.013340985206108663
Concrete,0.12,0.002,0.1,0.9726364341305406,0.01334166359865553
Concrete,0.12,0.0025,0.0,0.976988735977819,0.009106955112255814
Concrete,0.12,0.0025,0.025,0.9765766786768486,0.01624121262846923
Concrete,0.12,0.0025,0.05,0.9836638864629382,0.009146577903347617
Concrete,0.12,0.0025,0.1,0.9754578824683424,0.01378077174731242
Concrete,0.12,0.003,0.0,0.9666588178683639,0.014018443405522735
Concrete,0.12,0.003,0.025,0.9753705426178557,0.009572734037045916
Concrete,0.12,0.003,0.05,0.9756428293254965,0.016381873288144364
Concrete,0.12,0.003,0.1,0.9671343916213556,0.023810148446144663
Concrete,0.12,0.004,0.0,0.9668402894852881,0.014936537163119748
Concrete,0.12,0.004,0.025,0.9793378917994772,0.0029284625235561123
Concrete,0.12,0.004,0.05,0.969806195867967,0.017215436669455297
Concrete,0.12,0.004,0.1,0.9701207679453896,0.004876074147697231
Concrete,0.15,0.0015,0.0,0.9585287687380326,0.004400273102872955
Concrete,0.15,0.0015,0.025,0.9641615813856004,0.01686945339225365
Concrete,0.15,0.0015,0.05,0.9666046539239103,0.015858917301557387
Concrete,0.15,0.0015,0.1,0.9838655735599989,0.0035455509046667193
Concrete,0.15,0.002,0.0,0.9674470483766718,0.015318377117719353
Concrete,0.15,0.002,0.025,0.9772412979987509,0.008992456785596938
Concrete,0.15,0.002,0.05,0.9689099706963162,0.02084252890956638
Concrete,0.15,0.002,0.1,0.9791444074597297,0.008564465095158454
Concrete,0.15,0.0025,0.0,0.9713818636100098,0.01174023687750959
Concrete,0.15,0.0025,0.025,0.9696954258971395,0.012244335908541008
Concrete,0.15,0.0025,0.05,0.9619306057050286,0.004433265574454187
Concrete,0.15,0.0025,0.1,0.9791496917308735,0.013161803085103898
Concrete,0.15,0.003,0.0,0.9709476690224573,0.007480419309048839
Concrete,0.15,0.003,0.025,0.9745998441749766,0.00690656403872737
Concrete,0.15,0.003,0.05,0.9742746976075546,0.01592470752686894
Concrete,0.15,0.003,0.1,0.9546809668954315,0.013564039216508774
Concrete,0.15,0.004,0.0,0.9659780293663002,0.00666937348290887
Concrete,0.15,0.004,0.025,0.9701999289399882,0.01692449303645401
Concrete,0.15,0.004,0.05,0.9682414508502618,0.016606156179036453
Concrete,0.15,0.004,0.1,0.978315197530351,0.006544000202266863
L-Concrete,0.12,0.0015,0.0,0.9644111082098398,0.002075646326351775
L-Concrete,0.12,0.0015,0.025,0.9816978105117143,0.009285751505634253
L-Concrete,0.12,0.0015,0.05,0.9794100469082299,0.008838729113144568
L-Concrete,0.12,0.0015,0.1,0.9389099466091734,0.024071111275317855
L-Concrete,0.12,0.002,0.0,0.9279264711126749,0.007414837426410357
L-Concrete,0.12,0.002,0.025,0.9926816596934894,0.0029446899921741656
L-Concrete,0.12,0.002,0.05,0.9930109036718187,0.0031604450624478663
L-Concrete,0.12,0.002,0.1,0.965180895470577,0.023181303372582666
L-Concrete,0.12,0.0025,0.0,0.9142528855582565,0.04391827028790199
L-Concrete,0.12,0.0025,0.025,0.971082802597372,0.014705676956609076
L-Concrete,0.12,0.0025,0.05,0.9799926334356795,0.013157862700540226
L-Concrete,0.12,0.0025,0.1,0.9704424822772898,0.007623990090530613
L-Concrete,0.12,0.003,0.0,0.9358099346647737,0.028834935445504115
L-Concrete,0.12,0.003,0.025,0.9962336060958296,0.0005053130352026516
L-Concrete,0.12,0.003,0.05,0.9836451783832311,0.00908882442024961
L-Concrete,0.12,0.003,0.1,0.9787197501549071,0.003153245908093672
L-Concrete,0.12,0.004,0.0,0.9383923607177356,0.006811548487677487
L-Concrete,0.12,0.004,0.025,0.9927522031442845,0.003537319012038492
L-Concrete,0.12,0.004,0.05,0.9854792089859438,0.006607692803206786
L-Concrete,0.12,0.004,0.1,0.9928248403762306,0.0029991691578236364
L-Concrete,0.15,0.0015,0.0,0.9202634446069063,0.008543153176180542
L-Concrete,0.15,0.0015,0.025,0.9900061028872535,0.005821689532433346
L-Concrete,0.15,0.0015,0.05,0.9810395469404055,0.00928139470822398
L-Concrete,0.15,0.0015,0.1,0.9853563966926654,0.006319425111255733
L-Concrete,0.15,0.002,0.0,0.9606875681710775,0.010663945807735307
L-Concrete,0.15,0.002,0.025,0.9758048693422744,0.016684282941063108
L-Concrete,0.15,0.002,0.05,0.9852869369386196,0.0029738765932363284
L-Concrete,0.15,0.002,0.1,0.9879165838593124,0.004208474138170151
L-Concrete,0.15,0.0025,0.0,0.9418578454007372,0.020525516586154962
L-Concrete,0.15,0.0025,0.025,0.9862988821859489,0.008769574696296599
L-Concrete,0.15,0.0025,0.05,0.9822059218343862,0.0024847758709211965
L-Concrete,0.15,0.0025,0.1,0.9793026579275667,0.007725880308128739
L-Concrete,0.15,0.003,0.0,0.9619576239642832,0.008248843760467478
L-Concrete,0.15,0.003,0.025,0.9810428306152176,0.01250241732248305
L-Concrete,0.15,0.003,0.05,0.9857028414874955,0.005786378901679707
L-Concrete,0.15,0.003,0.1,0.9659837638793615,0.015518706245221905
L-Concrete,0.15,0.004,0.0,0.946688546043842,0.023449240582571626
L-Concrete,0.15,0.004,0.025,0.9881280252475104,0.006300997761744602
L-Concrete,0.15,0.004,0.05,0.9872881844026841,0.005495733854396169
L-Concrete,0.15,0.004,0.1,0.9755749383314156,0.01668382111646911
L-LSPIN,0.2,0.007,0.0,0.9440173574476123,0.032725341691557046
L-LSPIN,0.2,0.007,0.025,0.99547508578943,0.0007859367088956953
L-LSPIN,0.2,0.007,0.05,0.9872780831674701,0.007299759615251717
L-LSPIN,0.2,0.007,0.1,0.9897894818356613,0.006565226911796816
L-LSPIN,0.2,0.00875,0.0,0.9836051839352148,0.005356127347503741
L-LSPIN,0.2,0.00875,0.025,0.9875329363956143,0.007426835962419665
L-LSPIN,0.2,0.00875,0.05,0.9918277128896995,0.0028292886379094177
L-LSPIN,0.2,0.00875,0.1,0.9920880439484322,0.0006882530009289365
L-LSPIN,0.2,0.0105,0.0,0.9532886375182911,0.024827973445518046
L-LSPIN,0.2,0.0105,0.025,0.9778382360870248,0.0112492570741335
L-LSPIN,0.2,0.0105,0.05,0.9731390679047326,0.020204308380701898
L-LSPIN,0.2,0.0105,0.1,0.9882706206647467,0.004624705436836999
L-LSPIN,0.2,0.014,0.0,0.9060285275081973,0.02413601651800502
L-LSPIN,0.2,0.014,0.025,0.9710153266387955,0.01182539056786206
L-LSPIN,0.2,0.014,0.05,0.9656132270098233,0.021004596184989354
L-LSPIN,0.2,0.014,0.1,0.9961178741483527,0.0004575407314926392
L-LSPIN,0.2,0.021,0.0,0.9489081526201396,0.015213169918290054
L-LSPIN,0.2,0.021,0.025,0.9785692907004765,0.006504354183416984
L-LSPIN,0.2,0.021,0.05,0.9332487858853756,0.029657267129539845
L-LSPIN,0.2,0.021,0.1,0.9766513572617282,0.006482941533704874
L-LSPIN,0.22,0.007,0.0,0.9831326948791107,0.003180927060140139
L-LSPIN,0.22,0.007,0.025,0.980115971026359,0.0031455181125459673
L-LSPIN,0.22,0.007,0.05,0.9898382645515578,0.0030913620827357777
L-LSPIN,0.22,0.007,0.1,0.9827441336427273,0.011119296827089736
L-LSPIN,0.22,0.00875,0.0,0.9757700790073224,0.011440762022205704
L-LSPIN,0.22,0.00875,0.025,0.9785300719350243,0.00983125128543077
L-LSPIN,0.22,0.00875,0.05,0.9861128168278593,0.008627637274463137
L-LSPIN,0.22,0.00875,0.1,0.9962143534432708,0.0018596821081564502
L-LSPIN,0.22,0.0105,0.0,0.9518900073168567,0.020625425124874027
L-LSPIN,0.22,0.0105,0.025,0.9631277775016667,0.01869265736900865
L-LSPIN,0.22,0.0105,0.05,0.991543613387169,0.0042761406205239156
L-LSPIN,0.22,0.0105,0.1,0.9908128531992294,0.0026510632911863896
L-LSPIN,0.22,0.014,0.0,0.9355740353739727,0.026883694831151002
L-LSPIN,0.22,0.014,0.025,0.9806425784759277,0.0028614220727597294
L-LSPIN,0.22,0.014,0.05,0.9874483555627128,0.004890547288260139
L-LSPIN,0.22,0.014,0.1,0.9883963959358195,0.006925177943986022
L-LSPIN,0.22,0.021,0.0,0.9530567874737851,0.02528993729063594
L-LSPIN,0.22,0.021,0.025,0.9544072014522116,0.008206906890736783
L-LSPIN,0.22,0.021,0.05,0.9727222510675292,0.005810853179998871
L-LSPIN,0.22,0.021,0.1,0.9807226119691546,0.011459370174132788
LSPIN,0.2,0.00525,0.0,0.9806034516863267,0.007931274449566853
LSPIN,0.2,0.00525,0.025,0.9920937341311017,0.003724492989814653
LSPIN,0.2,0.00525,0.05,0.9924991651206305,0.0029963993733373097
LSPIN,0.2,0.00525,0.1,0.991924251710675,0.0036063062052222295
LSPIN,0.2,0.007,0.0,0.9823812302443847,0.01106366606971312
