histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
kidneychromophobe,19,0.6901408450704225,LSPIN,0.22,0.014,0.0,123
kidneyclearcellrenalcarcinoma,156,0.6807915680791569,LSPIN,0.22,0.014,0.0,123
kidneypapillaryrenalcellcarcinoma,84,0.7357910906298003,LSPIN,0.22,0.014,0.0,123
kidneychromophobe,19,0.647887323943662,LSPIN,0.22,0.014,0.0,124
kidneyclearcellrenalcarcinoma,156,0.6650892665089266,LSPIN,0.22,0.014,0.0,124
kidneypapillaryrenalcellcarcinoma,84,0.7542242703533026,LSPIN,0.22,0.014,0.0,124
kidneychromophobe,19,0.8169014084507042,LSPIN,0.22,0.014,0.0,125
kidneyclearcellrenalcarcinoma,156,0.6642288664228866,LSPIN,0.22,0.014,0.0,125
kidneypapillaryrenalcellcarcinoma,84,0.7603686635944701,LSPIN,0.22,0.014,0.0,125
kidneychromophobe,19,0.7464788732394366,LSPIN,0.22,0.0105,0.0,40123
kidneyclearcellrenalcarcinoma,156,0.699505269950527,LSPIN,0.22,0.0105,0.0,40123
kidneypapillaryrenalcellcarcinoma,84,0.8387096774193549,LSPIN,0.22,0.0105,0.0,40123
kidneychromophobe,19,0.7464788732394366,LSPIN,0.22,0.0105,0.0,40124
kidneyclearcellrenalcarcinoma,156,0.6732630673263067,LSPIN,0.22,0.0105,0.0,40124
kidneypapillaryrenalcellcarcinoma,84,0.7711213517665131,LSPIN,0.22,0.0105,0.0,40124
kidneychromophobe,19,0.7605633802816901,LSPIN,0.22,0.0105,0.0,40125
kidneyclearcellrenalcarcinoma,156,0.6588513658851366,LSPIN,0.22,0.0105,0.0,40125
kidneypapillaryrenalcellcarcinoma,84,0.7956989247311828,LSPIN,0.22,0.0105,0.0,40125
kidneychromophobe,19,0.6901408450704225,LSPIN,0.22,0.00875,0.0,80123
kidneyclearcellrenalcarcinoma,156,0.6603570660357067,LSPIN,0.22,0.00875,0.0,80123
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,LSPIN,0.22,0.00875,0.0,80123
kidneychromophobe,19,0.676056338028169,LSPIN,0.22,0.00875,0.0,80124
kidneyclearcellrenalcarcinoma,156,0.6648741664874166,LSPIN,0.22,0.00875,0.0,80124
kidneypapillaryrenalcellcarcinoma,84,0.7634408602150538,LSPIN,0.22,0.00875,0.0,80124
kidneychromophobe,19,0.5915492957746479,LSPIN,0.22,0.00875,0.0,80125
kidneyclearcellrenalcarcinoma,156,0.6708969670896967,LSPIN,0.22,0.00875,0.0,80125
