model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.22,0.014,0.0,0,1,0.8455745068687596,3.448224852071006,0.5294117647058824,3.831360946745562,0.625
LSPIN,lspin_tf,0.22,0.014,0.0,0,2,0.7652348340886332,3.5440088757396446,0.5522388059701493,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.22,0.014,0.0,1,2,0.7940559885176615,3.1608727810650885,0.4647887323943662,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.22,0.0105,0.0,0,1,0.8694258203195581,4.214497041420118,0.7333333333333333,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.22,0.0105,0.0,0,2,0.874070071824835,3.639792899408284,0.5757575757575758,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.22,0.0105,0.0,1,2,0.8487234487759876,3.831360946745562,0.625,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.22,0.00875,0.0,0,1,0.8635548022583066,3.735576923076923,0.6,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.22,0.00875,0.0,0,2,0.814806513631844,3.448224852071006,0.5294117647058824,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.22,0.00875,0.0,1,2,0.8262624570144707,4.118713017751479,0.7049180327868853,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.22,0.007,0.0,0,1,0.8913096781469194,3.927144970414201,0.6507936507936508,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.22,0.007,0.0,0,2,0.8404974938958224,3.256656804733728,0.4857142857142857,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.22,0.007,0.0,1,2,0.8572908994146048,3.448224852071006,0.5294117647058824,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.22,0.00525,0.0,0,1,0.879086461063282,3.927144970414201,0.6507936507936508,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,0.22,0.00525,0.0,0,2,0.8414704078354031,3.831360946745562,0.625,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,0.22,0.00525,0.0,1,2,0.7740894370560523,3.927144970414201,0.6507936507936508,2.203032544378698,0.2839506172839506
LSPIN,lspin_tf,0.2,0.014,0.0,0,1,0.8013346991176293,2.9693047337278107,0.4246575342465753,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.2,0.014,0.0,0,2,0.7981683979376977,3.448224852071006,0.5294117647058824,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,0.2,0.014,0.0,1,2,0.8583839408346625,3.1608727810650885,0.4647887323943662,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.2,0.0105,0.0,0,1,0.8588271262062547,3.735576923076923,0.6,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.2,0.0105,0.0,0,2,0.8312681433644382,3.735576923076923,0.6,2.586168639053254,0.3506493506493506
LSPIN,lspin_tf,0.2,0.0105,0.0,1,2,0.856967494636428,3.735576923076923,0.6,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.2,0.00875,0.0,0,1,0.8634342410981362,3.831360946745562,0.625,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.2,0.00875,0.0,0,2,0.8940722028201774,4.310281065088757,0.7627118644067796,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.2,0.00875,0.0,1,2,0.8767631090219264,4.02292899408284,0.6774193548387096,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.2,0.007,0.0,0,1,0.7948624533567703,3.256656804733728,0.4857142857142857,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.2,0.007,0.0,0,2,0.7944842450216332,3.927144970414201,0.6507936507936508,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.2,0.007,0.0,1,2,0.8613140321048471,3.0650887573964494,0.4444444444444444,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.2,0.00525,0.0,0,1,0.8824213489424532,4.214497041420118,0.7333333333333333,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.2,0.00525,0.0,0,2,0.9107600135493618,4.310281065088757,0.7627118644067796,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.2,0.00525,0.0,1,2,0.9342641796183188,4.310281065088757,0.7627118644067796,3.5440088757396446,0.5522388059701493
L-LSPIN,lspin_tf,0.22,0.021,0.0,0,1,0.6014088939862736,2.586168639053254,0.3506493506493506,2.298816568047337,0.3
L-LSPIN,lspin_tf,0.22,0.021,0.0,0,2,0.5188304631443069,2.298816568047337,0.3,2.298816568047337,0.3
L-LSPIN,lspin_tf,0.22,0.021,0.0,1,2,0.5140225183924189,2.6819526627218933,0.3684210526315789,2.01146449704142,0.253012048192771
L-LSPIN,lspin_tf,0.22,0.014,0.0,0,1,0.7089833807423043,3.1608727810650885,0.4647887323943662,2.586168639053254,0.3506493506493506
L-LSPIN,lspin_tf,0.22,0.014,0.0,0,2,0.5194586556206234,2.3946005917159763,0.3164556962025316,2.3946005917159763,0.3164556962025316
L-LSPIN,lspin_tf,0.22,0.014,0.0,1,2,0.6425983909653776,2.4903846153846154,0.3333333333333333,2.3946005917159763,0.3164556962025316
L-LSPIN,lspin_tf,0.22,0.0105,0.0,0,1,0.6148546059202691,2.586168639053254,0.3506493506493506,2.01146449704142,0.253012048192771
L-LSPIN,lspin_tf,0.22,0.0105,0.0,0,2,0.6965892391020596,2.586168639053254,0.3506493506493506,2.298816568047337,0.3
L-LSPIN,lspin_tf,0.22,0.0105,0.0,1,2,0.7445076640902019,3.1608727810650885,0.4647887323943662,2.8735207100591715,0.4054054054054054
L-LSPIN,lspin_tf,0.22,0.00875,0.0,0,1,0.6615033776163879,2.7777366863905324,0.3866666666666666,2.9693047337278107,0.4246575342465753
L-LSPIN,lspin_tf,0.22,0.00875,0.0,0,2,0.8015618121066445,3.639792899408284,0.5757575757575758,3.448224852071006,0.5294117647058824
L-LSPIN,lspin_tf,0.22,0.00875,0.0,1,2,0.6761181688633296,2.8735207100591715,0.4054054054054054,2.9693047337278107,0.4246575342465753
L-LSPIN,lspin_tf,0.22,0.007,0.0,0,1,0.7478391467617551,3.352440828402367,0.5072463768115942,3.0650887573964494,0.4444444444444444
L-LSPIN,lspin_tf,0.22,0.007,0.0,0,2,0.7960510958455629,3.1608727810650885,0.4647887323943662,3.1608727810650885,0.4647887323943662
L-LSPIN,lspin_tf,0.22,0.007,0.0,1,2,0.8020373237022812,3.448224852071006,0.5294117647058824,2.6819526627218933,0.3684210526315789
L-LSPIN,lspin_tf,0.2,0.021,0.0,0,1,0.6539748858645837,3.0650887573964494,0.4444444444444444,2.3946005917159763,0.3164556962025316
L-LSPIN,lspin_tf,0.2,0.021,0.0,0,2,0.4553453920319732,2.3946005917159763,0.3164556962025316,2.203032544378698,0.2839506172839506
L-LSPIN,lspin_tf,0.2,0.021,0.0,1,2,0.549729527375151,2.6819526627218933,0.3684210526315789,2.4903846153846154,0.3333333333333333
L-LSPIN,lspin_tf,0.2,0.014,0.0,0,1,0.6198564927899081,2.586168639053254,0.3506493506493506,2.586168639053254,0.3506493506493506
L-LSPIN,lspin_tf,0.2,0.014,0.0,0,2,0.5292881554762924,2.7777366863905324,0.3866666666666666,2.298816568047337,0.3
L-LSPIN,lspin_tf,0.2,0.014,0.0,1,2,0.4872877847670697,2.4903846153846154,0.3333333333333333,1.724112426035503,0.2093023255813953
L-LSPIN,lspin_tf,0.2,0.0105,0.0,0,1,0.7308267399353854,3.1608727810650885,0.4647887323943662,2.7777366863905324,0.3866666666666666
L-LSPIN,lspin_tf,0.2,0.0105,0.0,0,2,0.7551297467864533,3.352440828402367,0.5072463768115942,2.9693047337278107,0.4246575342465753
L-LSPIN,lspin_tf,0.2,0.0105,0.0,1,2,0.6921827441775646,3.0650887573964494,0.4444444444444444,2.298816568047337,0.3
L-LSPIN,lspin_tf,0.2,0.00875,0.0,0,1,0.7122659770636537,3.256656804733728,0.4857142857142857,2.586168639053254,0.3506493506493506
L-LSPIN,lspin_tf,0.2,0.00875,0.0,0,2,0.7926332006486022,3.1608727810650885,0.4647887323943662,2.7777366863905324,0.3866666666666666
L-LSPIN,lspin_tf,0.2,0.00875,0.0,1,2,0.7808054758581848,3.448224852071006,0.5294117647058824,3.1608727810650885,0.4647887323943662
L-LSPIN,lspin_tf,0.2,0.007,0.0,0,1,0.6579898039360643,2.9693047337278107,0.4246575342465753,2.6819526627218933,0.3684210526315789
L-LSPIN,lspin_tf,0.2,0.007,0.0,0,2,0.6615419202950087,3.0650887573964494,0.4444444444444444,2.4903846153846154,0.3333333333333333
L-LSPIN,lspin_tf,0.2,0.007,0.0,1,2,0.656881643523708,2.6819526627218933,0.3684210526315789,2.7777366863905324,0.3866666666666666
Concrete,concrete,0.15,0.004,0.0,0,1,0.829476749667003,4.118713017751479,0.7049180327868853,3.352440828402367,0.5072463768115942
Concrete,concrete,0.15,0.004,0.0,0,2,0.7905057283993465,3.927144970414201,0.6507936507936508,3.5440088757396446,0.5522388059701493
Concrete,concrete,0.15,0.004,0.0,1,2,0.8908415695436598,4.214497041420118,0.7333333333333333,3.639792899408284,0.5757575757575758
Concrete,concrete,0.15,0.003,0.0,0,1,0.8252969806421494,3.927144970414201,0.6507936507936508,3.352440828402367,0.5072463768115942
Concrete,concrete,0.15,0.003,0.0,0,2,0.8629786227613615,3.735576923076923,0.6,3.256656804733728,0.4857142857142857
Concrete,concrete,0.15,0.003,0.0,1,2,0.88017870110499,4.02292899408284,0.6774193548387096,3.831360946745562,0.625
Concrete,concrete,0.15,0.0025,0.0,0,1,0.914324901442652,4.02292899408284,0.6774193548387096,3.448224852071006,0.5294117647058824
Concrete,concrete,0.15,0.0025,0.0,0,2,0.896425667405104,4.02292899408284,0.6774193548387096,3.735576923076923,0.6
Concrete,concrete,0.15,0.0025,0.0,1,2,0.8826810262412994,4.02292899408284,0.6774193548387096,3.352440828402367,0.5072463768115942
Concrete,concrete,0.15,0.002,0.0,0,1,0.9233214136388282,4.214497041420118,0.7333333333333333,3.927144970414201,0.6507936507936508
Concrete,concrete,0.15,0.002,0.0,0,2,0.9097859064353976,3.831360946745562,0.625,4.118713017751479,0.7049180327868853
Concrete,concrete,0.15,0.002,0.0,1,2,0.9031500836271456,3.735576923076923,0.6,4.118713017751479,0.7049180327868853
Concrete,concrete,0.15,0.0015,0.0,0,1,0.8737097505036963,4.02292899408284,0.6774193548387096,1.8198964497041417,0.2235294117647059
Concrete,concrete,0.15,0.0015,0.0,0,2,0.9153490776811202,4.118713017751479,0.7049180327868853,3.256656804733728,0.4857142857142857
Concrete,concrete,0.15,0.0015,0.0,1,2,0.876292544076188,3.831360946745562,0.625,2.9693047337278107,0.4246575342465753
Concrete,concrete,0.12,0.004,0.0,0,1,0.8834426983579757,4.118713017751479,0.7049180327868853,3.831360946745562,0.625
Concrete,concrete,0.12,0.004,0.0,0,2,0.8559384988056761,4.310281065088757,0.7627118644067796,3.5440088757396446,0.5522388059701493
Concrete,concrete,0.12,0.004,0.0,1,2,0.9402151299858964,4.501849112426036,0.8245614035087719,4.406065088757396,0.7931034482758621
Concrete,concrete,0.12,0.003,0.0,0,1,0.9050534090690612,4.214497041420118,0.7333333333333333,3.5440088757396446,0.5522388059701493
Concrete,concrete,0.12,0.003,0.0,0,2,0.903925088515589,4.118713017751479,0.7049180327868853,3.448224852071006,0.5294117647058824
Concrete,concrete,0.12,0.003,0.0,1,2,0.9281529942707918,4.501849112426036,0.8245614035087719,3.448224852071006,0.5294117647058824
Concrete,concrete,0.12,0.0025,0.0,0,1,0.893591515317871,4.02292899408284,0.6774193548387096,3.1608727810650885,0.4647887323943662
Concrete,concrete,0.12,0.0025,0.0,0,2,0.8929663630634151,3.927144970414201,0.6507936507936508,3.256656804733728,0.4857142857142857
Concrete,concrete,0.12,0.0025,0.0,1,2,0.8866587705428725,3.927144970414201,0.6507936507936508,3.0650887573964494,0.4444444444444444
Concrete,concrete,0.12,0.002,0.0,0,1,0.8853399549804674,4.214497041420118,0.7333333333333333,3.639792899408284,0.5757575757575758
Concrete,concrete,0.12,0.002,0.0,0,2,0.9462565909056226,4.406065088757396,0.7931034482758621,4.02292899408284,0.6774193548387096
Concrete,concrete,0.12,0.002,0.0,1,2,0.923899607043314,4.118713017751479,0.7049180327868853,4.02292899408284,0.6774193548387096
Concrete,concrete,0.12,0.0015,0.0,0,1,0.7863994086589546,4.118713017751479,0.7049180327868853,3.448224852071006,0.5294117647058824
Concrete,concrete,0.12,0.0015,0.0,0,2,0.8033383002790137,4.118713017751479,0.7049180327868853,3.1608727810650885,0.4647887323943662
Concrete,concrete,0.12,0.0015,0.0,1,2,0.8896758444910584,4.310281065088757,0.7627118644067796,3.448224852071006,0.5294117647058824
L-Concrete,concrete,0.15,0.004,0.0,0,1,0.7041753106944331,3.1608727810650885,0.4647887323943662,2.9693047337278107,0.4246575342465753
L-Concrete,concrete,0.15,0.004,0.0,0,2,0.7619681984100178,3.1608727810650885,0.4647887323943662,3.256656804733728,0.4857142857142857
L-Concrete,concrete,0.15,0.004,0.0,1,2,0.7421545096630828,2.8735207100591715,0.4054054054054054,2.298816568047337,0.3
L-Concrete,concrete,0.15,0.003,0.0,0,1,0.6484935120828015,2.6819526627218933,0.3684210526315789,2.586168639053254,0.3506493506493506
L-Concrete,concrete,0.15,0.003,0.0,0,2,0.7897966530437768,3.256656804733728,0.4857142857142857,3.256656804733728,0.4857142857142857
L-Concrete,concrete,0.15,0.003,0.0,1,2,0.7058084845857308,2.8735207100591715,0.4054054054054054,2.6819526627218933,0.3684210526315789
L-Concrete,concrete,0.15,0.0025,0.0,0,1,0.4328007628403228,2.7777366863905324,0.3866666666666666,2.9693047337278107,0.4246575342465753
L-Concrete,concrete,0.15,0.0025,0.0,0,2,0.6213265966260764,2.9693047337278107,0.4246575342465753,2.4903846153846154,0.3333333333333333
