model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.22,0.014,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,123,0,0,1,0.7144897182025894,0.7424892703862661,1,79.29979705810547,79.30115509033203,0.9600029838349964,334.0,193.0,176.29086749001493
LSPIN,lspin_tf,mlp,0.22,0.014,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,124,1,0,1,0.6988766184310738,0.7525035765379113,4,40.513160705566406,40.51351165771485,0.9310930942955982,116.0,94.0,79.24410236961889
LSPIN,lspin_tf,mlp,0.22,0.014,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,125,2,0,1,0.7076351865955827,0.7753934191702432,4,45.7830810546875,45.76448059082031,0.9334539981762414,144.0,107.0,93.44361949162194
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,40123,0,4,1,0.7517136329017517,0.7918454935622318,3,67.86531829833984,67.8648681640625,0.9195949078246268,206.0,150.0,135.78370663115135
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,40124,1,4,1,0.7167745620715917,0.7975679542203148,4,60.87171173095703,60.87644958496094,0.9327723004388913,182.0,143.0,127.2048872475504
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,40125,2,4,1,0.7172505712109672,0.7589413447782547,3,70.1937255859375,70.18146514892578,0.934159426743996,200.0,162.0,144.81272557106126
LSPIN,lspin_tf,mlp,0.22,0.00875,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,80123,0,8,1,0.7112528560548362,0.778969957081545,4,105.22127532958984,105.2123565673828,0.9604691560030476,288.0,207.0,191.5023322228867
LSPIN,lspin_tf,mlp,0.22,0.00875,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,80124,1,8,1,0.7077303884234577,0.751788268955651,3,102.77506256103516,102.79922485351562,0.9652453013825544,326.0,254.0,218.626369561048
LSPIN,lspin_tf,mlp,0.22,0.00875,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,80125,2,8,1,0.7025894897182026,0.771101573676681,3,98.11388397216795,98.11196899414062,0.961838048188104,281.0,206.0,188.810381456348
LSPIN,lspin_tf,mlp,0.22,0.007,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,120123,0,12,1,0.6958301599390708,0.7868383404864091,3,129.51535034179688,129.49806213378906,0.9496814146850294,352.0,270.0,241.40879397552783
