family,selection,fold,rep,n_genes,fraction_gt_random_median,fraction_gt_random_p90,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p,median_target_minus_random_median
Concrete,nosmooth_lamx3,0,0,210,0.5380952380952381,0.1619047619047619,0.6551060083780822,0.5072431520405098,0.11323243507294473
Concrete,nosmooth_lamx3,0,1,221,0.6244343891402715,0.17194570135746606,0.7562433024121327,0.5382477475694706,0.25778359083760793
Concrete,nosmooth_lamx3,1,0,395,0.5367088607594936,0.13670886075949368,0.6298920876915053,0.6120592510630765,0.03462464676179455
Concrete,nosmooth_lamx3,1,1,207,0.5990338164251208,0.17391304347826086,0.7512768565246004,0.5721000830630214,0.24400376682513536
Concrete,nosmooth_lamx3,2,0,303,0.5346534653465347,0.1188118811881188,0.6317185573912425,0.5509665015734317,0.04230760310429926
Concrete,nosmooth_lamx3,2,1,317,0.5205047318611987,0.12933753943217666,0.6402970055611202,0.5250143992621037,0.029381808408972254
Concrete,smooth_lamx3_smooth0p05,0,0,206,0.5242718446601942,0.1407766990291262,0.6222821244508753,0.5429081659711255,0.05551994109551811
Concrete,smooth_lamx3_smooth0p05,0,1,191,0.643979057591623,0.12041884816753927,0.7540906442570061,0.6106274624004443,0.3001706572967306
Concrete,smooth_lamx3_smooth0p05,1,0,231,0.5930735930735931,0.1471861471861472,0.8191842616721285,0.6674575742909903,0.16963772126744375
Concrete,smooth_lamx3_smooth0p05,1,1,151,0.609271523178808,0.1986754966887417,0.7161739375770748,0.61634251161784,0.1852672946334285
Concrete,smooth_lamx3_smooth0p05,2,0,181,0.5911602209944752,0.15469613259668508,0.799252802535569,0.6815311376292766,0.140390150615877
Concrete,smooth_lamx3_smooth0p05,2,1,227,0.5682819383259912,0.1277533039647577,0.8407303240454488,0.6293598572595568,0.208346383209833
L-Concrete,nosmooth_lamx3,0,0,96,0.6354166666666666,0.2916666666666667,0.7335694921867193,0.5181896729935738,0.2946508315268267
L-Concrete,nosmooth_lamx3,0,1,73,0.6712328767123288,0.2328767123287671,0.7934762041089729,0.5027288981892983,0.2623061011094414
L-Concrete,nosmooth_lamx3,1,0,144,0.5555555555555556,0.1597222222222222,0.7861854127169878,0.6571855830781542,0.13740053219486575
L-Concrete,nosmooth_lamx3,1,1,60,0.55,0.15,0.6500676428697654,0.5343785588976492,0.06449782220059266
L-Concrete,nosmooth_lamx3,2,0,98,0.5510204081632653,0.12244897959183673,0.6787172637879377,0.6050626461533377,0.08848659601326753
L-Concrete,nosmooth_lamx3,2,1,101,0.6534653465346535,0.21782178217821782,0.6888930258162602,0.4858707625575404,0.21484479871750017
L-Concrete,smooth_lamx3_smooth0p025,0,0,69,0.6956521739130435,0.2318840579710145,0.9720448209397659,0.5409192845110407,0.3896399059766562
L-Concrete,smooth_lamx3_smooth0p025,0,1,45,0.7555555555555555,0.3111111111111111,1.0963115377700847,0.5594907864273051,0.5294549605001125
L-Concrete,smooth_lamx3_smooth0p025,1,0,84,0.5357142857142857,0.20238095238095238,0.8285709683159836,0.6529054394018299,0.14617495939774833
L-Concrete,smooth_lamx3_smooth0p025,1,1,49,0.7346938775510204,0.3673469387755102,1.3460493144557755,0.617027507756145,0.8133261785554016
L-Concrete,smooth_lamx3_smooth0p025,2,0,51,0.7058823529411765,0.23529411764705882,0.9732820037634091,0.5477857641731879,0.43237894218073447
L-Concrete,smooth_lamx3_smooth0p025,2,1,54,0.6111111111111112,0.18518518518518517,1.301386406240829,0.5398376204624837,0.5617580813696458
L-LSPIN,nosmooth_lamx3,0,0,148,0.581081081081081,0.14864864864864866,0.8698867117151514,0.7467281484432309,0.14989188761392552
L-LSPIN,nosmooth_lamx3,0,1,188,0.574468085106383,0.14893617021276595,0.792937423633997,0.7161285242182407,0.1425359997907369
L-LSPIN,nosmooth_lamx3,1,0,277,0.5451263537906137,0.11913357400722022,0.8698014858596799,0.716256495731962,0.0738867701622552
L-LSPIN,nosmooth_lamx3,1,1,177,0.5480225988700564,0.12994350282485875,0.818451380368952,0.7080829257789043,0.18047230968235428
L-LSPIN,nosmooth_lamx3,2,0,159,0.5723270440251572,0.14465408805031446,0.918702401579941,0.8711199518261992,0.18424666547718216
L-LSPIN,nosmooth_lamx3,2,1,173,0.5086705202312138,0.11560693641618497,0.7594632125223855,0.8272332597713611,0.015036652152990215
L-LSPIN,smooth_lamx3_smooth0p1,0,0,282,0.5460992907801419,0.13829787234042554,0.7924022192689364,0.7453049522021662,0.09184818014779375
L-LSPIN,smooth_lamx3_smooth0p1,0,1,318,0.5377358490566038,0.14150943396226415,0.8385424050760065,0.7640334869856115,0.09670639373538964
L-LSPIN,smooth_lamx3_smooth0p1,1,0,332,0.5512048192771084,0.1566265060240964,0.9464440399723903,0.7825589540491714,0.08065551268585269
