family,selection,fold,rep,seed,gate_sigma,lambda_sparse,lambda_sample_smooth,test_cindex,Khard_test_mean,Ksoft_test_mean,n_subset_genes_tested
Concrete,nosmooth_lamx3,0,0,20260407,0.12,0.0045000000000000005,0.0,0.7486959906578435,82.4773519163763,88.64882509716712,210
Concrete,smooth_lamx3_smooth0p05,0,0,20260407,0.12,0.0045000000000000005,0.05,0.7420007785130401,78.66550522648083,87.49479297810731,206
L-Concrete,nosmooth_lamx3,0,0,20260407,0.12,0.009000000000000001,0.0,0.7423900350330868,34.76306620209059,38.428177524526774,96
L-Concrete,smooth_lamx3_smooth0p025,0,0,20260407,0.15,0.012,0.025,0.7610743479953289,28.71080139372822,32.448823357293,69
L-LSPIN,nosmooth_lamx3,0,0,20260407,0.2,0.021,0.0,0.7246399377189567,103.88850174216027,103.99742719271457,148
L-LSPIN,smooth_lamx3_smooth0p1,0,0,20260407,0.22,0.042,0.1,0.7107045543012845,216.58536585365854,216.71615664385752,282
LSPIN,nosmooth_lamx3,0,0,20260407,0.2,0.01575,0.0,0.7625535227715065,204.6341463414634,204.7098065685312,381
LSPIN,smooth_lamx3_smooth0p1,0,0,20260407,0.2,0.021,0.1,0.7328143246399377,548.9303135888501,548.9320842463795,500
Concrete,nosmooth_lamx3,0,1,20260408,0.12,0.0045000000000000005,0.0,0.7363954846243674,87.85714285714286,93.8465042645923,221
Concrete,smooth_lamx3_smooth0p05,0,1,20260408,0.12,0.0045000000000000005,0.05,0.7222265472946672,81.14285714285714,89.94662437040216,191
L-Concrete,nosmooth_lamx3,0,1,20260408,0.12,0.009000000000000001,0.0,0.7286882055274426,30.554006968641115,34.18226404887874,73
L-Concrete,smooth_lamx3_smooth0p025,0,1,20260408,0.15,0.012,0.025,0.7163098481899571,21.18466898954704,25.187495992574128,45
L-LSPIN,nosmooth_lamx3,0,1,20260408,0.2,0.021,0.0,0.723316465550798,130.29616724738676,130.37378907951327,188
L-LSPIN,smooth_lamx3_smooth0p1,0,1,20260408,0.22,0.042,0.1,0.7240949785908914,250.46689895470382,250.60640628827989,318
LSPIN,nosmooth_lamx3,0,1,20260408,0.2,0.01575,0.0,0.705099260412612,242.3554006968641,242.45059592217103,442
LSPIN,smooth_lamx3_smooth0p1,0,1,20260408,0.2,0.021,0.1,0.7335928376800311,613.3275261324042,613.235784444244,500
Concrete,nosmooth_lamx3,1,0,20261407,0.12,0.0045000000000000005,0.0,0.7794084945519235,166.37282229965157,179.71173733701275,395
Concrete,smooth_lamx3_smooth0p05,1,0,20261407,0.12,0.0045000000000000005,0.05,0.7609517456081832,114.02787456445994,126.5871211726491,231
L-Concrete,nosmooth_lamx3,1,0,20261407,0.12,0.009000000000000001,0.0,0.7781483952264473,59.51567944250871,66.05731043001501,144
L-Concrete,smooth_lamx3_smooth0p025,1,0,20261407,0.15,0.012,0.025,0.7656956489511526,31.637630662020907,35.88029323139257,84
L-LSPIN,nosmooth_lamx3,1,0,20261407,0.2,0.021,0.0,0.7593951523237714,169.4390243902439,169.490572726685,277
L-LSPIN,smooth_lamx3_smooth0p1,1,0,20261407,0.22,0.042,0.1,0.7675487361945,241.70034843205576,241.79204248302074,332
LSPIN,nosmooth_lamx3,1,0,20261407,0.2,0.01575,0.0,0.7555407308576088,213.25783972125436,213.34641098394627,395
LSPIN,smooth_lamx3_smooth0p1,1,0,20261407,0.2,0.021,0.1,0.7507227040249055,515.1045296167248,515.0270712184574,500
Concrete,nosmooth_lamx3,1,1,20261408,0.12,0.0045000000000000005,0.0,0.7835594099770217,79.68989547038328,86.1456754730969,207
Concrete,smooth_lamx3_smooth0p05,1,1,20261408,0.12,0.0045000000000000005,0.05,0.7235935067822993,66.7212543554007,72.12304695474977,151
L-Concrete,nosmooth_lamx3,1,1,20261408,0.12,0.009000000000000001,0.0,0.7708842932325254,21.682926829268293,25.971406145793637,60
L-Concrete,smooth_lamx3_smooth0p025,1,1,20261408,0.15,0.012,0.025,0.7775554073085761,18.076655052264808,21.435517832792595,49
L-LSPIN,nosmooth_lamx3,1,1,20261408,0.2,0.021,0.0,0.7577644355496257,106.78745644599303,106.82035112547126,177
L-LSPIN,smooth_lamx3_smooth0p1,1,1,20261408,0.22,0.042,0.1,0.703728411533615,215.0383275261324,215.08789950380756,272
LSPIN,nosmooth_lamx3,1,1,20261408,0.2,0.01575,0.0,0.7702171818249203,173.37282229965157,173.4508939204731,304
LSPIN,smooth_lamx3_smooth0p1,1,1,20261408,0.2,0.021,0.1,0.7716255281298644,437.74216027874564,437.6497238106013,500
Concrete,nosmooth_lamx3,2,0,20262407,0.12,0.0045000000000000005,0.0,0.7266387726638772,124.98257839721255,131.4944085044728,303
Concrete,smooth_lamx3_smooth0p05,2,0,20262407,0.12,0.0045000000000000005,0.05,0.737408957074229,81.74912891986062,86.85998474014761,181
L-Concrete,nosmooth_lamx3,2,0,20262407,0.12,0.009000000000000001,0.0,0.7254765225476523,36.254355400696866,39.82443854700813,98
L-Concrete,smooth_lamx3_smooth0p025,2,0,20262407,0.15,0.012,0.025,0.7333023399969006,18.40418118466899,21.278032505553774,51
L-LSPIN,nosmooth_lamx3,2,0,20262407,0.2,0.021,0.0,0.6873547187354718,109.19163763066202,109.24424584152807,159
L-LSPIN,smooth_lamx3_smooth0p1,2,0,20262407,0.22,0.042,0.1,0.7046335037966837,218.77351916376307,218.86496758544072,264
LSPIN,nosmooth_lamx3,2,0,20262407,0.2,0.01575,0.0,0.7088176042150938,201.0452961672474,201.07203413800497,352
LSPIN,smooth_lamx3_smooth0p1,2,0,20262407,0.2,0.021,0.1,0.6984348365101504,475.2717770034843,475.16565675104124,500
Concrete,nosmooth_lamx3,2,1,20262408,0.12,0.0045000000000000005,0.0,0.7437625910429257,129.56445993031357,137.22045433230517,317
Concrete,smooth_lamx3_smooth0p05,2,1,20262408,0.12,0.0045000000000000005,0.05,0.739501007283434,110.95470383275261,114.89856121847438,227
L-Concrete,nosmooth_lamx3,2,1,20262408,0.12,0.009000000000000001,0.0,0.7335347900201457,40.54703832752613,43.88121254685033,101
L-Concrete,smooth_lamx3_smooth0p025,2,1,20262408,0.15,0.012,0.025,0.7291182395784906,28.51219512195122,30.68709414013587,54
L-LSPIN,nosmooth_lamx3,2,1,20262408,0.2,0.021,0.0,0.7264838059817139,123.52961672473867,123.5263021116888,173
L-LSPIN,smooth_lamx3_smooth0p1,2,1,20262408,0.22,0.042,0.1,0.7311328064466139,219.9233449477352,220.10782849248693,262
LSPIN,nosmooth_lamx3,2,1,20262408,0.2,0.01575,0.0,0.7229195722919572,262.5853658536585,262.5786292843702,476
LSPIN,smooth_lamx3_smooth0p1,2,1,20262408,0.2,0.021,0.1,0.7181930884859755,527.3937282229965,527.2340159133752,500
