family,selection,model_label,top_n,observed_pairs,random_pairs,observed_mean_jaccard,observed_median_jaccard,random_mean_jaccard,random_median_jaccard,observed_mean_overlap_n,random_mean_overlap_n,mannwhitney_p_greater
Concrete,nosmooth_lamx3,Concrete nosmooth,25,15,30000,0.0013605442176870747,0.0,0.0021092723259516573,0.0,0.06666666666666667,0.1032,0.6658557698949111
Concrete,nosmooth_lamx3,Concrete nosmooth,50,15,30000,0.0067752353466639164,0.0,0.004220273019131635,0.0,0.6666666666666666,0.4161,0.09761657513697508
Concrete,nosmooth_lamx3,Concrete nosmooth,100,15,30000,0.010487553453288582,0.010101010101010102,0.008482567778653301,0.010101010101010102,2.066666666666667,1.6740666666666666,0.11786104074420267
Concrete,nosmooth_lamx3,Concrete nosmooth,200,15,30000,0.019233694586328506,0.017811704834605598,0.017031959671354534,0.017811704834605598,7.533333333333333,6.6827,0.10192598405053749
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,25,15,30000,0.0013605442176870747,0.0,0.0021305893279297532,0.0,0.06666666666666667,0.1042,0.666027949221965
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,50,15,30000,0.0033807462378890947,0.0,0.004223034832380038,0.0,0.3333333333333333,0.4164,0.7165218470008952
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,100,15,30000,0.007783802172715556,0.005025125628140704,0.008479494526176957,0.010101010101010102,1.5333333333333334,1.6734,0.7479985086327618
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,200,3,6000,0.023103187094119387,0.017811704834605598,0.016955801077239884,0.015228426395939087,9.0,6.6535,0.15843965288074296
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,25,15,30000,0.010941043083900226,0.0,0.0021435693781058523,0.0,0.5333333333333333,0.10483333333333333,8.646889857232799e-07
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,50,15,30000,0.013634203030373873,0.010101010101010102,0.004160563132776527,0.0,1.3333333333333333,0.41023333333333334,3.4168219684396585e-05
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,100,1,2000,0.010101010101010102,0.010101010101010102,0.008532532333183334,0.010101010101010102,2.0,1.6845,0.3227789426912281
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,25,15,30000,0.005442176870748299,0.0,0.0020715491870507067,0.0,0.26666666666666666,0.10133333333333333,0.014004067605281953
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,50,6,12000,0.008451865594722737,0.010101010101010102,0.0042227338841070335,0.0,0.8333333333333334,0.41633333333333333,0.04326476600383883
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,25,15,30000,0.004081632653061224,0.0,0.002154716070825493,0.0,0.2,0.10536666666666666,0.1020835459228362
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,50,15,30000,0.0053872053872053875,0.010101010101010102,0.004217827682463175,0.0,0.5333333333333333,0.4159,0.10521337652946866
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,100,15,30000,0.010135314168897604,0.010101010101010102,0.008482515868668673,0.010101010101010102,2.0,1.6740333333333333,0.10212136143789641
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,25,15,30000,0.006802721088435373,0.0,0.0021075396825396826,0.0,0.3333333333333333,0.10306666666666667,0.0011992582443767622
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,50,15,30000,0.008108293822579537,0.010101010101010102,0.004252074740077608,0.0,0.8,0.4192666666666667,0.004814811610229683
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,100,15,30000,0.011516630996189775,0.010101010101010102,0.008446594381579332,0.010101010101010102,2.2666666666666666,1.6670333333333334,0.04386968508247623
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,200,15,30000,0.01784856578373693,0.017811704834605598,0.017015573568299157,0.017811704834605598,7.0,6.6763,0.22586730008079586
LSPIN,nosmooth_lamx3,LSPIN nosmooth,25,15,30000,0.0,0.0,0.0021319589183191007,0.0,0.0,0.10423333333333333,0.9002481003338658
LSPIN,nosmooth_lamx3,LSPIN nosmooth,50,15,30000,0.00202020202020202,0.0,0.004260540490688348,0.0,0.2,0.42,0.8964920857390666
LSPIN,nosmooth_lamx3,LSPIN nosmooth,100,15,30000,0.006050505823482381,0.005025125628140704,0.008411876900744755,0.005025125628140704,1.2,1.6601333333333332,0.9109418856765557
LSPIN,nosmooth_lamx3,LSPIN nosmooth,200,15,30000,0.015091156304772754,0.012658227848101266,0.016936409837641317,0.015228426395939087,5.933333333333334,6.646066666666667,0.8815241526651697
LSPIN,nosmooth_lamx3,LSPIN nosmooth,400,1,2000,0.0457516339869281,0.0457516339869281,0.034411322524737505,0.03492884864165589,35.0,26.5845,0.05505617344549997
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,25,15,30000,0.008219954648526076,0.0,0.002154818594104308,0.0,0.4,0.1054,0.0011360517819440838
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,50,15,30000,0.009496748819281956,0.010101010101010102,0.004192923032950937,0.0,0.9333333333333333,0.4134,0.0021391669477112884
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,100,15,30000,0.009793590531216294,0.010101010101010102,0.008384077063335804,0.005025125628140704,1.9333333333333333,1.6547666666666667,0.1606898137873643
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,200,15,30000,0.01699607671678627,0.015228426395939087,0.01701113342294748,0.017811704834605598,6.666666666666667,6.6746,0.4190293932798694
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,400,15,30000,0.03629890059720886,0.03626943005181347,0.034557432336141655,0.03492884864165589,28.0,26.6925,0.13107995759773755
