family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,PBK,3,kidneyclearcellrenalcarcinoma,3,1.0,1.0,287.0,7.910144474836396,0.9595142507508396,6.49104070066851,1.0,PBK,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,ASPM,3,kidneypapillaryrenalcellcarcinoma,3,1.0,0.3623693287372589,104.0,5.134581898947637,1.218103016923869,3.916478882023768,1.0,ASPM,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,COL4A5,3,kidneyclearcellrenalcarcinoma,3,1.0,0.5574913024902344,160.0,2.911031418932819,0.9732854004817858,1.9574858040152991,1.0,COL4A5,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,MAT1A,3,kidneyclearcellrenalcarcinoma,3,1.0,0.6341463327407837,182.0,2.269196019370344,0.6707331032247158,1.5984629161456283,1.0,MAT1A,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,DLX1,3,kidneyclearcellrenalcarcinoma,3,1.0,1.0,287.0,2.387827164797822,0.8550842793174783,1.532742885480344,1.0,DLX1,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,AFM,3,kidneyclearcellrenalcarcinoma,3,1.0,0.4599303007125854,132.0,0.5434904034486548,0.870515319351238,-0.1759718022650243,0.3333333333333333,AFM,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,CCDC19,3,kidneyclearcellrenalcarcinoma,2,0.6666666666666666,0.449477344751358,129.0,1.9954379772944923,0.7081337835071464,1.2563966428931193,0.6666666666666666,CCDC19,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,NEK2,2,kidneyclearcellrenalcarcinoma,2,1.0,1.0,287.0,9.936181878791842,0.9451436378116087,8.991038240980233,1.0,NEK2,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,NEK2,2,kidneyclearcellrenalcarcinoma,2,1.0,1.0,287.0,9.936181878791842,1.1553702019796326,8.78081167681221,1.0,NEK2,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,IGF2BP3,2,kidneypapillaryrenalcellcarcinoma,2,1.0,0.47735191881656647,137.0,7.008884951454119,0.49477243229516277,6.514112519158957,1.0,IGF2BP3,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,KIF14,2,kidneypapillaryrenalcellcarcinoma,2,1.0,0.1585365831851959,45.5,6.431941406652172,0.6326145764040224,5.799326830248148,1.0,KIF14,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,CCNB2,2,kidneypapillaryrenalcellcarcinoma,2,1.0,0.3240418136119842,93.0,5.723098230817182,0.5954323831888092,5.127665847628372,1.0,CCNB2,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,DEPDC1,2,kidneypapillaryrenalcellcarcinoma,2,1.0,0.16898954287171358,48.5,5.570571083708796,0.6080248547152616,4.962546228993533,1.0,DEPDC1,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,PBK,2,kidneyclearcellrenalcarcinoma,2,1.0,1.0,287.0,5.846932923729037,1.0380162204299899,4.808916703299047,1.0,PBK,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,COL7A1,2,kidneyclearcellrenalcarcinoma,2,1.0,0.9912891983985901,284.5,5.836134600379889,1.079006037494425,4.757128562885464,1.0,COL7A1,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,PDGFRL,2,kidneyclearcellrenalcarcinoma,2,1.0,1.0,287.0,5.397241955537559,0.7668167526094146,4.630425202928144,1.0,PDGFRL,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ANK3,2,kidneyclearcellrenalcarcinoma,2,1.0,0.5278745591640472,151.5,5.421920709851199,0.8060272920323155,4.615893417818883,1.0,ANK3,,,False
