family,selection,fold,rep,n_genes,fraction_gt_random_median,fraction_gt_random_p90,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p,median_target_minus_random_median
Concrete,nosmooth_lamx3,0,0,251,0.5776892430278885,0.13545816733067728,0.6453602226246354,0.5638739360870327,0.10481905505032052
Concrete,nosmooth_lamx3,0,1,257,0.5680933852140078,0.13618677042801555,0.6366190073290434,0.5464094540445598,0.08153715366135378
Concrete,nosmooth_lamx3,1,0,207,0.5169082125603864,0.16908212560386474,0.5424471843836324,0.5696633288773538,0.023038376366285696
Concrete,nosmooth_lamx3,1,1,234,0.5128205128205128,0.16666666666666666,0.5831771511977807,0.5941737378378251,0.028157687678609128
Concrete,nosmooth_lamx3,2,0,240,0.5083333333333333,0.125,0.5717698452260235,0.5691581822649281,0.00730817321146493
Concrete,nosmooth_lamx3,2,1,336,0.5178571428571429,0.13988095238095238,0.6159447965402296,0.5346824001881497,0.03400414592633716
Concrete,smooth_lamx3_smooth0p05,0,0,215,0.5627906976744186,0.13023255813953488,0.7274548186396219,0.6549068923946957,0.1259901272065032
Concrete,smooth_lamx3_smooth0p05,0,1,216,0.5555555555555556,0.14814814814814814,0.6166857763672158,0.5734389285105422,0.03283655697525362
Concrete,smooth_lamx3_smooth0p05,1,0,215,0.5162790697674419,0.14883720930232558,0.7135634347406793,0.6578464934757964,0.0353654612318805
Concrete,smooth_lamx3_smooth0p05,1,1,168,0.5773809523809523,0.17857142857142858,0.7784036333160598,0.6397694170658634,0.20502117884149723
Concrete,smooth_lamx3_smooth0p05,2,0,163,0.5214723926380368,0.1165644171779141,0.7348917590362165,0.6504564533310152,0.08218263908552725
Concrete,smooth_lamx3_smooth0p05,2,1,219,0.5753424657534246,0.136986301369863,0.7380562549007202,0.5612488246134114,0.13904020767498615
L-Concrete,nosmooth_lamx3,0,0,91,0.5714285714285714,0.23076923076923078,0.7178756190444102,0.5368462574559079,0.18879991180787214
L-Concrete,nosmooth_lamx3,0,1,79,0.7721518987341772,0.4177215189873418,1.434138088382485,0.5822177478026463,0.8224362458974758
L-Concrete,nosmooth_lamx3,1,0,89,0.6179775280898876,0.21348314606741572,0.9462629807501717,0.6241509757598598,0.36799505501751795
L-Concrete,nosmooth_lamx3,1,1,92,0.5869565217391305,0.22826086956521738,0.6743920517400197,0.5465865268783108,0.2085304275127502
L-Concrete,nosmooth_lamx3,2,0,76,0.618421052631579,0.27631578947368424,0.8829652132158656,0.5315718413483701,0.1937862754405973
L-Concrete,nosmooth_lamx3,2,1,132,0.6590909090909091,0.18181818181818182,0.9049366443318528,0.549305916296295,0.24119897670342644
L-Concrete,smooth_lamx3_smooth0p025,0,0,77,0.6623376623376623,0.19480519480519481,0.8684177174828429,0.5734415687945487,0.35241335170833454
L-Concrete,smooth_lamx3_smooth0p025,0,1,56,0.7142857142857143,0.35714285714285715,1.1422543299516463,0.6275409195718026,0.662564486265742
L-Concrete,smooth_lamx3_smooth0p025,1,0,75,0.6133333333333333,0.29333333333333333,1.0498501163347385,0.6616465816761024,0.3938198480617252
L-Concrete,smooth_lamx3_smooth0p025,1,1,43,0.6046511627906976,0.32558139534883723,0.7384851676716845,0.5164600431192117,0.13781635998812358
L-Concrete,smooth_lamx3_smooth0p025,2,0,46,0.6739130434782609,0.2608695652173913,0.7860192224063793,0.541635133118701,0.24058861909779003
L-Concrete,smooth_lamx3_smooth0p025,2,1,58,0.7241379310344828,0.22413793103448276,1.14353269380933,0.6088185000258601,0.5812141219054299
L-LSPIN,nosmooth_lamx3,0,0,161,0.5900621118012422,0.13664596273291926,0.8145708887110696,0.7324676312452986,0.1947943257115956
L-LSPIN,nosmooth_lamx3,0,1,208,0.5961538461538461,0.14423076923076922,0.9377494701410742,0.7440975548184533,0.25445784014716943
L-LSPIN,nosmooth_lamx3,1,0,221,0.5067873303167421,0.13122171945701358,0.8774709938736933,0.7212713102384107,0.023330350871406336
L-LSPIN,nosmooth_lamx3,1,1,164,0.5,0.1524390243902439,0.7479073412582594,0.7046475830843837,-0.006419581729769086
