family,selection,fold,rep,seed,gate_sigma,lambda_sparse,lambda_sample_smooth,test_cindex,Khard_test_mean,Ksoft_test_mean,n_subset_genes_tested
Concrete,nosmooth_lamx3,0,0,20260407,0.12,0.0045000000000000005,0.0,0.7347606072401712,94.02090592334494,98.85520940375245,251
Concrete,smooth_lamx3_smooth0p05,0,0,20260407,0.12,0.0045000000000000005,0.05,0.7416115219929934,101.15331010452962,108.44295982865921,215
L-Concrete,nosmooth_lamx3,0,0,20260407,0.12,0.009000000000000001,0.0,0.726508369015181,33.40766550522648,37.79503933311755,91
L-Concrete,smooth_lamx3_smooth0p025,0,0,20260407,0.15,0.012,0.025,0.7335928376800311,32.07665505226481,35.98245945043265,77
L-LSPIN,nosmooth_lamx3,0,0,20260407,0.2,0.021,0.0,0.7342156481121058,107.4773519163763,107.48436694527336,161
L-LSPIN,smooth_lamx3_smooth0p1,0,0,20260407,0.22,0.042,0.1,0.732425068119891,201.49477351916377,201.5388085235702,255
LSPIN,nosmooth_lamx3,0,0,20260407,0.2,0.01575,0.0,0.7420786298170494,167.14285714285714,167.17972960787782,300
LSPIN,smooth_lamx3_smooth0p1,0,0,20260407,0.2,0.021,0.1,0.7293110159595173,518.1672473867595,518.2076979580656,500
Concrete,nosmooth_lamx3,0,1,20260408,0.12,0.0045000000000000005,0.0,0.7458154924094978,106.7212543554007,114.05894425023308,257
Concrete,smooth_lamx3_smooth0p05,0,1,20260408,0.12,0.0045000000000000005,0.05,0.7343713507201246,91.96515679442508,101.03261893136161,216
L-Concrete,nosmooth_lamx3,0,1,20260408,0.12,0.009000000000000001,0.0,0.7376411054885169,28.041811846689896,32.08512233109424,79
L-Concrete,smooth_lamx3_smooth0p025,0,1,20260408,0.15,0.012,0.025,0.722849357726742,24.979094076655052,29.201492595340316,56
L-LSPIN,nosmooth_lamx3,0,1,20260408,0.2,0.021,0.0,0.7178668742701441,146.73519163763066,146.84937892475196,208
L-LSPIN,smooth_lamx3_smooth0p1,0,1,20260408,0.22,0.042,0.1,0.7073569482288828,246.0034843205575,246.13595432188453,299
LSPIN,nosmooth_lamx3,0,1,20260408,0.2,0.01575,0.0,0.7239392759828727,226.62717770034843,226.66184614759703,414
LSPIN,smooth_lamx3_smooth0p1,0,1,20260408,0.2,0.021,0.1,0.7390424289606851,663.7038327526133,663.374438667962,500
Concrete,nosmooth_lamx3,1,0,20261407,0.12,0.0045000000000000005,0.0,0.7415313912979024,80.88501742160278,87.21780685265306,207
Concrete,smooth_lamx3_smooth0p05,1,0,20261407,0.12,0.0045000000000000005,0.05,0.7687347120302424,107.72822299651568,118.82793104856272,215
L-Concrete,nosmooth_lamx3,1,0,20261407,0.12,0.009000000000000001,0.0,0.7662886368690238,39.13588850174216,44.80566698665818,89
L-Concrete,smooth_lamx3_smooth0p025,1,0,20261407,0.15,0.012,0.025,0.7642131791564747,33.31358885017421,37.217577372693846,75
L-LSPIN,nosmooth_lamx3,1,0,20261407,0.2,0.021,0.0,0.7573938181009562,141.11498257839722,141.1711558697531,221
L-LSPIN,smooth_lamx3_smooth0p1,1,0,20261407,0.22,0.042,0.1,0.761767103995256,229.70383275261324,229.7826150502062,300
LSPIN,nosmooth_lamx3,1,0,20261407,0.2,0.01575,0.0,0.7469424060484767,204.404181184669,204.4233874809451,378
LSPIN,smooth_lamx3_smooth0p1,1,0,20261407,0.2,0.021,0.1,0.7550218664294714,560.1498257839721,559.999837416805,500
Concrete,nosmooth_lamx3,1,1,20261408,0.12,0.0045000000000000005,0.0,0.7573938181009562,95.48432055749129,101.99534277301217,234
Concrete,smooth_lamx3_smooth0p05,1,1,20261408,0.12,0.0045000000000000005,0.05,0.7588021644059002,76.33797909407666,82.5189095473871,168
L-Concrete,nosmooth_lamx3,1,1,20261408,0.12,0.009000000000000001,0.0,0.7624342154028612,30.78397212543554,35.18234037605312,92
L-Concrete,smooth_lamx3_smooth0p025,1,1,20261408,0.15,0.012,0.025,0.7793343710621896,16.041811846689896,18.866880523203143,43
L-LSPIN,nosmooth_lamx3,1,1,20261408,0.2,0.021,0.0,0.7238900007412349,105.61324041811847,105.69056063662008,164
L-LSPIN,smooth_lamx3_smooth0p1,1,1,20261408,0.22,0.042,0.1,0.695871321621822,211.29268292682926,211.34956992544778,274
LSPIN,nosmooth_lamx3,1,1,20261408,0.2,0.01575,0.0,0.7472389000074123,186.13588850174216,186.16571129988296,325
LSPIN,smooth_lamx3_smooth0p1,1,1,20261408,0.2,0.021,0.1,0.7452375657845971,461.52613240418117,461.46637760388313,500
Concrete,nosmooth_lamx3,2,0,20262407,0.12,0.0045000000000000005,0.0,0.7219122888578956,99.10104529616724,104.32901407700382,240
Concrete,smooth_lamx3_smooth0p05,2,0,20262407,0.12,0.0045000000000000005,0.05,0.734387106772044,72.42160278745645,77.93540268741833,163
L-Concrete,nosmooth_lamx3,2,0,20262407,0.12,0.009000000000000001,0.0,0.7095149542848288,26.536585365853657,29.892519302899828,76
L-Concrete,smooth_lamx3_smooth0p025,2,0,20262407,0.15,0.012,0.025,0.6974275530760886,14.682926829268293,16.437205495734663,46
L-LSPIN,nosmooth_lamx3,2,0,20262407,0.2,0.021,0.0,0.7191228885789556,110.74912891986062,110.79106177353277,164
L-LSPIN,smooth_lamx3_smooth0p1,2,0,20262407,0.22,0.042,0.1,0.7009917867658454,218.41463414634146,218.46583854861376,262
LSPIN,nosmooth_lamx3,2,0,20262407,0.2,0.01575,0.0,0.7007593367426004,200.3623693379791,200.36440550907147,363
LSPIN,smooth_lamx3_smooth0p1,2,0,20262407,0.2,0.021,0.1,0.7075778707577871,501.91637630662024,501.6098401006506,500
Concrete,nosmooth_lamx3,2,1,20262408,0.12,0.0045000000000000005,0.0,0.7311328064466139,141.0766550522648,148.48983918831323,336
Concrete,smooth_lamx3_smooth0p05,2,1,20262408,0.12,0.0045000000000000005,0.05,0.7279559894622656,100.28222996515679,106.29345174118201,219
L-Concrete,nosmooth_lamx3,2,1,20262408,0.12,0.009000000000000001,0.0,0.727646056097939,52.68989547038328,56.780185799150104,132
L-Concrete,smooth_lamx3_smooth0p025,2,1,20262408,0.15,0.012,0.025,0.7112195877886255,28.034843205574912,30.128574102182423,58
L-LSPIN,nosmooth_lamx3,2,1,20262408,0.2,0.021,0.0,0.7291957229195722,135.7212543554007,135.73249311812663,187
L-LSPIN,smooth_lamx3_smooth0p1,2,1,20262408,0.22,0.042,0.1,0.7164884549821788,221.18815331010452,221.27860688000192,261
LSPIN,nosmooth_lamx3,2,1,20262408,0.2,0.01575,0.0,0.7224546722454672,205.98606271777004,206.00376405616254,356
LSPIN,smooth_lamx3_smooth0p1,2,1,20262408,0.2,0.021,0.1,0.7286533395320006,487.77003484320556,487.8287396048835,500
