model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
Concrete,0.12,0.0015,0.0,0.7220820639756284,0.0105453630258062,237.168275197347,44.49406302223676,0.9750444768914344,0.0097132507897827,1497.8333333333333,763.5,12,239.07428995768228,46.760507125458005
Concrete,0.12,0.0015,0.025,0.6894833714140645,0.0317015415955131,284.3204650878906,26.945924045270093,0.9781392554978487,0.0067727585806742,1399.0,782.0,3,285.952880859375,28.36072559918858
Concrete,0.12,0.0015,0.05,0.711030718456461,0.0123248239258431,270.8101641337077,49.3946812703614,0.9791006965119978,0.0067668748702607,1240.9166666666667,730.4166666666666,12,272.07397206624347,49.18958860213876
Concrete,0.12,0.0015,0.1,0.7116971312515866,0.0092057427303256,261.0025685628255,30.222436405200234,0.977634920704519,0.0098463481356482,1261.0,709.3333333333334,3,262.72136942545575,31.681564146457816
Concrete,0.12,0.002,0.0,0.7125539477024625,0.007719179622444,221.1222635904948,82.63269213736326,0.9670579567018396,0.0176914209696509,1532.0,758.0,3,223.5172373453776,85.78455127131865
Concrete,0.12,0.002,0.025,0.7075082508250826,0.0183525651375609,174.06434631347656,41.58073449055495,0.9742855988410408,0.0099004291461162,986.0,525.6666666666666,3,175.20361836751303,42.31700790638101
Concrete,0.12,0.002,0.05,0.7181073876618432,0.0096656817566618,145.566281636556,49.0108763553743,0.955770128854469,0.0141427413104774,610.0,394.6666666666667,3,146.0953852335612,49.80516949310674
Concrete,0.12,0.002,0.1,0.6979246001523229,0.0151128216549766,175.57528940836588,57.53296377711703,0.969348244664049,0.0190215844369569,1009.6666666666666,532.3333333333334,3,176.7777303059896,58.66836259953689
Concrete,0.12,0.0025,0.0,0.7258822036049759,0.0127844865946202,101.81209818522136,8.329291271204717,0.9413818886843692,0.0094167503886902,573.3333333333334,320.3333333333333,3,101.93790690104169,8.319179522947856
Concrete,0.12,0.0025,0.025,0.7224232038588475,0.005474174089215,115.24195607503256,12.947208571945668,0.9572291790416332,0.0162111135749117,618.0,345.0,3,115.7443618774414,13.707598002447932
Concrete,0.12,0.0025,0.05,0.7037953795379538,0.0145787334995413,146.59073384602866,45.04855396497828,0.961008804822491,0.0103949907795366,578.6666666666666,357.0,3,147.1867218017578,45.70740003950662
Concrete,0.12,0.0025,0.1,0.711030718456461,0.0123800207079585,134.3976796468099,24.97391313976991,0.9519498720038488,0.0237158610870359,674.0,353.3333333333333,3,135.12364959716797,25.67976528943691
Concrete,0.12,0.003,0.0,0.7116971312515866,0.0131882310201032,108.62934112548828,34.19018641282033,0.9534174835652828,0.0312108246268333,840.6666666666666,387.6666666666667,3,110.04940032958984,36.30527935602526
Concrete,0.12,0.003,0.025,0.7073813150545823,0.0014259102525171,106.59716796875,30.876174142839314,0.9533223755285872,0.0084235773126046,665.6666666666666,311.6666666666667,3,107.40249633789062,31.64583035979485
Concrete,0.12,0.003,0.05,0.7159494795633409,0.0065130390075061,97.48262532552084,16.388945328913113,0.9440171562944616,0.0049261661277267,448.0,256.3333333333333,3,97.75574747721356,16.416628298752972
Concrete,0.12,0.003,0.1,0.7078890581365829,0.0126737675460164,93.95366668701172,8.377922006146765,0.9435100975516584,0.0112169672093444,392.3333333333333,248.0,3,94.29047139485677,8.901980691190408
Concrete,0.12,0.004,0.0,0.7176948464077176,0.0069362442861113,71.45431137084961,10.392895708690569,0.9402499880424414,0.0293738303034608,668.3333333333334,246.66666666666663,3,72.47940826416016,11.66449847629667
Concrete,0.12,0.004,0.025,0.723946433104849,0.0184311656687858,55.5881601969401,9.026150179166724,0.9110714235788628,0.0156469695506561,304.0,149.33333333333334,3,55.92233530680338,9.355650883842053
Concrete,0.12,0.004,0.05,0.7156321401370906,0.0071064194998177,54.57786432902018,10.00167852937513,0.9136477078287534,0.0355993106575802,297.0,156.66666666666666,3,54.87861124674479,10.393338455754645
Concrete,0.12,0.004,0.1,0.732927138867733,0.0015710705502013,57.27413177490234,10.336752476426506,0.9279820856098904,0.0139913575028669,175.0,162.0,3,57.28498458862305,10.318502503794852
Concrete,0.15,0.0015,0.0,0.7031607006854532,0.0128642295553846,232.15057373046875,38.142911391477554,0.9764457424915984,0.0060186637152617,1698.3333333333333,825.3333333333334,3,234.86066691080728,40.88799552857584
Concrete,0.15,0.0015,0.025,0.7085872048743336,0.0047112882831906,245.59459431966147,24.19299160226592,0.9795009178585614,0.0041649046805295,1250.3333333333333,685.3333333333334,3,247.07921346028647,24.439167001792367
Concrete,0.15,0.0015,0.05,0.7047473978167048,0.022367635186029,270.2638397216797,88.83503936443098,0.9752414207903328,0.0152765633488272,1248.3333333333333,707.0,3,271.5106404622396,89.34228952521447
Concrete,0.15,0.0015,0.1,0.706937039857832,0.0161451559575613,225.5933074951172,44.145883458112245,0.9789150535909942,0.0104047619318438,1404.3333333333333,707.3333333333334,3,227.60752868652344,44.88223737869493
Concrete,0.15,0.002,0.0,0.7131568926123381,0.0049477480808021,210.49035135904947,49.24514164174375,0.9783083210624748,0.0163122925299047,1790.0,793.3333333333334,3,214.5600382486979,52.586467367033606
Concrete,0.15,0.002,0.025,0.7092536176694592,0.0185624034749106,179.75933329264322,31.737745262642875,0.9750316855105632,0.0029250141836432,1003.0,483.3333333333333,3,180.7261708577474,31.082448333652337
Concrete,0.15,0.002,0.05,0.7050012693577049,0.0123712324130114,140.4440155029297,21.57940693108391,0.9551135167708552,0.0112969387056042,599.0,353.6666666666667,3,140.98431905110678,22.390005996907817
Concrete,0.15,0.002,0.1,0.7124587458745874,0.0104918000725764,185.24581909179688,81.52978998387447,0.9729817182381376,0.0073242942296011,1003.6666666666666,477.0,3,186.5621795654297,82.91511400313433
Concrete,0.15,0.0025,0.0,0.715854277735466,0.0065241621164551,155.46074676513672,45.60217715202849,0.9581103996701628,0.0280051584627247,1121.3333333333333,526.0,3,157.24625142415366,48.110125800676975
Concrete,0.15,0.0025,0.025,0.7188055343995939,0.0264663364500372,121.74774932861328,19.397580982454024,0.9498717609493056,0.0138463473190709,570.3333333333334,319.3333333333333,3,122.23405202229816,19.564804273804437
Concrete,0.15,0.0025,0.05,0.7117605991368366,0.0164757850389771,129.954953511556,27.676977523322943,0.9633206881368972,0.0071286602245463,677.0,351.0,3,130.59742228190103,27.397155077313965
Concrete,0.15,0.0025,0.1,0.7037953795379538,0.0051658141170486,106.62548065185548,41.29340067898409,0.967206962259032,0.0041182457628293,573.0,314.3333333333333,3,107.32203928629558,41.58174305110358
Concrete,0.15,0.003,0.0,0.712998222899213,0.0066350506248815,120.64993794759114,26.79058437504265,0.955223192142082,0.0209763892583289,901.6666666666666,380.0,3,122.17934926350912,29.075498722220438
Concrete,0.15,0.003,0.025,0.7056676821528306,0.0095659284279096,116.8185323079427,31.70856754199036,0.9606658407164076,0.0222476838915231,798.3333333333334,353.0,3,117.69642893473308,32.38369531207899
Concrete,0.15,0.003,0.05,0.707032241685707,0.0087317948466561,112.20720926920572,46.95008099774201,0.9477140591973482,0.040536484805592,758.6666666666666,330.3333333333333,3,113.02825419108072,47.64428426708409
Concrete,0.15,0.003,0.1,0.7052868748413302,0.0034723662264014,117.5842997233073,23.168799844954854,0.952424005359655,0.0173313239603996,510.0,312.0,3,118.0901336669922,22.944355127317085
Concrete,0.15,0.004,0.0,0.7199162223914698,0.0161851507330958,50.676962534586586,6.38548682839628,0.9205723475203336,0.0228496847900491,303.3333333333333,161.33333333333334,3,50.78517786661784,6.443482293358695
Concrete,0.15,0.004,0.025,0.7075399847677075,0.0131029675824476,61.433719635009766,5.843736074787264,0.9294150694515632,0.0308682667436205,366.0,173.0,3,61.81450780232748,5.270105906716035
Concrete,0.15,0.004,0.05,0.7133155623254633,0.0144325259345775,71.95366795857747,13.25661110584282,0.933895112719052,0.0279132636752366,481.3333333333333,205.33333333333331,3,72.52910868326823,13.522016036397693
Concrete,0.15,0.004,0.1,0.703985783193704,0.0097210032783678,58.12870152791341,17.746597283838486,0.9330063778657808,0.0341248578799695,260.0,153.66666666666666,3,58.42443974812826,18.24322096508343
L-Concrete,0.12,0.0015,0.0,0.6794871794871794,0.0162832237158732,1192.8326822916667,107.74022120078688,0.9968730924345852,0.0016219209042636,3418.0,2737.333333333333,3,1194.3861490885415,108.85852701996107
L-Concrete,0.12,0.0015,0.025,0.6749492256918,0.0218693608531314,1352.0553385416667,68.14211663421516,0.9971619893191096,0.0003811515252767,2447.0,2355.0,3,1352.055419921875,68.19803070507524
L-Concrete,0.12,0.0015,0.05,0.6675869510027925,0.0269717604434385,1517.12353515625,65.68237679789344,0.9980121082182504,0.0002225492876468,2632.0,2575.333333333333,3,1517.1586507161458,65.72949621720734
L-Concrete,0.12,0.0015,0.1,0.6691895151053567,0.0441676548681597,1431.7786051432292,161.75910862177165,0.9977561093801632,0.0010731270880259,2896.333333333333,2612.333333333333,3,1433.1258138020833,163.90959610775167
L-Concrete,0.12,0.002,0.0,0.6924346280781924,0.0086242207363769,843.0926513671875,107.70326151845067,0.9943246541411708,0.0010544600508891,2126.333333333333,1753.3333333333333,3,843.1663004557291,107.6247857445972
L-Concrete,0.12,0.002,0.025,0.7061119573495812,0.0168418464489688,1089.2123616536458,64.64649616672659,0.996445182282446,0.0003265241465187,2032.6666666666667,1942.6666666666667,3,1089.2815348307292,64.67727093805827
