model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.22,0.014,0.0,0,1,0.9882958760931878
LSPIN,lspin_tf,0.22,0.014,0.0,0,2,0.9869706926832182
LSPIN,lspin_tf,0.22,0.014,0.0,1,2,0.9836040420400164
LSPIN,lspin_tf,0.22,0.0105,0.0,0,1,0.984848216932514
LSPIN,lspin_tf,0.22,0.0105,0.0,0,2,0.9898615660112252
LSPIN,lspin_tf,0.22,0.0105,0.0,1,2,0.9889212307909584
LSPIN,lspin_tf,0.22,0.00875,0.0,0,1,0.9805690374217808
LSPIN,lspin_tf,0.22,0.00875,0.0,0,2,0.9930391529629158
LSPIN,lspin_tf,0.22,0.00875,0.0,1,2,0.9900856789982192
LSPIN,lspin_tf,0.22,0.007,0.0,0,1,0.9953160835608272
LSPIN,lspin_tf,0.22,0.007,0.0,0,2,0.9850911579677802
LSPIN,lspin_tf,0.22,0.007,0.0,1,2,0.9873516520210984
LSPIN,lspin_tf,0.22,0.00525,0.0,0,1,0.9839271170903028
LSPIN,lspin_tf,0.22,0.00525,0.0,0,2,0.991336566057364
LSPIN,lspin_tf,0.22,0.00525,0.0,1,2,0.9883804266907592
LSPIN,lspin_tf,0.2,0.014,0.0,0,1,0.975253703357857
LSPIN,lspin_tf,0.2,0.014,0.0,0,2,0.9767189393020218
LSPIN,lspin_tf,0.2,0.014,0.0,1,2,0.9610630729897442
LSPIN,lspin_tf,0.2,0.0105,0.0,0,1,0.981388176045252
LSPIN,lspin_tf,0.2,0.0105,0.0,0,2,0.9730992626671684
LSPIN,lspin_tf,0.2,0.0105,0.0,1,2,0.9935062956567456
LSPIN,lspin_tf,0.2,0.00875,0.0,0,1,0.9899791752145736
LSPIN,lspin_tf,0.2,0.00875,0.0,0,2,0.9772466686118974
LSPIN,lspin_tf,0.2,0.00875,0.0,1,2,0.9796166308391144
LSPIN,lspin_tf,0.2,0.007,0.0,0,1,0.9778367329647702
LSPIN,lspin_tf,0.2,0.007,0.0,0,2,0.97431349023532
LSPIN,lspin_tf,0.2,0.007,0.0,1,2,0.9949934675330642
LSPIN,lspin_tf,0.2,0.00525,0.0,0,1,0.9868363907215684
LSPIN,lspin_tf,0.2,0.00525,0.0,0,2,0.9914896140225858
LSPIN,lspin_tf,0.2,0.00525,0.0,1,2,0.9848844443630984
L-LSPIN,lspin_tf,0.22,0.021,0.0,0,1,0.9610705774256656
L-LSPIN,lspin_tf,0.22,0.021,0.0,0,2,0.9733689242655706
L-LSPIN,lspin_tf,0.22,0.021,0.0,1,2,0.9247308607301192
L-LSPIN,lspin_tf,0.22,0.014,0.0,0,1,0.9608180891115878
L-LSPIN,lspin_tf,0.22,0.014,0.0,0,2,0.9385976584099712
L-LSPIN,lspin_tf,0.22,0.014,0.0,1,2,0.9073063586003592
L-LSPIN,lspin_tf,0.22,0.0105,0.0,0,1,0.9411250139620262
L-LSPIN,lspin_tf,0.22,0.0105,0.0,0,2,0.9388742880444952
L-LSPIN,lspin_tf,0.22,0.0105,0.0,1,2,0.975670719944049
L-LSPIN,lspin_tf,0.22,0.00875,0.0,0,1,0.9753166423929424
L-LSPIN,lspin_tf,0.22,0.00875,0.0,0,2,0.9874308181329428
L-LSPIN,lspin_tf,0.22,0.00875,0.0,1,2,0.964562776496082
L-LSPIN,lspin_tf,0.22,0.007,0.0,0,1,0.9825770864067044
L-LSPIN,lspin_tf,0.22,0.007,0.0,0,2,0.980266175439072
L-LSPIN,lspin_tf,0.22,0.007,0.0,1,2,0.9865548227915556
L-LSPIN,lspin_tf,0.2,0.021,0.0,0,1,0.955506786780208
L-LSPIN,lspin_tf,0.2,0.021,0.0,0,2,0.9315097554502928
L-LSPIN,lspin_tf,0.2,0.021,0.0,1,2,0.959707915629918
L-LSPIN,lspin_tf,0.2,0.014,0.0,0,1,0.9026068918856524
L-LSPIN,lspin_tf,0.2,0.014,0.0,0,2,0.9316927709744218
L-LSPIN,lspin_tf,0.2,0.014,0.0,1,2,0.8837859196645179
L-LSPIN,lspin_tf,0.2,0.0105,0.0,0,1,0.9717730668509664
L-LSPIN,lspin_tf,0.2,0.0105,0.0,0,2,0.9630246385108436
L-LSPIN,lspin_tf,0.2,0.0105,0.0,1,2,0.925068207193063
L-LSPIN,lspin_tf,0.2,0.00875,0.0,0,1,0.977508506440289
L-LSPIN,lspin_tf,0.2,0.00875,0.0,0,2,0.9857529712933458
L-LSPIN,lspin_tf,0.2,0.00875,0.0,1,2,0.9875540740720092
L-LSPIN,lspin_tf,0.2,0.007,0.0,0,1,0.9569290428409418
L-LSPIN,lspin_tf,0.2,0.007,0.0,0,2,0.9632379631185024
L-LSPIN,lspin_tf,0.2,0.007,0.0,1,2,0.9762228823640834
Concrete,concrete,0.15,0.004,0.0,0,1,0.9594215908161952
Concrete,concrete,0.15,0.004,0.0,0,2,0.9727548737725364
Concrete,concrete,0.15,0.004,0.0,1,2,0.9657576235101688
Concrete,concrete,0.15,0.003,0.0,0,1,0.9629034078653927
Concrete,concrete,0.15,0.003,0.0,0,2,0.9722450849614548
Concrete,concrete,0.15,0.003,0.0,1,2,0.9776945142405248
Concrete,concrete,0.15,0.0025,0.0,0,1,0.981210769823483
Concrete,concrete,0.15,0.0025,0.0,0,2,0.9583817680473457
Concrete,concrete,0.15,0.0025,0.0,1,2,0.9745530529592006
Concrete,concrete,0.15,0.002,0.0,0,1,0.9833015818150314
Concrete,concrete,0.15,0.002,0.0,0,2,0.9663115417099098
Concrete,concrete,0.15,0.002,0.0,1,2,0.952728021605074
Concrete,concrete,0.15,0.0015,0.0,0,1,0.9634763704131156
Concrete,concrete,0.15,0.0015,0.0,0,2,0.9570566323295308
Concrete,concrete,0.15,0.0015,0.0,1,2,0.9550533034714512
Concrete,concrete,0.12,0.004,0.0,0,1,0.9629578213493076
