model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
Concrete,0.12,0.0015,0.0,0.9688450617849014,0.0103675827697996
Concrete,0.12,0.0015,0.025,0.9619044579473116,0.0234938229008577
Concrete,0.12,0.0015,0.05,0.9786084051424104,0.0098516951239214
Concrete,0.12,0.0015,0.1,0.9733725642191802,0.0079836834618216
Concrete,0.12,0.002,0.0,0.9659826237374968,0.012004619954372
Concrete,0.12,0.002,0.025,0.9662723239519156,0.0095195098065491
Concrete,0.12,0.002,0.05,0.9774599195931488,0.0133409852061086
Concrete,0.12,0.002,0.1,0.9726364341305406,0.0133416635986555
Concrete,0.12,0.0025,0.0,0.976988735977819,0.0091069551122558
Concrete,0.12,0.0025,0.025,0.9765766786768486,0.0162412126284692
Concrete,0.12,0.0025,0.05,0.9836638864629382,0.0091465779033476
Concrete,0.12,0.0025,0.1,0.9754578824683424,0.0137807717473124
Concrete,0.12,0.003,0.0,0.966658817868364,0.0140184434055227
Concrete,0.12,0.003,0.025,0.9753705426178556,0.0095727340370459
Concrete,0.12,0.003,0.05,0.9756428293254964,0.0163818732881443
Concrete,0.12,0.003,0.1,0.9671343916213556,0.0238101484461446
Concrete,0.12,0.004,0.0,0.966840289485288,0.0149365371631197
Concrete,0.12,0.004,0.025,0.9793378917994772,0.0029284625235561
Concrete,0.12,0.004,0.05,0.969806195867967,0.0172154366694552
Concrete,0.12,0.004,0.1,0.9701207679453896,0.0048760741476972
Concrete,0.15,0.0015,0.0,0.9585287687380326,0.0044002731028729
Concrete,0.15,0.0015,0.025,0.9641615813856004,0.0168694533922536
Concrete,0.15,0.0015,0.05,0.9666046539239104,0.0158589173015573
Concrete,0.15,0.0015,0.1,0.9838655735599988,0.0035455509046667
Concrete,0.15,0.002,0.0,0.9674470483766718,0.0153183771177193
Concrete,0.15,0.002,0.025,0.9772412979987508,0.0089924567855969
Concrete,0.15,0.002,0.05,0.9689099706963162,0.0208425289095663
Concrete,0.15,0.002,0.1,0.9791444074597296,0.0085644650951584
Concrete,0.15,0.0025,0.0,0.9713818636100098,0.0117402368775095
Concrete,0.15,0.0025,0.025,0.9696954258971396,0.012244335908541
Concrete,0.15,0.0025,0.05,0.9619306057050286,0.0044332655744541
Concrete,0.15,0.0025,0.1,0.9791496917308736,0.0131618030851038
Concrete,0.15,0.003,0.0,0.9709476690224572,0.0074804193090488
