model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.22,0.014,0.0,0,1,0.959192022175664,0.9160824464623012
LSPIN,lspin_tf,0.22,0.014,0.0,0,2,0.9444994128612382,0.8936609395296968
LSPIN,lspin_tf,0.22,0.014,0.0,1,2,0.9628417621257486,0.9205869816177096
LSPIN,lspin_tf,0.22,0.0105,0.0,0,1,0.9561871298656912,0.9013786585933043
LSPIN,lspin_tf,0.22,0.0105,0.0,0,2,0.9438265156657883,0.8776067481189126
LSPIN,lspin_tf,0.22,0.0105,0.0,1,2,0.9607045732564676,0.9071038181526208
LSPIN,lspin_tf,0.22,0.00875,0.0,0,1,0.968680134553098,0.934790511106081
LSPIN,lspin_tf,0.22,0.00875,0.0,0,2,0.9932334027192996,0.97977526166306
LSPIN,lspin_tf,0.22,0.00875,0.0,1,2,0.975453651176762,0.9549668138807584
LSPIN,lspin_tf,0.22,0.007,0.0,0,1,0.9800494477788292,0.9453148113433668
LSPIN,lspin_tf,0.22,0.007,0.0,0,2,0.9554727728664008,0.9082411478851792
LSPIN,lspin_tf,0.22,0.007,0.0,1,2,0.9365989763258156,0.8678913200441537
LSPIN,lspin_tf,0.22,0.00525,0.0,0,1,0.9690151012542976,0.9317001387678346
LSPIN,lspin_tf,0.22,0.00525,0.0,0,2,0.9932334027192996,0.97977526166306
LSPIN,lspin_tf,0.22,0.00525,0.0,1,2,0.9626157047383967,0.9206975918714256
LSPIN,lspin_tf,0.2,0.014,0.0,0,1,0.8953065361932986,0.8131221154063688
LSPIN,lspin_tf,0.2,0.014,0.0,0,2,0.9478867416030754,0.90302083936445
LSPIN,lspin_tf,0.2,0.014,0.0,1,2,0.9219972558413498,0.8509084826508219
LSPIN,lspin_tf,0.2,0.0105,0.0,0,1,0.9680175319049632,0.949169933583635
LSPIN,lspin_tf,0.2,0.0105,0.0,0,2,0.9474437940969622,0.9056529349672732
LSPIN,lspin_tf,0.2,0.0105,0.0,1,2,0.9755948574420964,0.9386214828861928
LSPIN,lspin_tf,0.2,0.00875,0.0,0,1,0.950154272984529,0.8911520129232559
LSPIN,lspin_tf,0.2,0.00875,0.0,0,2,0.9630702941117278,0.911682582394262
LSPIN,lspin_tf,0.2,0.00875,0.0,1,2,0.9607795236302586,0.923025903152916
