model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
Concrete,0.12,0.0015,0.0,0.8617738096164868,0.8414851620237215
Concrete,0.12,0.0015,0.025,0.94946939984153,0.8934782145722785
Concrete,0.12,0.0015,0.05,0.9605216782764834,0.918772454388637
Concrete,0.12,0.0015,0.1,0.98060660696463,0.9533234913830072
Concrete,0.12,0.002,0.0,0.950402162169558,0.8906753905313188
Concrete,0.12,0.002,0.025,0.9591731807668796,0.910943621624732
Concrete,0.12,0.002,0.05,0.9476845284817608,0.910882749440232
Concrete,0.12,0.002,0.1,0.955741876649364,0.9184827061284924
Concrete,0.12,0.0025,0.0,0.9273497413915116,0.8712022798576085
Concrete,0.12,0.0025,0.025,0.962307960753456,0.9157556800565472
Concrete,0.12,0.0025,0.05,0.9397898779436828,0.8846493390103891
Concrete,0.12,0.0025,0.1,0.9768636707162502,0.94822373518609
Concrete,0.12,0.003,0.0,0.9296494718274868,0.8742490184449744
Concrete,0.12,0.003,0.025,0.9531528836465434,0.9015412867919124
Concrete,0.12,0.003,0.05,0.954130196357428,0.913396172404387
Concrete,0.12,0.003,0.1,0.9481252237944204,0.8945637086385646
Concrete,0.12,0.004,0.0,0.6352922296823104,0.6909918475668438
Concrete,0.12,0.004,0.025,0.9307350258600636,0.8701410934120962
Concrete,0.12,0.004,0.05,0.9453293984377932,0.8853906161710711
Concrete,0.12,0.004,0.1,0.938064180589409,0.8775615877107885
Concrete,0.15,0.0015,0.0,0.9486722172686692,0.8992383163683803
Concrete,0.15,0.0015,0.025,0.9506822056908968,0.8996820506257429
Concrete,0.15,0.0015,0.05,0.9469645729062548,0.8988162503185655
Concrete,0.15,0.0015,0.1,0.9655522740587408,0.9295208004832576
Concrete,0.15,0.002,0.0,0.9365785640076232,0.8863704817719045
Concrete,0.15,0.002,0.025,0.6931082063239288,0.7577514288556803
Concrete,0.15,0.002,0.05,0.8764071067653757,0.8476543845370884
Concrete,0.15,0.002,0.1,0.9360610293232332,0.8756977617428993
Concrete,0.15,0.0025,0.0,0.9468918583731928,0.901577899962807
Concrete,0.15,0.0025,0.025,0.9427233758525676,0.8918286529067938
Concrete,0.15,0.0025,0.05,0.6909760396221168,0.7311476220625736
Concrete,0.15,0.0025,0.1,0.940483136579909,0.8818291155104121
Concrete,0.15,0.003,0.0,0.9661817023261496,0.9284848513665862
Concrete,0.15,0.003,0.025,0.946517038150922,0.8964928507896905
Concrete,0.15,0.003,0.05,0.9562890446923982,0.9133057018028752
Concrete,0.15,0.003,0.1,0.942552163538655,0.8933771003432348
Concrete,0.15,0.004,0.0,0.6662152295787419,0.7074755075469245
Concrete,0.15,0.004,0.025,0.9589921732360738,0.9196740377243804
Concrete,0.15,0.004,0.05,0.9342791835598117,0.8844289981850054
Concrete,0.15,0.004,0.1,0.9564049576187929,0.9117438266583108
L-Concrete,0.12,0.0015,0.0,0.6657937177773395,0.7624023446406313
L-Concrete,0.12,0.0015,0.025,0.9555884827596952,0.923939174898748
L-Concrete,0.12,0.0015,0.05,0.9604373601200892,0.9334812789097088
L-Concrete,0.12,0.0015,0.1,0.6571851657423841,0.7264033575801907
L-Concrete,0.12,0.002,0.0,0.6451648378227158,0.7132855006523217
L-Concrete,0.12,0.002,0.025,0.9840911548508976,0.960380333865288
L-Concrete,0.12,0.002,0.05,0.9696321271596494,0.9386315426546028
L-Concrete,0.12,0.002,0.1,0.9625279066367108,0.938141583790066
L-Concrete,0.12,0.0025,0.0,0.7667086336114809,0.711907341245964
L-Concrete,0.12,0.0025,0.025,0.9579393777734831,0.9249539070422996
L-Concrete,0.12,0.0025,0.05,0.963213352357612,0.9330466491356388
L-Concrete,0.12,0.0025,0.1,0.9452274316385706,0.9121711124004964
L-Concrete,0.12,0.003,0.0,0.6527533040454895,0.678227679264396
L-Concrete,0.12,0.003,0.025,0.9766595469794452,0.9464447465850016
L-Concrete,0.12,0.003,0.05,0.940260936274812,0.8846026372234016
L-Concrete,0.12,0.003,0.1,0.9657496399387272,0.9290876646838476
L-Concrete,0.12,0.004,0.0,0.5877617422185635,0.6443223700062293
L-Concrete,0.12,0.004,0.025,0.9635776664657216,0.9228570290210248
L-Concrete,0.12,0.004,0.05,0.9630093901654888,0.9327491611216484
L-Concrete,0.12,0.004,0.1,0.9654319476867892,0.9223646363899268
L-Concrete,0.15,0.0015,0.0,0.5049863795211775,0.5766164292833446
L-Concrete,0.15,0.0015,0.025,0.9656546656011362,0.9278115332487276
L-Concrete,0.15,0.0015,0.05,0.9396875828967552,0.8948994727868159
L-Concrete,0.15,0.0015,0.1,0.9557881946001126,0.9345490261260828
L-Concrete,0.15,0.002,0.0,0.6136459315547658,0.6617300353047381
L-Concrete,0.15,0.002,0.025,0.9791422689516516,0.9495098564725244
L-Concrete,0.15,0.002,0.05,0.9601232852114192,0.9293008863267912
L-Concrete,0.15,0.002,0.1,0.9647782428934804,0.9469052435987824
L-Concrete,0.15,0.0025,0.0,0.5664624071724808,0.617542275226222
L-Concrete,0.15,0.0025,0.025,0.9326344837713412,0.8823570819787578
L-Concrete,0.15,0.0025,0.05,0.9742100396640252,0.9524423214555608
L-Concrete,0.15,0.0025,0.1,0.9530368968855052,0.9245778583663106
L-Concrete,0.15,0.003,0.0,0.5696812882338018,0.6565846164920702
L-Concrete,0.15,0.003,0.025,0.9330198955108476,0.8903764868518514
L-Concrete,0.15,0.003,0.05,0.9715620255805412,0.9520348196593996
L-Concrete,0.15,0.003,0.1,0.9316158463653588,0.871587828892579
L-Concrete,0.15,0.004,0.0,0.7020978600426669,0.691580759942792
L-Concrete,0.15,0.004,0.025,0.966160961227326,0.9305533489401152
L-Concrete,0.15,0.004,0.05,0.6698809852252586,0.7450931461814339
L-Concrete,0.15,0.004,0.1,0.9367809132587784,0.8799129489591668
L-LSPIN,0.2,0.007,0.0,0.8078526977450241,0.791592577880051
L-LSPIN,0.2,0.007,0.025,0.9793026635410672,0.9493941271464692
L-LSPIN,0.2,0.007,0.05,0.9423850699671736,0.8948753279904752
L-LSPIN,0.2,0.007,0.1,0.9599922329446118,0.9327076674171684
L-LSPIN,0.2,0.00875,0.0,0.9322341449370488,0.8646789435858011
L-LSPIN,0.2,0.00875,0.025,0.9605846147896008,0.9189625031543428
L-LSPIN,0.2,0.00875,0.05,0.9737835306415444,0.9477505148909168
L-LSPIN,0.2,0.00875,0.1,0.9650501856633416,0.9246965915815818
L-LSPIN,0.2,0.0105,0.0,0.909353982267847,0.8470184658188472
L-LSPIN,0.2,0.0105,0.025,0.9436896077399642,0.9025165577960528
L-LSPIN,0.2,0.0105,0.05,0.949020810731674,0.8990184282040549
L-LSPIN,0.2,0.0105,0.1,0.97152387780504,0.9580312407994566
L-LSPIN,0.2,0.014,0.0,0.6506094452476727,0.617234398411934
L-LSPIN,0.2,0.014,0.025,0.8430001328890064,0.7922851208827592
L-LSPIN,0.2,0.014,0.05,0.9409997058470236,0.8938907922608165
L-LSPIN,0.2,0.014,0.1,0.970992985291308,0.9299353378452097
L-LSPIN,0.2,0.021,0.0,0.7955483969652243,0.728598936815506
L-LSPIN,0.2,0.021,0.025,0.8716912881721998,0.8202459140273772
L-LSPIN,0.2,0.021,0.05,0.6756141037025228,0.7279992207259253
L-LSPIN,0.2,0.021,0.1,0.8344272754854963,0.7804119553365466
L-LSPIN,0.22,0.007,0.0,0.6657017593082687,0.734089549101113
L-LSPIN,0.22,0.007,0.025,0.9398307823030142,0.884158156250078
L-LSPIN,0.22,0.007,0.05,0.9818185664790976,0.9554535611636475
L-LSPIN,0.22,0.007,0.1,0.990913740074079,0.9731852193592102
L-LSPIN,0.22,0.00875,0.0,0.9604428208799356,0.9210819361629164
L-LSPIN,0.22,0.00875,0.025,0.9583133286435228,0.9147142088692762
L-LSPIN,0.22,0.00875,0.05,0.9544989602839395,0.9128310160019936
L-LSPIN,0.22,0.00875,0.1,0.9884211883359544,0.9720072392816954
L-LSPIN,0.22,0.0105,0.0,0.8470592445571888,0.7981538139296651
L-LSPIN,0.22,0.0105,0.025,0.9048040247222524,0.8266867598191071
L-LSPIN,0.22,0.0105,0.05,0.9679073338227954,0.9299737847812364
L-LSPIN,0.22,0.0105,0.1,0.9583994080029412,0.9202419561200034
L-LSPIN,0.22,0.014,0.0,0.9088379764216538,0.8484236152314191
L-LSPIN,0.22,0.014,0.025,0.9600922777856056,0.9213248295712768
L-LSPIN,0.22,0.014,0.05,0.9698020447283972,0.9383351717245424
L-LSPIN,0.22,0.014,0.1,0.9584621437016306,0.916945848678369
L-LSPIN,0.22,0.021,0.0,0.8332835901468137,0.7405761570050161
L-LSPIN,0.22,0.021,0.025,0.8949241787331847,0.8046895683495959
L-LSPIN,0.22,0.021,0.05,0.924247278137854,0.8555489155344814
L-LSPIN,0.22,0.021,0.1,0.9298175417962564,0.8751258679067776
LSPIN,0.2,0.00525,0.0,0.9623355817462595,0.9196399195916516
LSPIN,0.2,0.00525,0.025,0.9594988320533098,0.9102997017133038
LSPIN,0.2,0.00525,0.05,0.9767452397723944,0.9483690985632806
LSPIN,0.2,0.00525,0.1,0.9695129220544038,0.9342895127663066
LSPIN,0.2,0.007,0.0,0.9838074038955392,0.9607420335720708
LSPIN,0.2,0.007,0.025,0.9838436200013552,0.9589479018273046
LSPIN,0.2,0.007,0.05,0.972257072978684,0.937136605338908
LSPIN,0.2,0.007,0.1,0.980767325376814,0.956394153967684
LSPIN,0.2,0.00875,0.0,0.9580013635755052,0.9086201661568112
LSPIN,0.2,0.00875,0.025,0.9722038060456633,0.9375826773063723
LSPIN,0.2,0.00875,0.05,0.9635764910060124,0.9249851493132072
LSPIN,0.2,0.00875,0.1,0.9765721419931878,0.9466880032707884
LSPIN,0.2,0.0105,0.0,0.9636853944813404,0.9311481171457002
LSPIN,0.2,0.0105,0.025,0.9591908844168272,0.9143965232819784
LSPIN,0.2,0.0105,0.05,0.9563045453522476,0.9064127011715456
LSPIN,0.2,0.0105,0.1,0.973330079372478,0.9385050412815198
LSPIN,0.2,0.014,0.0,0.9217301778792412,0.8556838124738801
LSPIN,0.2,0.014,0.025,0.9794227977315944,0.949220260287694
LSPIN,0.2,0.014,0.05,0.9837620367646038,0.960740951566716
LSPIN,0.2,0.014,0.1,0.9767706458471386,0.948255538746969
LSPIN,0.22,0.00525,0.0,0.9749547362373312,0.9440576641007734
LSPIN,0.22,0.00525,0.025,0.9403815166664864,0.8890760257743867
LSPIN,0.22,0.00525,0.05,0.9766666761489629,0.9485319076793908
LSPIN,0.22,0.00525,0.1,0.9793940947711754,0.9493804969006844
LSPIN,0.22,0.007,0.0,0.9573737323236818,0.9071490930909
LSPIN,0.22,0.007,0.025,0.9810490375680396,0.9619169614065878
LSPIN,0.22,0.007,0.05,0.9722398662158098,0.9332708903739788
LSPIN,0.22,0.007,0.1,0.973262836291776,0.943073292362568
LSPIN,0.22,0.00875,0.0,0.97912239614972,0.9565108622166332
LSPIN,0.22,0.00875,0.025,0.9531649933073848,0.8984996019417536
LSPIN,0.22,0.00875,0.05,0.9730242169175186,0.9397259439498128
LSPIN,0.22,0.00875,0.1,0.9543385311549412,0.8979175147697255
LSPIN,0.22,0.0105,0.0,0.9535727395959824,0.8953630749549459
LSPIN,0.22,0.0105,0.025,0.9824364561156828,0.9553383004234232
LSPIN,0.22,0.0105,0.05,0.976533104941233,0.9484774662095568
LSPIN,0.22,0.0105,0.1,0.9638031969327427,0.9267010047077386
LSPIN,0.22,0.014,0.0,0.9555110657208836,0.9101101225365692
LSPIN,0.22,0.014,0.025,0.9510868370507598,0.9121852669872502
LSPIN,0.22,0.014,0.05,0.9745911778978404,0.9434901154730596
LSPIN,0.22,0.014,0.1,0.9444457534509486,0.8923428758123939
