family,selection,fold,rep,subgroup,n_subgroups_this_model,k,n_test,n_events_test,cindex_own,cindex_global,cindex_foreign,cindex_random_median,own_minus_global,own_minus_foreign,own_minus_random
Concrete,smooth,0,0,0,4,50,160,49,0.5618326538536207,0.638710929916521,0.6361871481265774,0.6268685692098621,-0.07687827606290032,-0.0743544942729567,-0.06503591535624142
Concrete,smooth,0,0,1,4,50,89,13,0.7789017341040463,0.6791907514450867,0.7760115606936416,0.7167630057803469,0.09971098265895961,0.0028901734104046506,0.06213872832369938
Concrete,smooth,0,0,2,4,50,27,5,0.6739130434782609,0.4891304347826087,0.3695652173913043,0.5163043478260869,0.18478260869565216,0.30434782608695654,0.15760869565217395
LSPIN,smooth,0,0,0,4,50,158,48,0.6566779122841834,0.547529271680889,0.6461599523715023,0.6153006548918436,0.10914864060329432,0.010517959912681119,0.04137725739233977
LSPIN,smooth,0,0,1,4,50,85,11,0.5962264150943396,0.6377358490566037,0.6113207547169811,0.7084905660377359,-0.04150943396226414,-0.015094339622641506,-0.11226415094339626
LSPIN,smooth,0,0,2,4,50,17,7,0.9253731343283582,0.7761194029850746,0.8208955223880597,0.8283582089552239,0.14925373134328357,0.10447761194029848,0.09701492537313428
LSPIN,smooth,0,0,3,4,50,27,5,0.7065217391304348,0.44565217391304346,0.32608695652173914,0.4945652173913043,0.26086956521739135,0.3804347826086957,0.2119565217391305
Concrete,smooth,0,1,0,4,50,76,12,0.47254575707154745,0.5906821963394343,0.43594009983361065,0.5557404326123128,-0.11813643926788686,0.036605657237936795,-0.08319467554076532
Concrete,smooth,0,1,1,4,50,94,16,0.7219069239500567,0.793416572077185,0.7786606129398411,0.7729852440408627,-0.07150964812712823,-0.05675368898978439,-0.05107832009080593
Concrete,smooth,0,1,2,4,50,86,38,0.5670350792888035,0.5636713118692936,0.6011532916866891,0.624219125420471,0.0033637674195098333,-0.034118212397885594,-0.0571840461316675
Concrete,smooth,0,1,3,4,50,31,5,0.4368932038834951,0.46601941747572817,0.5728155339805825,0.5436893203883495,-0.029126213592233052,-0.13592233009708737,-0.10679611650485438
LSPIN,smooth,0,1,0,4,50,156,48,0.6116387148918974,0.6560921398262275,0.6255809254394827,0.6407355021216408,-0.04445342493433013,-0.013942210547585376,-0.029096787229743404
LSPIN,smooth,0,1,1,4,50,95,16,0.7787810383747178,0.8171557562076749,0.7167042889390519,0.744920993227991,-0.038374717832957095,0.06207674943566588,0.0338600451467268
LSPIN,smooth,0,1,2,4,50,31,5,0.6019417475728155,0.5533980582524272,0.8543689320388349,0.47572815533980584,0.04854368932038833,-0.2524271844660194,0.12621359223300965
Concrete,smooth,1,0,1,4,50,164,54,0.6353591160220995,0.6670349907918969,0.6379373848987109,0.6131675874769797,-0.031675874769797385,-0.0025782688766113893,0.022191528545119743
Concrete,smooth,1,0,2,4,50,86,16,0.8414779499404053,0.8927294398092968,0.7818831942789034,0.7783075089392133,-0.0512514898688915,0.05959475566150185,0.06317044100119196
