lambda_multiplier,sigma_multiplier,lspin_init_bias,a,gate_sigma_value,lambda_sparse_value,per_patient_stability_median,per_patient_stability_iqr_low,per_patient_stability_iqr_high,per_patient_null_stability_median,per_patient_median_k,dead_zone_fraction,mean_test_cindex,n_bootstrap,stage
1.0,1.0,0.0,1.0,0.2,0.007,-0.004552449049674556,-0.004917907008564426,0.006283569732459082,-0.0003487328261505551,1110.0,0.9970702160493827,0.7232771685834002,6,baseline
1.0,1.0,0.0,1.0,0.2,0.007,-0.0057121101637847005,-0.006104772162337069,-0.002326210049288846,-0.00032407536350709254,1186.75,0.9974534465020577,0.7119104930016937,6,A_sigma
1.0,2.0,0.0,1.0,0.4,0.007,-0.005880882285448696,-0.0062044378533657185,0.0025666608492512233,0.0002975009140284146,917.0,0.9971850565843621,0.7187973611482571,6,A_sigma
1.0,4.0,0.0,1.0,0.8,0.007,-0.0012528164982662515,-0.0015703395699329104,0.005042352906954151,-0.0002719902178178746,516.5,0.9982719907407406,0.7263974324685746,6,A_sigma
1.0,8.0,0.0,1.0,1.6,0.007,0.0016702545330399277,0.0014624926359674273,0.001992750220107725,-0.0007095326658158596,266.75,0.9989857253086419,0.7185521975572792,6,A_sigma
1.0,16.0,0.0,1.0,3.2,0.007,0.00800297497583824,0.006850596224734606,0.013066430985528343,-0.00023469820280841436,99.0,0.9994275977366255,0.7111304270304002,6,A_sigma
1.0,1.0,0.0,1.0,0.2,0.007,0.0008876078323146741,0.0006185041656203705,0.002592536280825203,-0.00025728134926072954,1188.25,0.9969906121399178,0.7170589284122314,6,B_init_bias
1.0,1.0,-1.0,1.0,0.2,0.007,-0.00041684035014588616,-0.0006114847962643277,-0.00019448226043916605,-0.00041684035014588616,2.0,0.9990248199588477,0.6350739948292771,6,B_init_bias
1.0,1.0,-2.0,1.0,0.2,0.007,-2.7778549404056108e-05,-2.7778549404056108e-05,-2.7778549404056108e-05,-2.7778549404056108e-05,0.0,0.9999987139917695,0.5024850673085496,6,B_init_bias
1.0,1.0,1.0,1.0,0.2,0.007,0.0039568294312909424,0.003774105473591388,0.005896307520556393,2.3116378532972437e-05,2119.5,0.9972087191358024,0.7200677543015065,6,B_init_bias
1.0,1.0,0.0,1.0,0.2,0.007,0.0041815028486315575,-0.0012102567223026828,0.0044576654415312555,-0.0006385179920004314,1108.0,0.9976435185185185,0.7264197200677542,6,C_a
1.0,1.0,0.0,0.5,0.2,0.007,0.002111712999778803,0.0014024008261771526,0.006122109303154294,-0.000893349722101755,1744.25,0.9918518518518521,0.7155879468663636,6,C_a
1.0,1.0,0.0,0.25,0.2,0.007,0.005520705369689072,0.0018860230689782265,0.005826591441609352,-0.0011133552675920422,2414.0,0.9821399176954732,0.7157662476598022,6,C_a
1.0,1.0,0.0,2.0,0.2,0.007,-0.0019815122733458645,-0.0021407081735086986,-0.0017517527396555543,-0.0011343871813596085,965.0,0.9982201646090535,0.7156993848622627,6,C_a
1.0,1.0,0.0,4.0,0.2,0.007,-0.0010486821560904414,-0.001299376523079765,0.0010567262242868192,-0.0008124532869874246,827.25,0.9990767746913581,0.7037532317018811,6,C_a
1.0,16.0,1.0,0.25,3.2,0.007,0.004434235172934842,0.00423258548176339,0.007413581970710403,3.770772455047311e-05,167.0,0.9983032407407407,0.6999108496032808,15,D_combined
