dataset,rep,noise_k,model,test_cindex
kipan,0,0,dense_mlp,0.7375337869326125
kipan,0,0,Concrete_smooth,0.7280268431354273
kipan,0,0,LSPIN_smooth,0.7572933171777426
kipan,0,200,dense_mlp,0.7190791313263118
kipan,0,200,Concrete_smooth,0.7472271413924877
kipan,0,200,LSPIN_smooth,0.7292385124429117
kipan,0,1000,dense_mlp,0.7532854879299096
kipan,0,1000,Concrete_smooth,0.7391182775654768
kipan,0,1000,LSPIN_smooth,0.7367881442818529
kipan,1,0,dense_mlp,0.7776584317937701
kipan,1,0,Concrete_smooth,0.780970282849982
kipan,1,0,LSPIN_smooth,0.7425707124955245
kipan,1,200,dense_mlp,0.7837450769781596
kipan,1,200,Concrete_smooth,0.7917114214106695
kipan,1,200,LSPIN_smooth,0.7625313283208021
kipan,1,1000,dense_mlp,0.7755997135696384
kipan,1,1000,Concrete_smooth,0.7922484783387039
kipan,1,1000,LSPIN_smooth,0.7521482277121375
kipan,2,0,dense_mlp,0.795028901734104
kipan,2,0,Concrete_smooth,0.7978034682080924
kipan,2,0,LSPIN_smooth,0.7909826589595376
kipan,2,200,dense_mlp,0.7846242774566474
kipan,2,200,Concrete_smooth,0.7946820809248555
kipan,2,200,LSPIN_smooth,0.7835838150289017
kipan,2,1000,dense_mlp,0.781271676300578
kipan,2,1000,Concrete_smooth,0.7689017341040463
kipan,2,1000,LSPIN_smooth,0.775028901734104
