dataset,rep,fraction,n_train,model,train_cindex,test_cindex,generalization_gap
kipan,0,0.25,128,dense_mlp,0.9846396218983852,0.692981638549725,0.2916579833486601
kipan,0,0.25,128,coxnet_l1ratio0.9,0.7743205986608901,0.7121819368067853,0.06213866185410477
kipan,0,0.25,128,Concrete_smooth,0.98779046868846,0.7050983316245689,0.28269213706389107
kipan,0,0.25,128,LSPIN_smooth,0.9751870815281607,0.6993196010811819,0.27586748044697884
kipan,0,0.5,256,dense_mlp,0.9668628940372199,0.6956845931587287,0.27117830087849126
kipan,0,0.5,256,coxnet_l1ratio0.9,0.7723129510064565,0.7270015844906329,0.04531136651582357
kipan,0,0.5,256,Concrete_smooth,0.9562286365362704,0.716748998042688,0.23947963849358245
kipan,0,0.5,256,LSPIN_smooth,0.9416065324724648,0.722714139248765,0.2188923932236998
kipan,0,0.75,383,dense_mlp,0.9836629041839939,0.7064032062633983,0.2772596979205957
kipan,0,0.75,383,coxnet_l1ratio0.9,0.8647203598404481,0.7084537235529872,0.15626663628746096
kipan,0,0.75,383,Concrete_smooth,0.9719935500297038,0.7143256594277193,0.2576678906019845
kipan,0,0.75,383,LSPIN_smooth,0.9535347534583722,0.7287724857861869,0.22476226767218532
kipan,0,1.0,511,dense_mlp,0.983794362633953,0.7375337869326125,0.24626057570134052
kipan,0,1.0,511,coxnet_l1ratio0.9,0.8730757297310199,0.7151645074098238,0.15791122232119603
kipan,0,1.0,511,Concrete_smooth,0.95030907658894,0.7280268431354273,0.22228223345351272
kipan,0,1.0,511,LSPIN_smooth,0.952719635313492,0.7572933171777426,0.1954263181357494
kipan,1,0.25,128,dense_mlp,0.9877034358047017,0.748030791263874,0.2396726445408277
kipan,1,0.25,128,coxnet_l1ratio0.9,0.8546112115732369,0.7600250626566416,0.09458614891659534
kipan,1,0.25,128,Concrete_smooth,0.9869801084990958,0.7470461868958109,0.23993392160328486
kipan,1,0.25,128,LSPIN_smooth,0.9613019891500905,0.741765127103473,0.2195368620466175
kipan,1,0.5,256,dense_mlp,0.8397957253641006,0.7188506981740065,0.12094502719009415
kipan,1,0.5,256,coxnet_l1ratio0.9,0.7299981085681861,0.7017543859649122,0.028243722603273902
kipan,1,0.5,256,Concrete_smooth,0.9445810478532249,0.7657536698890083,0.17882737796421666
kipan,1,0.5,256,LSPIN_smooth,0.95857764327596,0.7277121374865736,0.23086550578938636
kipan,1,0.75,383,dense_mlp,0.9719982078853047,0.7429287504475475,0.2290694574377572
kipan,1,0.75,383,coxnet_l1ratio0.9,0.7365591397849462,0.7472252058718224,-0.010666066086876147
kipan,1,0.75,383,Concrete_smooth,0.9,0.7719298245614035,0.12807017543859656
kipan,1,0.75,383,LSPIN_smooth,0.964605734767025,0.7445399212316506,0.22006581353537447
kipan,1,1.0,511,dense_mlp,0.8856865042758483,0.7776584317937701,0.10802807248207813
kipan,1,1.0,511,coxnet_l1ratio0.9,0.7754618664140218,0.7883995703544576,-0.012937703940435807
kipan,1,1.0,511,Concrete_smooth,0.9019920716048767,0.780970282849982,0.12102178875489467
kipan,1,1.0,511,LSPIN_smooth,0.9530030666433967,0.7425707124955245,0.2104323541478722
kipan,2,0.25,128,dense_mlp,0.9903086862885858,0.747514450867052,0.24279423542153378
kipan,2,0.25,128,coxnet_l1ratio0.9,0.8926776740847092,0.7098265895953757,0.18285108448933352
kipan,2,0.25,128,Concrete_smooth,0.9949748743718593,0.7401156069364162,0.25485926743544307
kipan,2,0.25,128,LSPIN_smooth,0.9529791816223977,0.760578034682081,0.19240114694031674
kipan,2,0.5,256,dense_mlp,0.8921936573465941,0.7720231213872832,0.12017053595931082
kipan,2,0.5,256,coxnet_l1ratio0.9,0.7893601050853819,0.7573410404624278,0.03201906462295412
kipan,2,0.5,256,Concrete_smooth,0.9290673672358791,0.775028901734104,0.15403846550177513
kipan,2,0.5,256,LSPIN_smooth,0.9765434415462564,0.772485549132948,0.2040578924133084
kipan,2,0.75,383,dense_mlp,0.978165030776909,0.7646242774566474,0.21354075332026157
kipan,2,0.75,383,coxnet_l1ratio0.9,0.8136333388787224,0.750635838150289,0.06299750072843335
kipan,2,0.75,383,Concrete_smooth,0.9163616702711695,0.7899421965317919,0.12641947373937767
kipan,2,0.75,383,LSPIN_smooth,0.9684328730660455,0.75121387283237,0.21721900023367557
kipan,2,1.0,511,dense_mlp,0.9791015932226242,0.795028901734104,0.18407269148852023
kipan,2,1.0,511,coxnet_l1ratio0.9,0.7981168962495225,0.7671676300578034,0.030949266191719116
kipan,2,1.0,511,Concrete_smooth,0.8896878721826476,0.7978034682080924,0.0918844039745551
kipan,2,1.0,511,LSPIN_smooth,0.9666074919664727,0.7909826589595376,0.1756248330069351
