model,fraction,train_cindex_mean,train_cindex_std,train_cindex_count,test_cindex_mean,test_cindex_std,test_cindex_count,generalization_gap_mean,generalization_gap_std,generalization_gap_count
Concrete_smooth,0.25,0.989915150519805,0.004400542580570198,3,0.7307533751522653,0.02248653326881202,3,0.25916177536753965,0.021701380790705955,3
Concrete_smooth,0.5,0.9432923505417915,0.013626415268604851,3,0.7525105232219333,0.0313156908562532,3,0.19078182731985807,0.04395713997863637,3
Concrete_smooth,0.75,0.9294517401002911,0.03773963775088896,3,0.7587325601736382,0.03949798743472034,3,0.1707191799266529,0.07530431541486743,3
Concrete_smooth,1.0,0.9139963401254881,0.03204386763412901,3,0.7689335313978339,0.03641231784401279,3,0.14506280872765417,0.06844250480661701,3
LSPIN_smooth,0.25,0.9631560841002162,0.011219445423868254,3,0.7338875876222453,0.03137978079938844,3,0.229268496477971,0.042575647250399674,3
LSPIN_smooth,0.5,0.9589092057648937,0.017470814353390797,3,0.7409706086227622,0.027406907945200523,3,0.2179385971421315,0.013429234116442737,3
LSPIN_smooth,0.75,0.9621911204304809,0.00773700612361258,3,0.7415087599500692,0.011523667696326808,3,0.2206823604804118,0.003809241199214943,3
LSPIN_smooth,1.0,0.9574433979744539,0.007937603375743226,3,0.7636155628776016,0.024817478379675385,3,0.19382783509685222,0.01745872970789763,3
coxnet_l1ratio0.9,0.25,0.8405364947729455,0.06042079580306939,3,0.7273445296862676,0.028326663085198607,3,0.11319196508667788,0.06247002914304347,3
coxnet_l1ratio0.9,0.5,0.7638903882200081,0.03056413470958466,3,0.7286990036393243,0.027832174966777215,3,0.03519138458068386,0.008965145153150408,3
coxnet_l1ratio0.9,0.75,0.804970946168039,0.06451823282711848,3,0.7354382558583662,0.023431428486965153,3,0.06953269030967273,0.0836580140073072,3
coxnet_l1ratio0.9,1.0,0.8155514974648548,0.05108904547523513,3,0.7569105692740283,0.03767955789373939,3,0.05864092819082645,0.08872688436653646,3
dense_mlp,0.25,0.9875505813305576,0.002837621562640077,3,0.7295089602268837,0.03163464198519263,3,0.25804162110367385,0.029154432602028615,3
dense_mlp,0.5,0.8996174255826382,0.06385805031292148,3,0.7288528042400061,0.039139804768829486,3,0.17076462134263207,0.08696165958406216,3
dense_mlp,0.75,0.9779420476154025,0.005835544195094435,3,0.7379854113891978,0.02942364242419183,3,0.2399566362262048,0.03322535134086364,3
dense_mlp,1.0,0.9495274867108084,0.05533767974791364,3,0.7700737068201623,0.029488440043568365,3,0.1794537798906463,0.06923190734645102,3
