rep,method,test_cindex,target_k
0,L-Concrete_smooth,0.75149599662874,
0,coxnet_global,0.7291613990729034,20.0
1,L-Concrete_smooth,0.769004496365088,
1,coxnet_global,0.7185359499096525,17.0
2,L-Concrete_smooth,0.7530372597618951,
2,coxnet_global,0.7208158953313559,20.0
3,L-Concrete_smooth,0.7604482132041187,
3,coxnet_global,0.7041619797525309,18.0
4,L-Concrete_smooth,0.7971288084994292,
4,coxnet_global,0.7406269207129687,19.0
5,L-Concrete_smooth,0.7524625267665953,
5,coxnet_global,0.7422317392338805,19.0
6,L-Concrete_smooth,0.7887502181881655,
6,coxnet_global,0.7397451562227265,20.0
7,L-Concrete_smooth,0.795518322878838,
7,coxnet_global,0.7818586992406735,21.0
8,L-Concrete_smooth,0.7515902921275475,
8,coxnet_global,0.7151249949353754,20.0
9,L-Concrete_smooth,0.7850114570696859,
9,coxnet_global,0.7495170058857887,17.0
10,L-Concrete_smooth,0.7710961056610184,
10,coxnet_global,0.7355926444982376,19.0
11,L-Concrete_smooth,0.7592487690095429,
11,coxnet_global,0.738289250076256,19.0
12,L-Concrete_smooth,0.773958771560791,
12,coxnet_global,0.7286916281026504,20.0
13,L-Concrete_smooth,0.7509870901912071,
13,coxnet_global,0.7072002129452997,21.0
14,L-Concrete_smooth,0.7699565798263193,
14,coxnet_global,0.7344271877087508,24.0
