rep,method,test_cindex,target_k
0,L-LSPIN_smooth,0.7448377581120944,
0,coxnet_global,0.7160977665402444,11.0
1,L-LSPIN_smooth,0.7608522082615455,
1,coxnet_global,0.6813043660965667,9.0
2,L-LSPIN_smooth,0.7252041769940271,
2,coxnet_global,0.7050505871358336,9.0
3,L-LSPIN_smooth,0.7384269274033054,
3,coxnet_global,0.6808860430907675,8.0
4,L-LSPIN_smooth,0.8002019492492756,
4,coxnet_global,0.7284221617350075,9.0
5,L-LSPIN_smooth,0.7403283369022127,
5,coxnet_global,0.7332857482750417,10.0
6,L-LSPIN_smooth,0.7694187467271775,
6,coxnet_global,0.7249519986035957,8.0
7,L-LSPIN_smooth,0.7884615384615384,
7,coxnet_global,0.767786398151205,11.0
8,L-LSPIN_smooth,0.7383007171508448,
8,coxnet_global,0.6968518293424092,11.0
9,L-LSPIN_smooth,0.7603001302960867,
9,coxnet_global,0.7227389136002157,9.0
10,L-LSPIN_smooth,0.7573788593026712,
10,coxnet_global,0.7174162313670531,11.0
11,L-LSPIN_smooth,0.7501851932546081,
11,coxnet_global,0.7073075079524163,8.0
12,L-LSPIN_smooth,0.7666806899453092,
12,coxnet_global,0.7112747160286075,11.0
13,L-LSPIN_smooth,0.7237478372743001,
13,coxnet_global,0.6746373275364891,9.0
14,L-LSPIN_smooth,0.7589762859051437,
14,coxnet_global,0.7006095524382098,11.0
