rep,method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected,target_k
0,L-LSPIN_smooth,0,23,0.17473473827289948,0.18550724637681168,0.09826550342674119,16.304347826086957,
0,L-LSPIN_smooth,1,132,0.003375097125097125,0.0030303030303030303,0.0016323409212901964,8.537878787878787,
0,L-LSPIN_smooth,2,62,0.046965803014190115,0.026881720430107524,0.017722900233540076,6.5,
0,L-LSPIN_smooth,3,42,0.07516735895363089,0.09523809523809523,0.04363604984274116,19.0,
0,coxnet_global,0,23,0.25,0.13333333333333333,0.09523809523809526,8.0,10.0
0,coxnet_global,1,132,0.0,0.0,0.0,8.0,10.0
0,coxnet_global,2,62,0.125,0.06666666666666667,0.045454545454545456,8.0,10.0
0,coxnet_global,3,42,0.125,0.06666666666666668,0.045454545454545456,8.0,10.0
1,L-LSPIN_smooth,0,28,0.06993999522886077,0.0642857142857143,0.03461142932877399,13.678571428571429,
1,L-LSPIN_smooth,1,129,0.1773291877601043,0.06718346253229975,0.05011650075796362,6.341085271317829,
1,L-LSPIN_smooth,2,56,0.29441431584288724,0.13095238095238093,0.09750189102357565,7.410714285714286,
1,L-LSPIN_smooth,3,46,0.30013274145471996,0.3014492753623189,0.17460073108611654,15.521739130434783,
1,coxnet_global,0,28,0.0,0.0,0.0,9.0,9.0
1,coxnet_global,1,129,0.0,0.0,0.0,9.0,9.0
1,coxnet_global,2,56,0.11111111111111113,0.06666666666666667,0.04347826086956522,9.0,9.0
1,coxnet_global,3,46,0.0,0.0,0.0,9.0,9.0
2,L-LSPIN_smooth,0,19,0.0,0.0,0.0,12.421052631578947,
2,L-LSPIN_smooth,1,141,0.2358143064889985,0.10685579196217494,0.07972322058518906,6.553191489361702,
2,L-LSPIN_smooth,2,59,0.47964145082789145,0.1367231638418079,0.11702660947059332,4.762711864406779,
2,L-LSPIN_smooth,3,40,0.22366872495839213,0.19833333333333333,0.11691491187253993,13.425,
2,coxnet_global,0,19,0.0,0.0,0.0,8.0,8.0
2,coxnet_global,1,141,0.125,0.06666666666666665,0.04545454545454546,8.0,8.0
2,coxnet_global,2,59,0.125,0.06666666666666667,0.04545454545454546,8.0,8.0
2,coxnet_global,3,40,0.25,0.13333333333333333,0.09523809523809523,8.0,8.0
3,L-LSPIN_smooth,0,32,0.002232142857142857,0.0020833333333333333,0.0011160714285714285,13.15625,
3,L-LSPIN_smooth,1,122,0.3892818702244931,0.11475409836065571,0.09609155538095482,5.049180327868853,
3,L-LSPIN_smooth,2,62,0.22099352260642582,0.09247311827956989,0.06897058446538687,6.758064516129032,
3,L-LSPIN_smooth,3,43,0.18687527435019197,0.15348837209302327,0.08905082383376069,12.69767441860465,
3,coxnet_global,0,32,0.14285714285714285,0.06666666666666667,0.047619047619047616,7.0,8.0
3,coxnet_global,1,122,0.0,0.0,0.0,7.0,8.0
3,coxnet_global,2,62,0.14285714285714277,0.06666666666666667,0.0476190476190476,7.0,8.0
3,coxnet_global,3,43,0.0,0.0,0.0,7.0,8.0
4,L-LSPIN_smooth,0,27,0.11085139140694698,0.07407407407407407,0.04662858612133974,9.88888888888889,
4,L-LSPIN_smooth,1,120,0.002017195767195767,0.0016666666666666668,0.0009209268991877687,5.633333333333334,
4,L-LSPIN_smooth,2,57,0.025898078529657476,0.00935672514619883,0.00690707216542596,3.5789473684210527,
4,L-LSPIN_smooth,3,55,0.12050120433990773,0.13454545454545458,0.06490032688639995,18.527272727272727,
4,coxnet_global,0,27,0.14285714285714285,0.06666666666666667,0.04761904761904762,7.0,8.0
4,coxnet_global,1,120,0.0,0.0,0.0,7.0,8.0
4,coxnet_global,2,57,0.0,0.0,0.0,7.0,8.0
4,coxnet_global,3,55,0.28571428571428575,0.1333333333333334,0.09999999999999995,7.0,8.0
5,L-LSPIN_smooth,0,28,0.06536989795918366,0.06666666666666667,0.03409706057489308,15.357142857142858,
5,L-LSPIN_smooth,1,125,0.13601298701298706,0.057599999999999985,0.04205434061488981,6.976,
5,L-LSPIN_smooth,2,62,0.1427506633151794,0.07204301075268817,0.05075953302867009,7.419354838709677,
5,L-LSPIN_smooth,3,44,0.07055826089576102,0.06363636363636366,0.03357100154015542,14.977272727272727,
5,coxnet_global,0,28,0.0,0.0,0.0,8.0,9.0
5,coxnet_global,1,125,0.125,0.06666666666666665,0.04545454545454547,8.0,9.0
5,coxnet_global,2,62,0.125,0.06666666666666667,0.045454545454545456,8.0,9.0
5,coxnet_global,3,44,0.25,0.13333333333333336,0.09523809523809522,8.0,9.0
6,L-LSPIN_smooth,0,23,0.0,0.0,0.0,12.826086956521738,
6,L-LSPIN_smooth,1,124,0.3480365065042485,0.11881720430107524,0.09319147599674762,6.080645161290323,
6,L-LSPIN_smooth,2,65,0.6938777888777887,0.1323076923076923,0.12280836896161973,3.169230769230769,
6,L-LSPIN_smooth,3,47,0.12742681930165997,0.13758865248226956,0.0696306781781624,17.02127659574468,
