method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected
Concrete_smooth,0,69,0.0,0.0,0.0,104.47826086956522
Concrete_smooth,1,57,0.0,0.0,0.0,106.40350877192982
Concrete_smooth,2,67,0.0013043523114836075,0.020522388059701493,0.0012320965332436647,103.70149253731343
Concrete_smooth,3,66,0.00561075898032787,0.06628787878787878,0.005223655492172639,105.21212121212122
LSPIN_smooth,0,69,0.0011481942166382034,0.16666666666666666,0.0011417387565241534,1252.1159420289855
LSPIN_smooth,1,57,0.001114539998606243,0.19736842105263158,0.001110614442606165,1247.4736842105262
LSPIN_smooth,2,67,0.0010367944557852238,0.15671641791044777,0.0010311661826945262,1257.7014925373135
LSPIN_smooth,3,66,0.0020643788015124575,0.30492424242424243,0.0020548540547466214,1244.0757575757575
coxnet_global_matched_k678,0,69,0.0037037037037037034,0.25,0.003663003663003663,540.0
coxnet_global_matched_k678,1,57,0.0037037037037037034,0.25,0.003663003663003663,540.0
coxnet_global_matched_k678,2,67,0.0037037037037037034,0.25,0.003663003663003663,540.0
coxnet_global_matched_k678,3,66,0.005555555555555555,0.375,0.005504587155963303,540.0
