rep,method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected,target_k
0,L-Concrete_smooth,0,23,0.05600605750784019,0.31304347826086953,0.04989334486906961,84.08695652173913,
0,L-Concrete_smooth,1,132,0.06509604158768441,0.28232323232323225,0.05581146179926927,65.32575757575758,
0,L-Concrete_smooth,2,62,0.049946555610908196,0.22043010752688172,0.04254591969638763,67.1774193548387,
0,L-Concrete_smooth,3,42,0.04106526051824482,0.238095238095238,0.036343046041803884,86.97619047619048,
0,coxnet_global,0,23,0.06666666666666667,0.3333333333333332,0.05882352941176471,75.0,71.0
0,coxnet_global,1,132,0.08,0.3999999999999999,0.0714285714285714,75.0,71.0
0,coxnet_global,2,62,0.04000000000000001,0.19999999999999993,0.034482758620689655,75.0,71.0
0,coxnet_global,3,42,0.09333333333333334,0.4666666666666666,0.08433734939759037,75.0,71.0
1,L-Concrete_smooth,0,28,0.0789698271524996,0.1928571428571429,0.05904391074935149,36.92857142857143,
1,L-Concrete_smooth,1,129,0.07890048139238924,0.15348837209302324,0.054876810428979225,30.015503875968992,
1,L-Concrete_smooth,2,56,0.09464541014384567,0.21785714285714283,0.07032961745116474,34.660714285714285,
1,L-Concrete_smooth,3,46,0.12868422151205716,0.42173913043478245,0.10917539007370966,49.93478260869565,
1,coxnet_global,0,28,0.0,0.0,0.0,33.0,35.0
1,coxnet_global,1,129,0.12121212121212122,0.26666666666666666,0.09090909090909093,33.0,35.0
1,coxnet_global,2,56,0.09090909090909093,0.19999999999999998,0.06666666666666667,33.0,35.0
1,coxnet_global,3,46,0.1212121212121212,0.2666666666666668,0.09090909090909091,33.0,35.0
2,L-Concrete_smooth,0,19,0.02230816367232081,0.06315789473684211,0.01680007765742095,42.94736842105263,
2,L-Concrete_smooth,1,141,0.10736598671802709,0.29408983451536647,0.08536764395075053,41.290780141843975,
2,L-Concrete_smooth,2,59,0.06048122876721271,0.15593220338983046,0.04563446241121049,38.54237288135593,
2,L-Concrete_smooth,3,40,0.10490712606978092,0.3883333333333333,0.08991919817308917,55.75,
2,coxnet_global,0,19,0.0,0.0,0.0,45.0,43.0
2,coxnet_global,1,141,0.1333333333333333,0.39999999999999997,0.11111111111111112,45.0,43.0
2,coxnet_global,2,59,0.1111111111111111,0.33333333333333326,0.09090909090909093,45.0,43.0
2,coxnet_global,3,40,0.08888888888888889,0.26666666666666666,0.07142857142857142,45.0,43.0
3,L-Concrete_smooth,0,32,0.07281333521770515,0.19374999999999998,0.05618549003013179,39.625,
3,L-Concrete_smooth,1,122,0.18997489275134277,0.3704918032786885,0.14481283274000623,30.327868852459016,
3,L-Concrete_smooth,2,62,0.0758754314051995,0.15591397849462366,0.05365612033113929,32.17741935483871,
3,L-Concrete_smooth,3,43,0.10351137391319361,0.31937984496124033,0.08472682191517951,46.116279069767444,
3,coxnet_global,0,32,0.02857142857142857,0.06666666666666667,0.02040816326530612,35.0,35.0
3,coxnet_global,1,122,0.0857142857142857,0.2,0.06382978723404255,35.0,35.0
3,coxnet_global,2,62,0.05714285714285713,0.13333333333333333,0.04166666666666665,35.0,35.0
3,coxnet_global,3,43,0.11428571428571425,0.2666666666666667,0.08695652173913043,35.0,35.0
4,L-Concrete_smooth,0,27,0.05955961582386283,0.19012345679012346,0.04768533891073686,47.48148148148148,
4,L-Concrete_smooth,1,120,0.09861780643886599,0.2672222222222222,0.07748495197986618,41.541666666666664,
4,L-Concrete_smooth,2,57,0.04253778790572586,0.12280701754385964,0.03297877107893748,42.91228070175438,
4,L-Concrete_smooth,3,55,0.1051815554170789,0.4387878787878788,0.09267118318065475,62.54545454545455,
4,coxnet_global,0,27,0.021739130434782608,0.06666666666666667,0.016666666666666666,46.0,47.0
4,coxnet_global,1,120,0.0869565217391304,0.26666666666666666,0.07017543859649122,46.0,47.0
4,coxnet_global,2,57,0.10869565217391305,0.33333333333333326,0.08928571428571429,46.0,47.0
4,coxnet_global,3,55,0.13043478260869562,0.3999999999999998,0.10909090909090913,46.0,47.0
