rep,method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected,target_k
0,L-LSPIN_smooth,0,23,0.15525606331569447,0.20000000000000007,0.0954787686822286,19.565217391304348,
0,L-LSPIN_smooth,1,132,0.11256423464944433,0.1101010101010101,0.058737153952684855,14.734848484848484,
0,L-LSPIN_smooth,2,62,0.003046594982078853,0.0032258064516129032,0.0016163793103448276,11.53225806451613,
0,L-LSPIN_smooth,3,42,0.04313804127214425,0.06507936507936508,0.0264657300707783,23.38095238095238,
0,coxnet_global,0,23,0.15384615384615383,0.13333333333333333,0.07692307692307691,13.0,16.0
0,coxnet_global,1,132,0.07692307692307691,0.06666666666666665,0.03703703703703704,13.0,16.0
0,coxnet_global,2,62,0.07692307692307691,0.06666666666666667,0.03703703703703705,13.0,16.0
0,coxnet_global,3,42,0.15384615384615388,0.13333333333333336,0.07692307692307694,13.0,16.0
1,L-LSPIN_smooth,0,28,0.0481501372478816,0.06190476190476191,0.02788967859871221,19.0,
1,L-LSPIN_smooth,1,129,0.08856861392861105,0.07080103359173126,0.04086505641652487,11.968992248062015,
1,L-LSPIN_smooth,2,56,0.13059133303977952,0.12976190476190474,0.06893093653973782,15.571428571428571,
1,L-LSPIN_smooth,3,46,0.24240880692773834,0.3115942028985508,0.15633857051697572,19.76086956521739,
1,coxnet_global,0,28,0.0,0.0,0.0,14.0,15.0
1,coxnet_global,1,129,0.07142857142857141,0.06666666666666667,0.035714285714285705,14.0,15.0
1,coxnet_global,2,56,0.14285714285714282,0.13333333333333333,0.07407407407407407,14.0,15.0
1,coxnet_global,3,46,0.07142857142857144,0.0666666666666667,0.03571428571428572,14.0,15.0
2,L-LSPIN_smooth,0,19,0.0,0.0,0.0,21.263157894736842,
2,L-LSPIN_smooth,1,141,0.14867650290073342,0.14468085106382977,0.07961490273957023,14.21985815602837,
2,L-LSPIN_smooth,2,59,0.15055213148433483,0.07909604519774012,0.054304176007963376,8.152542372881356,
2,L-LSPIN_smooth,3,40,0.21188538351675534,0.31666666666666665,0.14409965573861236,22.625,
2,coxnet_global,0,19,0.0,0.0,0.0,15.0,15.0
2,coxnet_global,1,141,0.1333333333333333,0.1333333333333333,0.0714285714285714,15.0,15.0
2,coxnet_global,2,59,0.06666666666666667,0.06666666666666667,0.03448275862068966,15.0,15.0
2,coxnet_global,3,40,0.13333333333333333,0.13333333333333333,0.07142857142857142,15.0,15.0
3,L-LSPIN_smooth,0,32,0.08200404815965456,0.12708333333333333,0.052258686755832645,23.25,
3,L-LSPIN_smooth,1,122,0.08718832090780525,0.07704918032786884,0.042531518225334054,13.508196721311476,
3,L-LSPIN_smooth,2,62,0.07276907680133486,0.06344086021505377,0.03513030469280327,12.709677419354838,
3,L-LSPIN_smooth,3,43,0.07885320962759285,0.1178294573643411,0.04925667348989008,22.767441860465116,
3,coxnet_global,0,32,0.0625,0.06666666666666667,0.03333333333333333,16.0,16.0
3,coxnet_global,1,122,0.0625,0.06666666666666667,0.03333333333333333,16.0,16.0
3,coxnet_global,2,62,0.0625,0.06666666666666667,0.03333333333333333,16.0,16.0
3,coxnet_global,3,43,0.0625,0.06666666666666668,0.03333333333333334,16.0,16.0
4,L-LSPIN_smooth,0,27,0.15123340759305673,0.19012345679012346,0.09194633848415829,18.85185185185185,
4,L-LSPIN_smooth,1,120,0.0,0.0,0.0,9.466666666666667,
4,L-LSPIN_smooth,2,57,0.08985171748329641,0.050292397660818715,0.033212805994603946,8.508771929824562,
4,L-LSPIN_smooth,3,55,0.17277380045613802,0.24121212121212118,0.11042298012739336,21.509090909090908,
4,coxnet_global,0,27,0.1666666666666667,0.13333333333333333,0.08,12.0,13.0
4,coxnet_global,1,120,0.0,0.0,0.0,12.0,13.0
4,coxnet_global,2,57,0.08333333333333331,0.06666666666666667,0.038461538461538464,12.0,13.0
4,coxnet_global,3,55,0.1666666666666666,0.1333333333333334,0.08,12.0,13.0
