method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected
Concrete_smooth,0,23,0.05131897305308531,0.38260869565217404,0.04745392591951076,74.65217391304348
Concrete_smooth,1,132,0.04205726280366315,0.25,0.03768199605459594,59.20454545454545
Concrete_smooth,2,62,0.06742118295672989,0.417741935483871,0.06183681013214155,61.95161290322581
Concrete_smooth,3,42,0.04396159064666,0.2880952380952381,0.03986224351409012,65.11904761904762
LSPIN_smooth,0,23,0.05475342746226552,0.6869565217391302,0.0534442677992577,125.52173913043478
LSPIN_smooth,1,132,0.01914077073184307,0.2492424242424243,0.018133709373682624,128.5909090909091
LSPIN_smooth,2,62,0.03624214644918824,0.535483870967742,0.03515528424717468,147.88709677419354
LSPIN_smooth,3,42,0.03486028304871194,0.49523809523809514,0.03369732051191661,141.92857142857142
coxnet_global_matched_k99,0,23,0.019417475728155335,0.20000000000000007,0.01801801801801801,103.0
coxnet_global_matched_k99,1,132,0.06796116504854369,0.7000000000000002,0.06603773584905662,103.0
coxnet_global_matched_k99,2,62,0.0679611650485437,0.7000000000000003,0.06603773584905659,103.0
coxnet_global_matched_k99,3,42,0.038834951456310676,0.3999999999999999,0.03669724770642202,103.0
