method,subgroup,n_patients,precision_mean,recall_mean,jaccard_mean,mean_n_selected
Concrete_smooth,0,69,0.06470668440938163,0.2946859903381641,0.056461033388016335,65.79710144927536
Concrete_smooth,1,57,0.08607339297169557,0.3660818713450293,0.07524905487504101,63.96491228070175
Concrete_smooth,2,67,0.04428615555341854,0.1860696517412935,0.03717094858275479,63.208955223880594
Concrete_smooth,3,66,0.08768331556543407,0.3595959595959596,0.07577146632720064,63.13636363636363
LSPIN_smooth,0,69,0.06255341361398925,0.5922705314009662,0.05999954370840986,142.31884057971016
LSPIN_smooth,1,57,0.060999612052126985,0.5614035087719298,0.05830932900834322,137.5438596491228
LSPIN_smooth,2,67,0.03901023518135947,0.36019900497512436,0.036548999333644194,136.955223880597
LSPIN_smooth,3,66,0.05886052196798859,0.5444444444444444,0.056130492806893105,139.27272727272728
coxnet_global_matched_k102,0,69,0.0729166666666667,0.4666666666666666,0.06730769230769232,96.0
coxnet_global_matched_k102,1,57,0.08333333333333331,0.5333333333333333,0.07766990291262134,96.0
coxnet_global_matched_k102,2,67,0.08333333333333331,0.5333333333333332,0.07766990291262134,96.0
coxnet_global_matched_k102,3,66,0.125,0.7999999999999998,0.12121212121212122,96.0
