model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
Concrete,0.12,0.0015,0.0,0.8815250178454342,4.118713017751479,0.7065299518547298,3.3794568350781367,0.5213810150571337
Concrete,0.12,0.0015,0.025,0.7086853584410466,3.352440828402367,0.5158711642128271,3.4162968441814594,0.5255636070853462
Concrete,0.12,0.0015,0.05,0.886674242471639,4.113801016537702,0.7068353836153957,3.4555928538916705,0.5363123059332102
Concrete,0.12,0.0015,0.1,0.932053739801419,4.118713017751479,0.7058501913613996,4.054857001972387,0.6865855808214348
Concrete,0.12,0.002,0.0,0.9184987176431347,4.246425049309664,0.743784938132027,3.895216962524655,0.6435320951449984
Concrete,0.12,0.002,0.025,0.8401531375806773,3.799432938856016,0.6206950288296712,3.0331607495069033,0.4538006796071312
Concrete,0.12,0.002,0.05,0.8845655950167103,4.054857001972386,0.6868765721224738,3.192800788954635,0.47663097136781346
Concrete,0.12,0.002,0.1,0.8304501455675263,3.6717209072978303,0.5850904209113165,3.4162968441814594,0.5230887814448882
Concrete,0.12,0.0025,0.0,0.8910722163080528,3.9590729783037477,0.6596688854753371,3.160872781065089,0.46498248751769883
Concrete,0.12,0.0025,0.025,0.8901910503979747,4.1506410256410255,0.7146953405017921,3.575936883629191,0.5629155808260285
Concrete,0.12,0.0025,0.05,0.807211295350292,3.7036489151873764,0.5929300108404586,3.0012327416173563,0.4319666145018257
Concrete,0.12,0.0025,0.1,0.8720681031093966,3.799432938856016,0.6188110614340122,3.192800788954635,0.473780261553723
Concrete,0.12,0.003,0.0,0.912377163951814,4.278353057199211,0.7542709232096635,3.4801528599605525,0.537020778460638
Concrete,0.12,0.003,0.025,0.9133825037880858,4.246425049309664,0.7444115558404505,3.9590729783037477,0.6602372278601787
Concrete,0.12,0.003,0.05,0.8463245335442117,3.863288954635108,0.6349726775956284,3.6717209072978303,0.588134405189543
Concrete,0.12,0.003,0.1,0.8020785910956666,3.9271449704142007,0.657769621258465,3.2566568047337277,0.4884012807995058
Concrete,0.12,0.004,0.0,0.8931987757165162,4.310281065088757,0.7640637669008123,3.9271449704142007,0.6567807514153371
Concrete,0.12,0.004,0.025,0.9007005891259889,4.02292899408284,0.6777103461397486,3.41629684418146,0.5224549521301057
Concrete,0.12,0.004,0.05,0.8533739622954398,3.863288954635108,0.6335978835978836,3.575936883629191,0.5612745098039216
Concrete,0.12,0.004,0.1,0.8657563854958554,3.991000986193294,0.6688351114580623,3.448224852071006,0.5323450364019868
Concrete,0.15,0.0015,0.0,0.8884504574203348,3.991000986193294,0.669112462541865,2.6819526627218937,0.3779670772418557
Concrete,0.15,0.0015,0.025,0.8514653773560285,4.310281065088757,0.7640637669008123,2.9054487179487176,0.414188836724048
Concrete,0.15,0.0015,0.05,0.84338834714627,3.4801528599605525,0.5409429199998704,3.6717209072978303,0.584332127242575
Concrete,0.15,0.0015,0.1,0.782407305273065,3.6717209072978303,0.584332127242575,3.0650887573964494,0.4498613445981867
Concrete,0.15,0.002,0.0,0.9120858012337903,3.9271449704142007,0.6527777777777778,4.054857001972386,0.6868765721224738
Concrete,0.15,0.002,0.025,0.8567825320034027,4.118713017751479,0.7070150659133709,3.448224852071006,0.5314001657000829
Concrete,0.15,0.002,0.05,0.8619333591997173,4.406065088757397,0.7934589053971379,2.809664694280079,0.3981074790816039
Concrete,0.15,0.002,0.1,0.9111134893807923,3.927144970414201,0.6510710018774535,4.118713017751479,0.7109788359788359
Concrete,0.15,0.0025,0.0,0.8978105316963517,4.02292899408284,0.6774193548387096,3.5120808678500985,0.5455527138391588
Concrete,0.15,0.0025,0.025,0.8131458936371793,4.086785009861933,0.6960573476702508,2.9054487179487176,0.43129168368041376
Concrete,0.15,0.0025,0.05,0.906621909372972,4.3741370808678495,0.7829729203195012,3.831360946745562,0.6273856129190115
Concrete,0.15,0.0025,0.1,0.9065174218217695,3.863288954635108,0.6346568604633122,4.054857001972387,0.6883770730818298
Concrete,0.15,0.003,0.0,0.8561514348361671,3.8952169625246547,0.6427376685441201,3.4801528599605525,0.53932022084196
Concrete,0.15,0.003,0.025,0.905240771514097,3.639792899408284,0.5852241756442199,3.7036489151873764,0.5931372549019608
Concrete,0.15,0.003,0.05,0.7796114153821424,4.214497041420118,0.733654410175666,2.8415927021696255,0.4083490524662438
Concrete,0.15,0.003,0.1,0.8121624789112278,4.02292899408284,0.6782786885245903,3.575936883629191,0.5605501902253439
Concrete,0.15,0.004,0.0,0.8369413492033364,4.0867850098619325,0.6963483389712898,3.5120808678500985,0.5450809195131064
Concrete,0.15,0.004,0.025,0.847764105556979,3.6717209072978303,0.5863566418382471,3.575936883629191,0.5663728432957112
Concrete,0.15,0.004,0.05,0.7292211606938598,3.7036489151873764,0.5931372549019608,3.001232741617357,0.431617224015449
Concrete,0.15,0.004,0.1,0.7556201722244028,3.831360946745562,0.6307078763708873,3.0970167652859963,0.45315823478595435
L-Concrete,0.12,0.0015,0.0,0.6157127757190217,2.586168639053254,0.3512572378395163,2.586168639053254,0.3525229755505462
L-Concrete,0.12,0.0015,0.025,0.6665456093613499,2.8735207100591715,0.4055765354395491,2.745808678500986,0.39205462974801936
L-Concrete,0.12,0.0015,0.05,0.7637380482854089,2.3626725838264298,0.3169441218221706,3.32051282051282,0.5013098757420626
L-Concrete,0.12,0.0015,0.1,0.6247432773079437,2.490384615384615,0.33757904245709125,2.6500246548323467,0.3671674893175914
L-Concrete,0.12,0.002,0.0,0.7272796557577156,3.1289447731755424,0.4595756110663443,2.9054487179487176,0.4161607226622706
L-Concrete,0.12,0.002,0.025,0.7404314834587716,3.0650887573964494,0.44518804518804517,3.0650887573964494,0.4491108670213148
L-Concrete,0.12,0.002,0.05,0.6072925160522376,2.6819526627218937,0.36905326379010583,2.2349605522682445,0.2972806693736926
L-Concrete,0.12,0.002,0.1,0.7360924611522693,3.0970167652859963,0.45379390505248635,2.937376725838264,0.41858954845256213
L-Concrete,0.12,0.0025,0.0,0.741655671022111,3.1289447731755424,0.4598757763975155,2.7777366863905324,0.3886958112310224
L-Concrete,0.12,0.0025,0.025,0.7702939639835291,3.160872781065089,0.466535300835218,3.224728796844181,0.4819839045191158
L-Concrete,0.12,0.0025,0.05,0.6617616322704558,2.7777366863905324,0.3887685153507938,2.9054487179487176,0.4125076771075329
L-Concrete,0.12,0.0025,0.1,0.571021216944681,3.1289447731755424,0.4661111111111111,2.554240631163708,0.35358590821414265
L-Concrete,0.12,0.003,0.0,0.7134668050205432,3.013512744651798,0.435977211751141,2.8587847064178424,0.40438533855967096
L-Concrete,0.12,0.003,0.025,0.816250321909207,3.41629684418146,0.522023302074453,3.5440088757396446,0.5524693821445358
L-Concrete,0.12,0.003,0.05,0.7667445129245981,3.0650887573964494,0.444630237028462,3.1289447731755424,0.4589446589446589
L-Concrete,0.12,0.003,0.1,0.7768882930605748,3.2885848126232737,0.49499691753212877,3.001232741617357,0.4312531709791984
L-Concrete,0.12,0.004,0.0,0.710211171978095,2.937376725838264,0.4192891064241735,2.777736686390533,0.38779875766177135
L-Concrete,0.12,0.004,0.025,0.7210802719540088,2.8415927021696255,0.3994946640945199,2.71388067061144,0.37482526956211165
L-Concrete,0.12,0.004,0.05,0.6254335881263836,3.352440828402367,0.5091494656712049,2.586168639053254,0.352018252018252
L-Concrete,0.12,0.004,0.1,0.7392872247739647,3.2566568047337277,0.4880763116057234,2.745808678500986,0.3809071409071409
