model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
Concrete,0.12,0.001,0.0,0.5414512513662049,0.10832311102018334
Concrete,0.12,0.001,0.05,0.7470938056969911,0.07182047094938245
Concrete,0.12,0.001,0.1,0.7275744480042105,0.08059426530352633
Concrete,0.12,0.001,0.15,0.6920166056198146,0.07800117451274821
Concrete,0.12,0.0012,0.0,0.7122414198913148,0.07514655437120969
Concrete,0.12,0.0012,0.05,0.6574926483203759,0.07476677678483314
Concrete,0.12,0.0012,0.1,0.5730284562376476,0.11977491937931496
Concrete,0.12,0.0012,0.15,0.7809094198319206,0.047008159179856776
Concrete,0.12,0.0014,0.0,0.6182242250894013,0.09623413356254831
Concrete,0.12,0.0014,0.05,0.7627893617608007,0.0747357072661042
Concrete,0.12,0.0014,0.1,0.6995863787150437,0.06100963873934019
Concrete,0.12,0.0014,0.15,0.7994837753753207,0.06596920502088528
Concrete,0.12,0.0017,0.0,0.7654273887108554,0.024285270391417924
Concrete,0.12,0.0017,0.05,0.6484750324892425,0.06540008455893383
Concrete,0.12,0.0017,0.1,0.8514946110369582,0.019976938947102736
Concrete,0.12,0.0017,0.15,0.7433281996334058,0.026046876329029613
Concrete,0.12,0.002,0.0,0.6642389101274092,0.11575675982636699
Concrete,0.12,0.002,0.05,0.7676185476792498,0.07499532788378845
Concrete,0.12,0.002,0.1,0.6727928706241046,0.058110517230960314
Concrete,0.12,0.002,0.15,0.7351842504666566,0.025299936318178586
Concrete,0.15,0.001,0.0,0.713307457207528,0.0603820040629815
Concrete,0.15,0.001,0.05,0.686093336910821,0.14095649912497074
Concrete,0.15,0.001,0.1,0.7378197594482813,0.08285136890384115
Concrete,0.15,0.001,0.15,0.7542848965400079,0.0284117554191121
Concrete,0.15,0.0012,0.0,0.6943757027019496,0.017812633488505206
Concrete,0.15,0.0012,0.05,0.6711533653888644,0.12168152416217679
Concrete,0.15,0.0012,0.1,0.7816875600535574,0.028723287629287414
Concrete,0.15,0.0012,0.15,0.7455526644258305,0.07289542336677438
Concrete,0.15,0.0014,0.0,0.6866580616516629,0.06679033162710639
Concrete,0.15,0.0014,0.05,0.6164510781405173,0.030443910986455935
Concrete,0.15,0.0014,0.1,0.7913725683398699,0.030114839038948227
Concrete,0.15,0.0014,0.15,0.7643362381894462,0.09277723374351023
Concrete,0.15,0.0017,0.0,0.6752496058389124,0.05793097559044991
Concrete,0.15,0.0017,0.05,0.7009635195687512,0.10139248852071596
Concrete,0.15,0.0017,0.1,0.6957307575228601,0.04995086238165851
Concrete,0.15,0.0017,0.15,0.714344873824428,0.011338837863299882
Concrete,0.15,0.002,0.0,0.6868329362044548,0.020296834590418308
Concrete,0.15,0.002,0.05,0.7606074754324034,0.09977406495150205
Concrete,0.15,0.002,0.1,0.6753390715319888,0.09861755660092854
Concrete,0.15,0.002,0.15,0.7569310295309775,0.026354667851332732
L-Concrete,0.12,0.0012,0.0,0.673190552934893,0.026268589340327556
L-Concrete,0.12,0.0012,0.05,0.5595198360866925,0.031053956124708355
L-Concrete,0.12,0.0012,0.1,0.6994132319275371,0.033108429472975875
L-Concrete,0.12,0.0012,0.15,0.8605713229737467,0.010456609705502995
L-Concrete,0.12,0.0014,0.0,0.5969391171777737,0.03127577994221381
L-Concrete,0.12,0.0014,0.05,0.5341338578399131,0.1443896579879452
L-Concrete,0.12,0.0014,0.1,0.7378786791358385,0.049139840151714825
L-Concrete,0.12,0.0014,0.15,0.6575931449432212,0.0317900920505456
L-Concrete,0.12,0.0018,0.0,0.6710039609370758,0.02048025168371853
L-Concrete,0.12,0.0018,0.05,0.7174422411469674,0.04428924604172499
L-Concrete,0.12,0.0018,0.1,0.4959578263005251,0.13192100019010106
L-Concrete,0.12,0.0018,0.15,0.5842187569492302,0.05489791915162272
L-Concrete,0.12,0.0023,0.0,0.5767861241333331,0.10896683431113961
L-Concrete,0.12,0.0023,0.05,0.4984356705963288,0.038297991876095144
L-Concrete,0.12,0.0023,0.1,0.6363780038354976,0.10642380080798605
L-Concrete,0.12,0.0023,0.15,0.6439908618916846,0.14720072536173023
L-Concrete,0.12,0.003,0.0,0.5690830578537386,0.1138662091199777
L-Concrete,0.12,0.003,0.05,0.7656838337521771,0.07681441943173609
L-Concrete,0.12,0.003,0.1,0.5543894079014651,0.13035657957097174
L-Concrete,0.12,0.003,0.15,0.6747169448968898,0.1024684584613931
L-Concrete,0.15,0.0012,0.0,0.6363646737775362,0.07559541948812191
L-Concrete,0.15,0.0012,0.05,0.7244677144425431,0.034100406199008865
L-Concrete,0.15,0.0012,0.1,0.5757155861250212,0.18450184280117674
L-Concrete,0.15,0.0012,0.15,0.731202034263034,0.09705836921703832
L-Concrete,0.15,0.0014,0.0,0.6909296188678837,0.08398037538772501
L-Concrete,0.15,0.0014,0.05,0.625038889002667,0.05018300729575853
L-Concrete,0.15,0.0014,0.1,0.5830210365455208,0.12648577844093295
L-Concrete,0.15,0.0014,0.15,0.7104297278206078,0.11711197423943681
L-Concrete,0.15,0.0018,0.0,0.6528179781228162,0.05943809514479703
L-Concrete,0.15,0.0018,0.05,0.5220419402169708,0.06333398161439636
L-Concrete,0.15,0.0018,0.1,0.5779394747748152,0.0865558549592808
L-Concrete,0.15,0.0018,0.15,0.5082723744522336,0.12140127933697058
L-Concrete,0.15,0.0023,0.0,0.5641543379312294,0.09199014269679767
L-Concrete,0.15,0.0023,0.05,0.6061839422532704,0.21450727774604983
L-Concrete,0.15,0.0023,0.1,0.6746724132763755,0.07143760726738874
L-Concrete,0.15,0.0023,0.15,0.575649482987108,0.11116920535084437
L-Concrete,0.15,0.003,0.0,0.47660560635978944,0.05705890765630832
L-Concrete,0.15,0.003,0.05,0.5171006894185536,0.23119193131741936
L-Concrete,0.15,0.003,0.1,0.64071257037252,0.05392263937884432
L-Concrete,0.15,0.003,0.15,0.5489191290918506,0.033603430967937706
L-LSPIN,0.17,0.0009,0.0,0.682170625313391,0.07236189727679986
L-LSPIN,0.17,0.0009,0.05,0.6857147656093199,0.034949278672354374
L-LSPIN,0.17,0.0009,0.1,0.7836965301500255,0.061450417558824036
L-LSPIN,0.17,0.0009,0.15,0.8059355761967345,0.029046252924366345
L-LSPIN,0.17,0.0011,0.0,0.7068034721015869,0.052790448964421324
L-LSPIN,0.17,0.0011,0.05,0.7143079732864557,0.018834009798061137
L-LSPIN,0.17,0.0011,0.1,0.7100127335957436,0.07304552022626572
L-LSPIN,0.17,0.0011,0.15,0.7939262236316869,0.02509708504547277
L-LSPIN,0.17,0.0014,0.0,0.648128242985159,0.056999292892677425
L-LSPIN,0.17,0.0014,0.05,0.7413680151460537,0.035892454992045124
L-LSPIN,0.17,0.0014,0.1,0.601750255578685,0.0507381835431995
L-LSPIN,0.17,0.0014,0.15,0.7267184505895172,0.10819529873562608
L-LSPIN,0.17,0.0018,0.0,0.6069699723724377,0.026323442327481256
L-LSPIN,0.17,0.0018,0.05,0.5931904119389201,0.09506341423778618
L-LSPIN,0.17,0.0018,0.1,0.722190889743442,0.039842525763894764
L-LSPIN,0.17,0.0018,0.15,0.7592467367674387,0.08508334626269036
L-LSPIN,0.17,0.0025,0.0,0.5313711591525491,0.11538326192509578
L-LSPIN,0.17,0.0025,0.05,0.5847581252851696,0.1501946543822936
L-LSPIN,0.17,0.0025,0.1,0.6306082364376526,0.13286808328828173
L-LSPIN,0.17,0.0025,0.15,0.6561327715896046,0.08877514108518036
L-LSPIN,0.2,0.0009,0.0,0.7806118418287014,0.039942541649516834
L-LSPIN,0.2,0.0009,0.05,0.6865367703019766,0.06492974347598046
L-LSPIN,0.2,0.0009,0.1,0.8708806477807515,0.019760806784006907
L-LSPIN,0.2,0.0009,0.15,0.7583780376763719,0.10900309631504264
L-LSPIN,0.2,0.0011,0.0,0.7449660783141563,0.010552517791398743
L-LSPIN,0.2,0.0011,0.05,0.7360702554770738,0.15653214578565422
L-LSPIN,0.2,0.0011,0.1,0.6619326682852028,0.019443906236637568
L-LSPIN,0.2,0.0011,0.15,0.6744766447535017,0.05708214693410249
L-LSPIN,0.2,0.0014,0.0,0.376803546667752,0.1403849521697318
L-LSPIN,0.2,0.0014,0.05,0.6986753641155179,0.07337594411710487
L-LSPIN,0.2,0.0014,0.1,0.646241869612937,0.13679624279086228
L-LSPIN,0.2,0.0014,0.15,0.673244124168409,0.04974122184291962
L-LSPIN,0.2,0.0018,0.0,0.6480040508882507,0.1415277935446481
L-LSPIN,0.2,0.0018,0.05,0.5942481767613677,0.0552151746413079
L-LSPIN,0.2,0.0018,0.1,0.6343339895420028,0.12384459083734937
L-LSPIN,0.2,0.0018,0.15,0.6619485871570266,0.10918934618819268
L-LSPIN,0.2,0.0025,0.0,0.5712707388396902,0.011902161704251405
L-LSPIN,0.2,0.0025,0.05,0.648197248770637,0.0794345102740816
L-LSPIN,0.2,0.0025,0.1,0.7163993742877751,0.057866582766275806
L-LSPIN,0.2,0.0025,0.15,0.5129879780696098,0.033158672106254054
LSPIN,0.17,0.0005,0.0,0.6713658770131113,0.038797587157761854
LSPIN,0.17,0.0005,0.05,0.7623847843543113,0.026075200150684277
LSPIN,0.17,0.0005,0.1,0.8724730113661936,0.02124421683763918
LSPIN,0.17,0.0005,0.15,0.8774127869230881,0.03367413317035165
LSPIN,0.17,0.0006,0.0,0.6048261975796126,0.10679425763134062
LSPIN,0.17,0.0006,0.05,0.7538623023070614,0.09461060975121845
LSPIN,0.17,0.0006,0.1,0.6911342825067259,0.08150240876945322
LSPIN,0.17,0.0006,0.15,0.8496409337759063,0.0540021025870749
LSPIN,0.17,0.0007,0.0,0.7138779881925821,0.11025083132298416
LSPIN,0.17,0.0007,0.05,0.790597589427607,0.042187691464642234
LSPIN,0.17,0.0007,0.1,0.7732379282317036,0.049076843733178256
LSPIN,0.17,0.0007,0.15,0.6827490191217066,0.06914779407792025
LSPIN,0.17,0.0009,0.0,0.733348378808281,0.03321595720105611
LSPIN,0.17,0.0009,0.05,0.7365984055125508,0.03491596481039229
LSPIN,0.17,0.0009,0.1,0.8073024288107266,0.010748147961034975
LSPIN,0.17,0.0009,0.15,0.823539697654728,0.05069023273472145
LSPIN,0.17,0.0012,0.0,0.7478048160716879,0.04161301579392193
LSPIN,0.17,0.0012,0.05,0.7796174257797848,0.023061265122687268
LSPIN,0.17,0.0012,0.1,0.7167778385068511,0.044968344452978246
LSPIN,0.17,0.0012,0.15,0.6941275378862954,0.07616909448089618
LSPIN,0.2,0.0005,0.0,0.7674579951425101,0.08460048330580654
LSPIN,0.2,0.0005,0.05,0.7904481496410565,0.0674231202182245
LSPIN,0.2,0.0005,0.1,0.7313353989918504,0.13338932806484233
LSPIN,0.2,0.0005,0.15,0.8083462753927035,0.10748043239352482
LSPIN,0.2,0.0006,0.0,0.6432888344912819,0.12598589192257323
LSPIN,0.2,0.0006,0.05,0.665844048108904,0.07845914538784497
LSPIN,0.2,0.0006,0.1,0.7600321276269648,0.01032810299906248
LSPIN,0.2,0.0006,0.15,0.873634051847393,0.01746001010516601
LSPIN,0.2,0.0007,0.0,0.666554334428885,0.09583022271591272
LSPIN,0.2,0.0007,0.05,0.725171585673111,0.033933439285077686
LSPIN,0.2,0.0007,0.1,0.7898779541711066,0.04215194745882052
LSPIN,0.2,0.0007,0.15,0.8503978724213486,0.04450833755712821
LSPIN,0.2,0.0009,0.0,0.6999273797556462,0.046491794251960025
LSPIN,0.2,0.0009,0.05,0.7599352508610323,0.06262447216825678
LSPIN,0.2,0.0009,0.1,0.7413890037337526,0.08692912182467777
LSPIN,0.2,0.0009,0.15,0.6797993095356164,0.08631506076432552
LSPIN,0.2,0.0012,0.0,0.6117271455105663,0.16859239404099433
LSPIN,0.2,0.0012,0.05,0.7722995808376872,0.09524815441040758
LSPIN,0.2,0.0012,0.1,0.73685822334663,0.03776630271381339
LSPIN,0.2,0.0012,0.15,0.8777465232776384,0.037132696113468616
