histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
ACC,24,0.849624060150376,LSPIN,0.2,0.0012,0.15,30123
BLCA,121,0.6276569142285572,LSPIN,0.2,0.0012,0.15,30123
BRCA,321,0.5691529235382309,LSPIN,0.2,0.0012,0.15,30123
CESC,87,0.7092651757188498,LSPIN,0.2,0.0012,0.15,30123
CHOL,11,0.5454545454545454,LSPIN,0.2,0.0012,0.15,30123
COAD,130,0.5084605860503508,LSPIN,0.2,0.0012,0.15,30123
DLBC,14,0.4666666666666667,LSPIN,0.2,0.0012,0.15,30123
ESCA,48,0.5638297872340425,LSPIN,0.2,0.0012,0.15,30123
GBM,46,0.5037878787878788,LSPIN,0.2,0.0012,0.15,30123
HNSC,150,0.6150886584141854,LSPIN,0.2,0.0012,0.15,30123
KICH,19,1.0,LSPIN,0.2,0.0012,0.15,30123
KIRC,158,0.6764071386546382,LSPIN,0.2,0.0012,0.15,30123
KIRP,85,0.8836858006042296,LSPIN,0.2,0.0012,0.15,30123
LGG,152,0.7437242412888723,LSPIN,0.2,0.0012,0.15,30123
LIHC,110,0.6504854368932039,LSPIN,0.2,0.0012,0.15,30123
LUAD,150,0.6733373761875885,LSPIN,0.2,0.0012,0.15,30123
LUSC,148,0.5976190476190476,LSPIN,0.2,0.0012,0.15,30123
MESO,25,0.7301038062283737,LSPIN,0.2,0.0012,0.15,30123
OV,112,0.5289532293986637,LSPIN,0.2,0.0012,0.15,30123
PAAD,53,0.7173637515842839,LSPIN,0.2,0.0012,0.15,30123
PCPG,53,0.9333333333333332,LSPIN,0.2,0.0012,0.15,30123
PRAD,149,0.1517857142857142,LSPIN,0.2,0.0012,0.15,30123
READ,47,0.7934272300469484,LSPIN,0.2,0.0012,0.15,30123
SARC,77,0.6283662477558348,LSPIN,0.2,0.0012,0.15,30123
SKCM,29,0.4919354838709677,LSPIN,0.2,0.0012,0.15,30123
STAD,105,0.5113636363636364,LSPIN,0.2,0.0012,0.15,30123
TGCT,40,0.6111111111111112,LSPIN,0.2,0.0012,0.15,30123
THCA,150,0.7703125,LSPIN,0.2,0.0012,0.15,30123
THYM,35,0.72,LSPIN,0.2,0.0012,0.15,30123
UCEC,162,0.6818502824858758,LSPIN,0.2,0.0012,0.15,30123
UCS,16,0.4814814814814814,LSPIN,0.2,0.0012,0.15,30123
UVM,24,0.6545454545454545,LSPIN,0.2,0.0012,0.15,30123
