model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.2,0.0012,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,30123,0,3,1,0.7451513027222807,0.7751037536806473,1,271.467529296875,271.4703674316406,0.9775484783536836,655.0,575.0,445.5199072959266
LSPIN,lspin_tf,mlp,0.2,0.0012,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,30124,1,3,1,0.7450217345064873,0.7683800514710997,1,265.6307067871094,265.6260986328125,0.9754348125118086,719.0,588.0,469.0054777570021
LSPIN,lspin_tf,mlp,0.2,0.0012,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,30125,2,3,1,0.7488653419252789,0.7738111798938119,2,274.177001953125,274.185546875,0.9684419718628584,619.0,545.0,440.4895056268775
LSPIN,lspin_tf,mlp,0.2,0.0009,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,70123,0,7,1,0.7256085961396161,0.7714491896779578,9,323.3070068359375,323.3072509765625,0.971191120555694,540.0,473.0,415.91552074083177
LSPIN,lspin_tf,mlp,0.2,0.0009,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,70124,1,7,1,0.7447640959733494,0.7770976791634787,1,390.1131591796875,390.105224609375,0.9820555905230756,913.0,802.0,641.1769875095802
LSPIN,lspin_tf,mlp,0.2,0.0009,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,70125,2,7,1,0.7420821088013517,0.7775990586816907,4,388.3125305175781,388.3153381347656,0.9779036665487216,743.0,664.0,556.4320539157136
LSPIN,lspin_tf,mlp,0.2,0.0007,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,110123,0,11,1,0.7477396712412485,0.7811608819642485,2,415.4647521972656,415.462646484375,0.9790502413053886,882.0,785.0,626.2901515775899
LSPIN,lspin_tf,mlp,0.2,0.0007,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,110124,1,11,1,0.7403258228705126,0.7731040319028077,3,517.4608154296875,517.460205078125,0.982703898945964,986.0,878.0,730.6146636235695
LSPIN,lspin_tf,mlp,0.2,0.0007,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,110125,2,11,1,0.7479864500106351,0.7829867148918411,3,476.68450927734375,476.6864318847656,0.9835113886000638,945.0,860.0,703.7214820018036
LSPIN,lspin_tf,mlp,0.2,0.0006,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,150123,0,15,1,0.7395075958430323,0.7759905868169066,3,528.247802734375,528.244140625,0.9824860866984124,1046.0,957.0,777.4247715224939
LSPIN,lspin_tf,mlp,0.2,0.0006,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,150124,1,15,1,0.7436144589141435,0.768513366256289,2,567.797119140625,567.7919921875,0.9851821277714898,1153.0,1038.0,857.9870407860739
LSPIN,lspin_tf,mlp,0.2,0.0006,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,150125,2,15,1,0.7562619644638572,0.7819665669703926,2,535.8834228515625,535.8782958984375,0.986747277934192,1099.0,967.0,785.4228223663503
LSPIN,lspin_tf,mlp,0.2,0.0005,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,190123,0,19,1,0.7402599153387797,0.7836996591778536,3,648.206298828125,648.2020263671875,0.9898329137002838,1175.0,1081.0,921.3603105915448
LSPIN,lspin_tf,mlp,0.2,0.0005,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,190124,1,19,1,0.7402715240517553,0.7713419582203056,3,666.7532348632812,666.761474609375,0.9848816676219928,1243.0,1138.0,941.2782279333564
LSPIN,lspin_tf,mlp,0.2,0.0005,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,190125,2,19,1,0.7488436223977759,0.7770339199183882,2,623.548828125,623.5531616210938,0.9806999331595568,1172.0,1058.0,884.1520120836054
