model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
Concrete,0.12,0.001,0.0,0.3308391516982608,0.39479869718607
Concrete,0.12,0.001,0.05,0.41629055974435075,0.504227057950564
Concrete,0.12,0.001,0.1,0.32996307304383793,0.44796828516444304
Concrete,0.12,0.001,0.15,0.37204314533259036,0.4793860366658018
Concrete,0.12,0.0012,0.0,0.2976961101059186,0.4331672361826597
Concrete,0.12,0.0012,0.05,0.3522302342208227,0.4455464745016775
Concrete,0.12,0.0012,0.1,0.2905412740148454,0.3830552050209693
Concrete,0.12,0.0012,0.15,0.34867396681962076,0.4918217839683403
Concrete,0.12,0.0014,0.0,0.378717647921803,0.49387715060127224
Concrete,0.12,0.0014,0.05,0.4481359442889645,0.5309389048268577
Concrete,0.12,0.0014,0.1,0.3633747262133214,0.4954879709236364
Concrete,0.12,0.0014,0.15,0.42875213076059165,0.5399890800001822
Concrete,0.12,0.0017,0.0,0.3230989467293651,0.43659171681366654
Concrete,0.12,0.0017,0.05,0.29196481724137924,0.43161031229107055
Concrete,0.12,0.0017,0.1,0.46698875285501695,0.5271957628350222
Concrete,0.12,0.0017,0.15,0.41039287998087587,0.4735411714404649
Concrete,0.12,0.002,0.0,0.33234242600446257,0.43772119832908113
Concrete,0.12,0.002,0.05,0.362133473763184,0.46833191072071517
Concrete,0.12,0.002,0.1,0.39285282166757857,0.4615357294478579
Concrete,0.12,0.002,0.15,0.32284317237817733,0.4348455373240631
Concrete,0.15,0.001,0.0,0.3792102403079887,0.46920141749315586
Concrete,0.15,0.001,0.05,0.4446868471130399,0.5265619785602725
Concrete,0.15,0.001,0.1,0.31976304701298125,0.42261662909767006
Concrete,0.15,0.001,0.15,0.383698854164001,0.4758983937730523
Concrete,0.15,0.0012,0.0,0.3245347511354761,0.4426405381336577
Concrete,0.15,0.0012,0.05,0.22128679020057818,0.322461527068823
Concrete,0.15,0.0012,0.1,0.5073984037644843,0.6086035838854601
Concrete,0.15,0.0012,0.15,0.32656192927912814,0.4435784354291726
Concrete,0.15,0.0014,0.0,0.30052358713960253,0.40574430211936335
Concrete,0.15,0.0014,0.05,0.23606104173167267,0.32955983848409504
Concrete,0.15,0.0014,0.1,0.39913873305458275,0.5045194467037127
Concrete,0.15,0.0014,0.15,0.3330718041522812,0.5192281557620005
Concrete,0.15,0.0017,0.0,0.34662428792558647,0.4201018695641398
Concrete,0.15,0.0017,0.05,0.28007090785650485,0.41988170214821574
Concrete,0.15,0.0017,0.1,0.3950545330833721,0.4631939638982157
Concrete,0.15,0.0017,0.15,0.41362152715998146,0.5174499733673484
Concrete,0.15,0.002,0.0,0.2867942367126364,0.3928977746068803
Concrete,0.15,0.002,0.05,0.39879565349753016,0.5197369745599798
Concrete,0.15,0.002,0.1,0.28715022214175867,0.3931847853033823
Concrete,0.15,0.002,0.15,0.39042653173778,0.4863239067739939
L-Concrete,0.12,0.0012,0.0,0.27341295114022574,0.39759397999379525
L-Concrete,0.12,0.0012,0.05,0.2729989742955263,0.3867780780995213
L-Concrete,0.12,0.0012,0.1,0.4329698349571516,0.5203627370249361
L-Concrete,0.12,0.0012,0.15,0.5384436756723749,0.6059652918466635
L-Concrete,0.12,0.0014,0.0,0.2875518856566555,0.3959909774707466
L-Concrete,0.12,0.0014,0.05,0.2532223197339338,0.34009355950497794
L-Concrete,0.12,0.0014,0.1,0.4873026874887909,0.566423478954427
L-Concrete,0.12,0.0014,0.15,0.3644745509390372,0.5083959755732775
L-Concrete,0.12,0.0018,0.0,0.314691862154072,0.4093105704293761
L-Concrete,0.12,0.0018,0.05,0.28315499354911305,0.4227602331784314
L-Concrete,0.12,0.0018,0.1,0.30519723691542167,0.4179838135433316
L-Concrete,0.12,0.0018,0.15,0.3847480667937922,0.47649854519352813
L-Concrete,0.12,0.0023,0.0,0.2779582829968478,0.38225645354702653
L-Concrete,0.12,0.0023,0.05,0.28238037526050674,0.37279912134196436
L-Concrete,0.12,0.0023,0.1,0.36141699597488386,0.4446201213170596
L-Concrete,0.12,0.0023,0.15,0.3131811472607588,0.4193213197791455
L-Concrete,0.12,0.003,0.0,0.3671154918748715,0.42581175669832233
L-Concrete,0.12,0.003,0.05,0.41201506664464166,0.5092102339771949
L-Concrete,0.12,0.003,0.1,0.29880538574246657,0.4144592065958512
L-Concrete,0.12,0.003,0.15,0.4562903410223525,0.5621482185109602
L-Concrete,0.15,0.0012,0.0,0.3025471182107109,0.3959534143049194
L-Concrete,0.15,0.0012,0.05,0.3915275823204964,0.4416191291389588
L-Concrete,0.15,0.0012,0.1,0.31619718434866506,0.4346977919556374
L-Concrete,0.15,0.0012,0.15,0.38440403093977565,0.5104030807887125
L-Concrete,0.15,0.0014,0.0,0.30182254978300094,0.4311457760665461
L-Concrete,0.15,0.0014,0.05,0.37215443692587186,0.48008695890799963
L-Concrete,0.15,0.0014,0.1,0.31219440892891565,0.44237183711914324
L-Concrete,0.15,0.0014,0.15,0.43677786179557215,0.5576277347293932
L-Concrete,0.15,0.0018,0.0,0.2773807634664148,0.41095993731520636
L-Concrete,0.15,0.0018,0.05,0.3461934226006604,0.405678922135942
L-Concrete,0.15,0.0018,0.1,0.3949876834654454,0.4581793560819649
L-Concrete,0.15,0.0018,0.15,0.38416225941275756,0.49245889522684166
L-Concrete,0.15,0.0023,0.0,0.3080864485040964,0.40434120605267343
L-Concrete,0.15,0.0023,0.05,0.45897237898861865,0.5413735338902447
L-Concrete,0.15,0.0023,0.1,0.3570731868872484,0.4702598075144997
L-Concrete,0.15,0.0023,0.15,0.3635584883791568,0.4964168186062842
L-Concrete,0.15,0.003,0.0,0.3233737790925491,0.4106617622876442
L-Concrete,0.15,0.003,0.05,0.3441571490246855,0.4260800331131424
L-Concrete,0.15,0.003,0.1,0.33876288984784725,0.4430002241479259
L-Concrete,0.15,0.003,0.15,0.34140602289325533,0.45206614252709326
L-LSPIN,0.17,0.0009,0.0,0.30605180461869413,0.4050682926000226
L-LSPIN,0.17,0.0009,0.05,0.3779313806138815,0.49396599047556866
L-LSPIN,0.17,0.0009,0.1,0.46430208886146457,0.5535360859615613
L-LSPIN,0.17,0.0009,0.15,0.43785531391019444,0.57746120532802
L-LSPIN,0.17,0.0011,0.0,0.3704211755024813,0.4334257284470175
L-LSPIN,0.17,0.0011,0.05,0.28770567038357137,0.41835955931529023
L-LSPIN,0.17,0.0011,0.1,0.43731435984159645,0.5599716337647811
L-LSPIN,0.17,0.0011,0.15,0.44156736745754904,0.5732930996581801
L-LSPIN,0.17,0.0014,0.0,0.3613601193965468,0.430369262727965
L-LSPIN,0.17,0.0014,0.05,0.37135762798568334,0.47385614854028546
L-LSPIN,0.17,0.0014,0.1,0.44282681807077934,0.5516263345678993
L-LSPIN,0.17,0.0014,0.15,0.5330689725821017,0.6290610712513311
L-LSPIN,0.17,0.0018,0.0,0.41347863803007456,0.517575332853435
L-LSPIN,0.17,0.0018,0.05,0.3776578764522021,0.45139659112353087
L-LSPIN,0.17,0.0018,0.1,0.4086767475725153,0.5161452851408997
L-LSPIN,0.17,0.0018,0.15,0.40851375398697004,0.579996905388799
L-LSPIN,0.17,0.0025,0.0,0.309665236221404,0.4134894207135879
L-LSPIN,0.17,0.0025,0.05,0.28706119272104935,0.39415664685884894
L-LSPIN,0.17,0.0025,0.1,0.3589435900908968,0.45717034239153803
L-LSPIN,0.17,0.0025,0.15,0.3789774846921598,0.49096192315457304
