family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
Concrete,nosmooth_lamx3,0,0,1422,ENSG00000185133,0.8809974789619446,2791,826,BRCA,348,26.14987150193033,-26.14987150193033,2.9918609106115697,10.991069145449826,23.15801059131876,True,True
Concrete,nosmooth_lamx3,0,0,2742,ENSG00000112414,0.6505681872367859,2061,661,BRCA,338,8.977245331097006,8.977245331097006,1.8549867782172642,9.387964208100108,7.1222585528797415,True,False
Concrete,nosmooth_lamx3,0,0,2298,ENSG00000204839,0.6212121248245239,1968,634,BRCA,302,12.897051790281008,12.897051790281008,1.8804999878188955,9.507841945904287,11.016551802462113,True,True
Concrete,nosmooth_lamx3,0,0,1193,ENSG00000149557,0.5773358345031738,1829,604,BRCA,211,9.702117321127337,9.702117321127337,2.1082216972530756,5.9081984048774885,7.593895623874262,True,True
Concrete,nosmooth_lamx3,0,0,1380,ENSG00000143578,0.5243055820465088,1661,562,BRCA,337,24.737450160586853,-24.737450160586853,1.4396690326956616,7.729946286603998,23.29778112789119,True,True
Concrete,nosmooth_lamx3,0,0,1866,ENSG00000169418,0.5214646458625793,1652,593,UCEC,175,1.9027973778437566,1.9027973778437566,1.4458595457412957,4.930186080692042,0.45693783210246086,True,False
Concrete,nosmooth_lamx3,0,0,3366,ENSG00000107821,0.48895201086997986,1549,560,LUSC,167,6.346902025941414,-6.346902025941414,1.0944814465790955,4.30855120419592,5.252420579362319,True,True
Concrete,nosmooth_lamx3,0,0,3767,ENSG00000139515,0.45517677068710327,1442,520,HNSC,163,1.0968487827642794,1.0968487827642794,1.1652537490312311,4.338596885480765,-0.0684049662669517,False,False
Concrete,nosmooth_lamx3,0,0,1212,ENSG00000184709,0.4545454680919647,1440,447,UCEC,170,6.635370555733483,-6.635370555733483,1.8654689789274803,6.37659533494307,4.769901576806003,True,True
Concrete,nosmooth_lamx3,0,0,662,ENSG00000091831,0.45328283309936523,1436,498,BRCA,257,16.321482737446292,-16.321482737446292,1.8481757546568045,7.785527132665704,14.473306982789488,True,True
Concrete,nosmooth_lamx3,0,0,2378,ENSG00000064042,0.4214015007019043,1335,341,PRAD,167,12.061212365745929,-12.061212365745929,2.7939185996192193,12.679860986648405,9.26729376612671,True,False
Concrete,nosmooth_lamx3,0,0,4481,ENSG00000105997,0.4154040515422821,1316,477,LUSC,168,0.9399395143296866,0.9399395143296866,1.5109432571857795,4.8298177603752,-0.5710037428560929,False,False
