family,selection,fold,rep,n_genes,fraction_gt_random_median,fraction_gt_random_p90,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p,median_target_minus_random_median
Concrete,nosmooth_lamx3,0,0,320,0.65625,0.25625,1.3103226797954273,0.7376827850361345,0.6125169408086382
Concrete,nosmooth_lamx3,0,1,355,0.7408450704225352,0.30985915492957744,1.852657450244658,0.8336917866039343,0.8768827781985998
Concrete,nosmooth_lamx3,1,0,296,0.7094594594594594,0.2668918918918919,1.2939402212748705,0.6805866490598317,0.6754651264749179
Concrete,nosmooth_lamx3,1,1,299,0.6655518394648829,0.25752508361204013,1.028144744902683,0.6980524053627455,0.41194491348124074
Concrete,nosmooth_lamx3,2,0,271,0.6162361623616236,0.2915129151291513,0.9399557468302825,0.635680312454882,0.27651184769794435
Concrete,nosmooth_lamx3,2,1,347,0.6628242074927954,0.2910662824207493,1.023010349906561,0.5951712175089261,0.3843173882614286
Concrete,smooth_lamx3_smooth0p05,0,0,382,0.6099476439790575,0.20680628272251309,1.020164110500176,0.6370259028048797,0.3427036395211487
Concrete,smooth_lamx3_smooth0p05,0,1,320,0.68125,0.275,1.4370046184031293,0.7750049030788229,0.6900101859772336
Concrete,smooth_lamx3_smooth0p05,1,0,283,0.7173144876325088,0.3003533568904594,1.36628404637813,0.6853583001407819,0.7499182648255976
Concrete,smooth_lamx3_smooth0p05,1,1,272,0.6911764705882353,0.3088235294117647,1.3743388694116816,0.6708810399044876,0.6522966299582438
Concrete,smooth_lamx3_smooth0p05,2,0,331,0.5891238670694864,0.1903323262839879,0.7307462606403458,0.5679108147547357,0.12705607936530094
Concrete,smooth_lamx3_smooth0p05,2,1,300,0.6466666666666666,0.22333333333333333,0.9482477375767159,0.6360906942936473,0.3262170818529567
L-Concrete,nosmooth_lamx3,0,0,160,0.7,0.3125,1.1370100619749604,0.5676559517688919,0.5961061857625802
L-Concrete,nosmooth_lamx3,0,1,140,0.7214285714285714,0.3142857142857143,1.6380467563995078,0.833233137499517,0.9131347399314488
L-Concrete,nosmooth_lamx3,1,0,146,0.6301369863013698,0.2671232876712329,0.8034916119246036,0.5460000881257782,0.2535536695945267
L-Concrete,nosmooth_lamx3,1,1,169,0.6923076923076923,0.2485207100591716,0.9714652312727694,0.5891784446166202,0.4318714776515148
L-Concrete,nosmooth_lamx3,2,0,165,0.6787878787878788,0.2545454545454545,0.9718331114222263,0.588839169892188,0.3656518043576654
L-Concrete,nosmooth_lamx3,2,1,147,0.7346938775510204,0.32653061224489793,1.2739382723180004,0.6999051973581829,0.6615968306507194
L-Concrete,smooth_lamx3_smooth0p1,0,0,165,0.6909090909090909,0.3151515151515151,0.9682145918269311,0.6354945724380372,0.431428182646582
L-Concrete,smooth_lamx3_smooth0p1,0,1,151,0.6622516556291391,0.2847682119205298,1.0616755225541774,0.6951233241559471,0.4209838952436702
L-Concrete,smooth_lamx3_smooth0p1,1,0,151,0.695364238410596,0.304635761589404,1.072018110801669,0.5802863757547858,0.4834444372525075
L-Concrete,smooth_lamx3_smooth0p1,1,1,158,0.5949367088607594,0.20253164556962025,0.8086449373992869,0.563414698349568,0.20162608075346355
L-Concrete,smooth_lamx3_smooth0p1,2,0,165,0.6242424242424243,0.23030303030303031,0.7348536660542146,0.5033432641276345,0.32178983412095363
L-Concrete,smooth_lamx3_smooth0p1,2,1,136,0.6397058823529411,0.25735294117647056,0.887523255343992,0.5062460214442199,0.3917015014100931
L-LSPIN,nosmooth_lamx3,0,0,186,0.6236559139784946,0.23118279569892472,1.0517474570201573,0.700014165537663,0.37282410235059077
L-LSPIN,nosmooth_lamx3,0,1,170,0.6470588235294118,0.27058823529411763,1.1987784776039239,0.6192297947631044,0.46827071460133757
L-LSPIN,nosmooth_lamx3,1,0,123,0.6260162601626016,0.23577235772357724,1.5944314555071393,0.8690330412320916,0.5126430064077363
L-LSPIN,nosmooth_lamx3,1,1,143,0.6853146853146853,0.2517482517482518,1.0201784808532404,0.6128022966178794,0.41400683761260304
L-LSPIN,nosmooth_lamx3,2,0,158,0.5822784810126582,0.20253164556962025,0.886438972791789,0.6389236457301444,0.1845761401685202
L-LSPIN,nosmooth_lamx3,2,1,158,0.5822784810126582,0.20253164556962025,1.0623982398368406,0.7550950627907459,0.2643444147557844
L-LSPIN,smooth_lamx3_smooth0p15,0,0,131,0.7633587786259542,0.32061068702290074,1.8308387949917357,0.8934313785418901,0.8990666483488067
L-LSPIN,smooth_lamx3_smooth0p15,0,1,110,0.6545454545454545,0.3,1.9337092949223718,1.1398901928432759,0.7818774028011289
L-LSPIN,smooth_lamx3_smooth0p15,1,0,135,0.6,0.2222222222222222,1.0673940384249256,0.7678327809978115,0.25998000639710117
L-LSPIN,smooth_lamx3_smooth0p15,1,1,135,0.6518518518518519,0.2740740740740741,1.6905700999060358,0.8464068172883635,0.6915679271158747
L-LSPIN,smooth_lamx3_smooth0p15,2,0,111,0.6126126126126126,0.24324324324324326,1.2613232121721876,0.9261080345987549,0.5136105385430685
L-LSPIN,smooth_lamx3_smooth0p15,2,1,123,0.6260162601626016,0.21138211382113822,1.460262959747982,1.1550015028084335,0.32708065588681756
LSPIN,nosmooth_lamx3,0,0,499,0.6152304609218436,0.21643286573146292,1.2900182523662607,1.0444627254360026,0.3774906450681354
LSPIN,nosmooth_lamx3,0,1,500,0.634,0.236,1.8079225574945221,1.1409831845306215,0.5879558937049162
LSPIN,nosmooth_lamx3,1,0,494,0.5809716599190283,0.1902834008097166,0.9690690878578557,0.6697446511987079,0.24548936541803978
LSPIN,nosmooth_lamx3,1,1,497,0.6297786720321932,0.22334004024144868,1.35935593573883,0.9164523245750225,0.4592150101218855
LSPIN,nosmooth_lamx3,2,0,497,0.613682092555332,0.20724346076458752,1.2080810980248808,0.8262392200407499,0.38067643616936986
LSPIN,nosmooth_lamx3,2,1,497,0.6317907444668008,0.22334004024144868,1.7403117207433054,1.2201052512532373,0.5746267495545001
LSPIN,smooth_lamx3_smooth0p15,0,0,374,0.6390374331550802,0.23796791443850268,2.2111691776005804,1.422124172607528,0.7105123945849771
LSPIN,smooth_lamx3_smooth0p15,0,1,450,0.6666666666666666,0.21333333333333335,2.135962760615209,1.4213110438478025,1.0135105054727753
LSPIN,smooth_lamx3_smooth0p15,1,0,384,0.6328125,0.234375,1.408963788239259,0.9344799209742933,0.47168203633942607
LSPIN,smooth_lamx3_smooth0p15,1,1,398,0.628140703517588,0.2135678391959799,1.5501188955432226,1.2024888312197006,0.5347319434974387
LSPIN,smooth_lamx3_smooth0p15,2,0,375,0.6266666666666667,0.22133333333333333,1.607414717942796,1.1516566797691676,0.524651469624795
LSPIN,smooth_lamx3_smooth0p15,2,1,421,0.6294536817102138,0.21377672209026127,1.7590370307179997,1.418208222158231,0.4320243903625287
