family,selection,fold,rep,seed,gate_sigma,lambda_sparse,lambda_sample_smooth,test_cindex,Khard_test_mean,Ksoft_test_mean,n_subset_genes_tested
Concrete,nosmooth_lamx3,0,0,20260407,0.15,0.003,0.0,0.7469640247956704,33.86868686868687,39.100181021473624,320
Concrete,smooth_lamx3_smooth0p05,0,0,20260407,0.12,0.003,0.05,0.7570939633085256,37.49747474747475,40.883802754710416,382
L-Concrete,nosmooth_lamx3,0,0,20260407,0.15,0.0069,0.0,0.7564944446747042,13.596590909090908,15.475045933867946,160
L-Concrete,smooth_lamx3_smooth0p1,0,0,20260407,0.12,0.0069,0.1,0.7547700259363319,12.052083333333334,13.732771439458986,165
L-LSPIN,nosmooth_lamx3,0,0,20260407,0.17,0.0075,0.0,0.7581820867101254,33.10700757575758,33.12138799826304,186
L-LSPIN,smooth_lamx3_smooth0p15,0,0,20260407,0.17,0.0075,0.15,0.7559398753444897,26.166035353535353,26.181188833833946,131
LSPIN,nosmooth_lamx3,0,0,20260407,0.2,0.0021,0.0,0.7573181260693702,117.10763888888889,117.27169219411985,499
LSPIN,smooth_lamx3_smooth0p15,0,0,20260407,0.2,0.0021,0.15,0.7617354167238263,128.28819444444446,128.3584284445252,374
Concrete,nosmooth_lamx3,0,1,20260408,0.15,0.003,0.0,0.754628172939235,35.844065656565654,41.47311021191905,355
Concrete,smooth_lamx3_smooth0p05,0,1,20260408,0.12,0.003,0.05,0.7512680665553247,33.71054292929293,38.802835411947186,320
L-Concrete,nosmooth_lamx3,0,1,20260408,0.15,0.0069,0.0,0.752512636883764,13.34185606060606,15.328112507935124,140
L-Concrete,smooth_lamx3_smooth0p1,0,1,20260408,0.12,0.0069,0.1,0.7569567803689462,13.775568181818182,14.839733515649733,151
L-LSPIN,nosmooth_lamx3,0,1,20260408,0.17,0.0075,0.0,0.7580098783391641,25.160984848484848,25.19039891404335,170
L-LSPIN,smooth_lamx3_smooth0p15,0,1,20260408,0.17,0.0075,0.15,0.7496399677532528,28.706439393939394,28.718729450847164,110
LSPIN,nosmooth_lamx3,0,1,20260408,0.2,0.0021,0.0,0.758245132486613,117.82007575757575,117.98528296538073,500
LSPIN,smooth_lamx3_smooth0p15,0,1,20260408,0.2,0.0021,0.15,0.7575551314883882,141.09122474747474,141.16533453536755,450
Concrete,nosmooth_lamx3,1,0,20261407,0.15,0.003,0.0,0.7435509385345488,32.384275339437956,36.30361871927139,296
Concrete,smooth_lamx3_smooth0p05,1,0,20261407,0.12,0.003,0.05,0.7499372135879581,31.280707293969055,35.08564133067443,283
L-Concrete,nosmooth_lamx3,1,0,20261407,0.15,0.0069,0.0,0.7545706877150639,13.808020208399116,14.856673383772995,146
L-Concrete,smooth_lamx3_smooth0p1,1,0,20261407,0.12,0.0069,0.1,0.7514225607071218,15.754657404483739,16.91925109008678,151
L-LSPIN,nosmooth_lamx3,1,0,20261407,0.17,0.0075,0.0,0.7495255956555065,32.06473002841806,32.07785336753717,123
L-LSPIN,smooth_lamx3_smooth0p15,1,0,20261407,0.17,0.0075,0.15,0.7473611767967514,29.563624881591412,29.56823334484624,135
LSPIN,nosmooth_lamx3,1,0,20261407,0.2,0.0021,0.0,0.7503423082568209,94.96084622671297,95.10608723926212,494
LSPIN,smooth_lamx3_smooth0p15,1,0,20261407,0.2,0.0021,0.15,0.7511668487744418,105.60025260498895,105.65959158807965,384
Concrete,nosmooth_lamx3,1,1,20261408,0.15,0.003,0.0,0.751352761786722,35.10988317019261,39.947202968868424,299
Concrete,smooth_lamx3_smooth0p05,1,1,20261408,0.12,0.003,0.05,0.7515314992090543,33.4559520050521,37.82801244776069,272
L-Concrete,nosmooth_lamx3,1,1,20261408,0.15,0.0069,0.0,0.7564820039465745,14.136406694032207,15.2978066800331,169
L-Concrete,smooth_lamx3_smooth0p1,1,1,20261408,0.12,0.0069,0.1,0.749459058366901,11.892327123460689,12.887522000185427,158
L-LSPIN,nosmooth_lamx3,1,1,20261408,0.17,0.0075,0.0,0.755314339764184,30.02557625513104,30.05187147590389,143
L-LSPIN,smooth_lamx3_smooth0p15,1,1,20261408,0.17,0.0075,0.15,0.7469769565713726,36.23208083359646,36.242098139481925,135
LSPIN,nosmooth_lamx3,1,1,20261408,0.2,0.0021,0.0,0.7547246367357588,131.5967792863909,131.78292520256272,497
LSPIN,smooth_lamx3_smooth0p15,1,1,20261408,0.2,0.0021,0.15,0.7654854123517996,138.77802336596147,138.8531339866414,398
Concrete,nosmooth_lamx3,2,0,20262407,0.15,0.003,0.0,0.746040283163862,30.773287022418693,34.05016054533467,271
