family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
Concrete,nosmooth_lamx3,0,0,1751,ENSG00000205362,0.9583333134651184,3036,912,BRCA,334,3.103227916316144,3.103227916316144,2.6267882775942497,12.556287612797076,0.4764396387218941,True,False
Concrete,nosmooth_lamx3,0,0,2863,ENSG00000179144,0.8882575631141663,2814,870,BRCA,348,16.729248479581287,-16.729248479581287,2.667277737371406,8.683429937377369,14.06197074220988,True,True
Concrete,nosmooth_lamx3,0,0,855,ENSG00000211772,0.6483585834503174,2054,661,BRCA,317,10.742225992407803,-10.742225992407803,1.998472270407532,7.464557538306658,8.743753722000271,True,True
Concrete,nosmooth_lamx3,0,0,3098,ENSG00000168615,0.6029040217399597,1910,612,BRCA,300,11.169368779790224,11.169368779790224,2.104678862652948,8.022306705640153,9.064689917137276,True,True
Concrete,nosmooth_lamx3,0,0,2298,ENSG00000204839,0.5748106241226196,1821,503,BRCA,236,14.305402979063702,14.305402979063702,2.450840393005638,8.934975741352133,11.854562586058064,True,True
Concrete,nosmooth_lamx3,0,0,1527,ENSG00000128016,0.5625,1782,602,BRCA,236,12.56934764853586,12.56934764853586,1.8503149139605286,6.341574759442622,10.719032734575332,True,True
Concrete,nosmooth_lamx3,0,0,3895,ENSG00000136149,0.46243685483932495,1465,527,UCEC,174,0.4501435919959045,0.4501435919959045,1.1149315543044984,4.119732356015372,-0.6647879623085939,False,False
Concrete,nosmooth_lamx3,0,0,3278,ENSG00000104415,0.4523358643054962,1433,375,KIRC,171,15.923672861224018,15.923672861224018,3.1628931935698934,17.08691745446905,12.760779667654125,True,False
Concrete,nosmooth_lamx3,0,0,2057,ENSG00000133063,0.37531566619873047,1189,451,HNSC,157,2.667536237036921,-2.667536237036921,1.8510014969220525,7.308090919005088,0.8165347401148684,True,False
Concrete,nosmooth_lamx3,0,0,1485,ENSG00000184515,0.3737373650074005,1184,356,KIRC,168,3.037150143461848,-3.037150143461848,1.551857282856814,6.171226996198066,1.4852928606050342,True,False
Concrete,nosmooth_lamx3,0,0,752,ENSG00000066405,0.3690025210380554,1169,423,LUAD,170,8.4278829118901,8.4278829118901,1.154915309218941,3.799633286746528,7.272967602671159,True,True
Concrete,nosmooth_lamx3,0,0,2408,ENSG00000168539,0.34217172861099243,1084,245,PRAD,172,6.079950529283844,-6.079950529283844,1.7356628118389827,8.254656745696586,4.34428771744486,True,False
Concrete,nosmooth_lamx3,0,0,151,ENSG00000110195,0.32228535413742065,1021,384,LUAD,174,0.02988212837295465,-0.02988212837295465,0.7417362213636338,2.431394740559374,-0.7118540929906791,False,False
Concrete,nosmooth_lamx3,0,0,562,ENSG00000170476,0.31912878155708313,1011,281,KIRC,171,0.9590373628547169,-0.9590373628547169,1.8104514109730347,6.962496405806611,-0.8514140481183179,False,False
Concrete,nosmooth_lamx3,0,0,2998,ENSG00000106976,0.3184974789619446,1009,234,THCA,168,10.338922406091788,10.338922406091788,1.744189233204617,8.516970831223388,8.594733172887171,True,True
Concrete,nosmooth_lamx3,0,0,2069,ENSG00000211829,0.3159722089767456,1001,390,LUAD,126,4.881520891477148,-4.881520891477148,0.7526272313395905,2.9084774892442624,4.128893660137558,True,True
Concrete,nosmooth_lamx3,0,0,333,ENSG00000159182,0.3150252401828766,998,355,HNSC,145,2.242657270648321,-2.242657270648321,0.9953536876392315,3.98753109681081,1.2473035830090895,True,False
Concrete,nosmooth_lamx3,0,0,358,ENSG00000115468,0.31218433380126953,989,350,BRCA,262,12.491121229121445,-12.491121229121445,1.4542384563847595,7.04444115318756,11.036882772736686,True,True
Concrete,nosmooth_lamx3,0,0,4300,ENSG00000068366,0.3099747598171234,982,250,BRCA,230,5.754352290844922,5.754352290844922,2.106105612930784,5.646139717826441,3.6482466779141385,True,True
Concrete,nosmooth_lamx3,0,0,3865,ENSG00000179639,0.30965909361839294,981,255,KIRC,170,3.2545627830519592,-3.2545627830519592,2.2871718013049636,7.755015595297519,0.9673909817469957,True,False
Concrete,nosmooth_lamx3,0,0,4313,ENSG00000136040,0.2973484992980957,942,343,COAD,128,0.5580140205822417,0.5580140205822417,0.9634695140007585,3.2518189438406657,-0.40545549341851683,False,False
Concrete,nosmooth_lamx3,0,0,226,ENSG00000099812,0.29577019810676575,937,298,LUAD,144,0.692654969244472,0.692654969244472,1.4317936116868784,4.824969834775197,-0.7391386424424063,False,False
Concrete,nosmooth_lamx3,0,0,2420,ENSG00000198892,0.29229798913002014,926,270,LGG,154,5.451810030351811,5.451810030351811,1.2404857753714533,7.344290934524205,4.211324254980358,True,False
Concrete,nosmooth_lamx3,0,0,1709,ENSG00000141526,0.2916666567325592,924,285,THCA,169,3.618707877684985,3.618707877684985,2.7800289987423863,11.836443265981236,0.8386788789425985,True,False
Concrete,nosmooth_lamx3,0,0,1212,ENSG00000184709,0.28630051016807556,907,173,BRCA,262,2.03803990148978,-2.03803990148978,1.803439902999591,6.736927043907529,0.2345999984901892,True,False
Concrete,nosmooth_lamx3,0,0,2102,ENSG00000101333,0.2787247598171234,883,347,HNSC,139,4.846262767156562,-4.846262767156562,0.7267496038211618,2.9967903914730796,4.1195131633354,True,True
Concrete,nosmooth_lamx3,0,0,3643,ENSG00000113396,0.2787247598171234,883,276,LGG,150,6.624502018491374,-6.624502018491374,1.9386565705612393,8.265755203696665,4.685845447930135,True,False
Concrete,nosmooth_lamx3,0,0,866,ENSG00000197457,0.27462121844291687,870,300,UCEC,133,0.4593540114972867,-0.4593540114972867,1.0033808794514187,3.980832304035033,-0.544026867954132,False,False
Concrete,nosmooth_lamx3,0,0,4434,ENSG00000265917,0.26799243688583374,849,239,KIRC,160,4.6784171610725105,4.6784171610725105,1.2657911881030524,3.6167893616553153,3.412625972969458,True,True
Concrete,nosmooth_lamx3,0,0,87,ENSG00000118785,0.2673611044883728,847,325,KIRC,161,0.8848219953862608,0.8848219953862608,2.06940635486521,6.13731575839149,-1.1845843594789491,False,False
Concrete,nosmooth_lamx3,0,0,1400,ENSG00000122641,0.26357322931289673,835,313,COAD,131,6.272548464326166,6.272548464326166,0.8970466656043234,3.4730379030323397,5.375501798721843,True,True
Concrete,nosmooth_lamx3,0,0,4362,ENSG00000111249,0.2616792917251587,829,226,LGG,149,9.512139433811557,-9.512139433811557,0.8016588196293306,8.808162099186534,8.710480614182226,True,True
Concrete,nosmooth_lamx3,0,0,2514,ENSG00000273132,0.2601010203361511,824,256,HNSC,167,7.823081937811694,7.823081937811694,1.7791795252835811,8.1789723050475,6.043902412528113,True,False
Concrete,nosmooth_lamx3,0,0,1871,ENSG00000105737,0.25726011395454407,815,170,THCA,163,0.5755465975653988,0.5755465975653988,1.8674634356576179,10.22970045428601,-1.291916838092219,False,False
Concrete,nosmooth_lamx3,0,0,1032,ENSG00000053747,0.2537878751754761,804,296,LUAD,146,5.38391662835149,5.38391662835149,0.6627959782864146,2.906541809944149,4.7211206500650755,True,True
Concrete,nosmooth_lamx3,0,0,1621,ENSG00000130164,0.250946968793869,795,310,LUAD,139,1.0429637637789129,1.0429637637789129,0.6166699501078916,3.4013387984597405,0.42629381367102126,True,False
Concrete,nosmooth_lamx3,0,0,2364,ENSG00000166770,0.250946968793869,795,266,LUSC,151,2.3152233353102996,-2.3152233353102996,0.7178428299381181,2.834205419338114,1.5973805053721815,True,False
Concrete,nosmooth_lamx3,0,0,3147,ENSG00000251546,0.24968434870243073,791,277,LUAD,167,0.2385815268331215,-0.2385815268331215,0.8786863827509368,3.2089085316655535,-0.6401048559178153,False,False
Concrete,nosmooth_lamx3,0,0,3743,ENSG00000255198,0.2477904111146927,785,293,HNSC,139,0.643217684255776,-0.643217684255776,0.8389864811157273,2.482407372098733,-0.1957687968599513,False,False
Concrete,nosmooth_lamx3,0,0,4260,ENSG00000114812,0.24589645862579346,779,313,HNSC,156,0.2646091044680716,-0.2646091044680716,0.6283305582393358,3.0745309613766425,-0.3637214537712642,False,False
Concrete,nosmooth_lamx3,0,0,3782,ENSG00000101003,0.23642677068710327,749,188,LGG,154,34.56072813293804,34.56072813293804,1.760397953992444,7.261859310393533,32.80033017894559,True,True
Concrete,nosmooth_lamx3,0,0,4658,ENSG00000232415,0.23453283309936523,743,270,KIRC,159,1.5367445642949584,-1.5367445642949584,1.374272780844991,5.218709952946127,0.16247178344996738,True,False
Concrete,nosmooth_lamx3,0,0,2486,ENSG00000147065,0.23327019810676575,739,184,KIRC,166,0.5582404112865946,0.5582404112865946,1.7085832906117335,4.894211760155527,-1.150342879325139,False,False
Concrete,nosmooth_lamx3,0,0,3923,ENSG00000196405,0.22821970283985138,723,140,PRAD,168,0.4689767384034641,0.4689767384034641,2.3260184556173398,8.307131518581047,-1.8570417172138756,False,False
Concrete,nosmooth_lamx3,0,0,2116,ENSG00000024422,0.2165404111146927,686,230,BRCA,204,7.641294364589786,7.641294364589786,1.1627494684009094,5.31849175772463,6.478544896188877,True,True
Concrete,nosmooth_lamx3,0,0,465,ENSG00000147689,0.21338383853435516,676,244,KIRC,160,4.3441111783471245,4.3441111783471245,1.636175094830311,5.520633928991369,2.707936083516813,True,False
Concrete,nosmooth_lamx3,0,0,1010,ENSG00000175567,0.21275252103805542,674,231,UCEC,168,0.29671048414075085,-0.29671048414075085,1.166055767711483,3.8713760811854248,-0.869345283570732,False,False
Concrete,nosmooth_lamx3,0,0,3310,ENSG00000068489,0.20738635957241058,657,179,LGG,154,20.60602713156005,20.60602713156005,1.9138396984702095,10.59236651862897,18.692187433089842,True,True
Concrete,nosmooth_lamx3,0,0,4615,ENSG00000101282,0.20328283309936523,644,253,HNSC,154,0.030672499887108066,0.030672499887108066,0.639615907322399,2.3400322680245402,-0.608943407435291,False,False
Concrete,nosmooth_lamx3,0,0,374,ENSG00000173267,0.20202019810676575,640,233,BLCA,101,0.9452546837073024,0.9452546837073024,0.7252729739857616,2.0796514772346293,0.21998170972154074,True,False
Concrete,nosmooth_lamx3,0,0,2512,ENSG00000100526,0.2013888955116272,638,144,KIRC,168,49.249523130382094,49.249523130382094,1.751994689624766,8.40908232200995,47.49752844075733,True,True
Concrete,nosmooth_lamx3,0,0,635,ENSG00000262902,0.19633838534355164,622,209,LGG,90,3.5744723583573075,3.5744723583573075,2.171863882770939,6.734476925951757,1.4026084755863684,True,False
Concrete,nosmooth_lamx3,0,0,2144,ENSG00000163286,0.1957070678472519,620,172,COAD,129,0.47763304396769496,-0.47763304396769496,0.5958653498141966,2.572390147543036,-0.11823230584650163,False,False
Concrete,nosmooth_lamx3,0,0,4228,ENSG00000204060,0.19412878155708313,615,173,UCEC,111,1.148225380676748,1.148225380676748,0.5447030013805526,2.089811689334312,0.6035223792961953,True,False
Concrete,nosmooth_lamx3,0,0,2537,ENSG00000236060,0.18813131749629974,596,193,LGG,154,2.996886386858869,2.996886386858869,1.109480502017798,4.526771431481486,1.8874058848410709,True,False
