family,selection,fold,rep,n_genes,fraction_gt_random_median,fraction_gt_random_p90,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p,median_target_minus_random_median
Concrete,nosmooth_lamx3,0,0,351,0.6410256410256411,0.23931623931623933,0.9452546837073024,0.639615907322399,0.33037868723192615
Concrete,nosmooth_lamx3,0,1,315,0.6888888888888889,0.2507936507936508,1.1708180573164468,0.7258606641622136,0.5030117057550145
Concrete,nosmooth_lamx3,1,0,267,0.6704119850187266,0.2546816479400749,1.1434845758208962,0.6519810653851192,0.4186442083237075
Concrete,nosmooth_lamx3,1,1,293,0.6313993174061433,0.2764505119453925,1.0598341235026878,0.5919474197981207,0.41406919885392784
Concrete,nosmooth_lamx3,2,0,309,0.6051779935275081,0.2912621359223301,0.9824017043307491,0.5819965386217278,0.38456684177886225
Concrete,nosmooth_lamx3,2,1,351,0.6552706552706553,0.22792022792022792,1.0554357909604237,0.6673620491575467,0.33458191735738263
Concrete,smooth_lamx3_smooth0p05,0,0,324,0.6851851851851852,0.2654320987654321,1.5129667801416242,0.7929308145938914,0.5759568647243201
Concrete,smooth_lamx3_smooth0p05,0,1,305,0.659016393442623,0.2459016393442623,0.9770164951014642,0.7450290485290825,0.473396611888648
Concrete,smooth_lamx3_smooth0p05,1,0,257,0.7276264591439688,0.30739299610894943,1.4832409902065615,0.6565581558040343,0.9013748426337638
Concrete,smooth_lamx3_smooth0p05,1,1,292,0.6404109589041096,0.2636986301369863,1.0979172654627956,0.6751283306205649,0.37634931950840217
Concrete,smooth_lamx3_smooth0p05,2,0,290,0.6310344827586207,0.25862068965517243,1.0787567086865306,0.686305842703707,0.39240438653071685
Concrete,smooth_lamx3_smooth0p05,2,1,327,0.6207951070336392,0.22629969418960244,1.036772607960398,0.7871019867652065,0.29971324969280533
L-Concrete,nosmooth_lamx3,0,0,150,0.74,0.3,1.2447757548215095,0.5761011574790968,0.6122007468369557
L-Concrete,nosmooth_lamx3,0,1,155,0.6838709677419355,0.33548387096774196,1.614350148996358,0.7098033140520261,0.7259198519297003
L-Concrete,nosmooth_lamx3,1,0,162,0.6481481481481481,0.2777777777777778,0.7975895864135742,0.5445182882737989,0.2942226297573893
L-Concrete,nosmooth_lamx3,1,1,182,0.6758241758241759,0.2857142857142857,0.9259730681036338,0.576443204143763,0.37002012439452736
L-Concrete,nosmooth_lamx3,2,0,134,0.6417910447761194,0.27611940298507465,0.9135834956960754,0.553814910581053,0.34589217800816596
L-Concrete,nosmooth_lamx3,2,1,147,0.6938775510204082,0.3333333333333333,0.9908980549298166,0.5746048023142443,0.5080257562500345
L-Concrete,smooth_lamx3_smooth0p1,0,0,177,0.6497175141242938,0.3050847457627119,1.165358240129048,0.5927163834278312,0.47248982269198614
L-Concrete,smooth_lamx3_smooth0p1,0,1,160,0.725,0.325,1.2976283547609735,0.6935040366730593,0.47938215082486035
L-Concrete,smooth_lamx3_smooth0p1,1,0,132,0.6742424242424242,0.3787878787878788,1.5327901596574889,0.5767591097797902,0.8413196132348024
L-Concrete,smooth_lamx3_smooth0p1,1,1,139,0.7410071942446043,0.3381294964028777,1.2242455979088107,0.5731548306892424,0.5642389858388577
L-Concrete,smooth_lamx3_smooth0p1,2,0,125,0.648,0.232,1.072099248908448,0.5447578374202504,0.48085279877816745
L-Concrete,smooth_lamx3_smooth0p1,2,1,135,0.6518518518518519,0.26666666666666666,0.8310924491536271,0.5798530744192787,0.32033592651314835
L-LSPIN,nosmooth_lamx3,0,0,173,0.5780346820809249,0.2543352601156069,0.9370168396616163,0.5872824440235459,0.31188727159926954
L-LSPIN,nosmooth_lamx3,0,1,137,0.6861313868613139,0.26277372262773724,1.5545073746901528,0.7764504477930628,0.7186211165731651
L-LSPIN,nosmooth_lamx3,1,0,146,0.6575342465753424,0.2876712328767123,1.1539862267704444,0.7672745998149348,0.36839858136318776
L-LSPIN,nosmooth_lamx3,1,1,154,0.7012987012987013,0.22727272727272727,1.20978752012204,0.7550264784978915,0.7073712454984749
L-LSPIN,nosmooth_lamx3,2,0,162,0.6049382716049383,0.2777777777777778,1.0123545760524963,0.6248514236766184,0.3741222097266249
L-LSPIN,nosmooth_lamx3,2,1,126,0.6349206349206349,0.2857142857142857,1.4272683629487128,1.1081375544058112,0.49432909450649065
L-LSPIN,smooth_lamx3_smooth0p15,0,0,142,0.5633802816901409,0.2323943661971831,1.031275807525541,1.0259960002320736,0.24588161814202458
L-LSPIN,smooth_lamx3_smooth0p15,0,1,115,0.6434782608695652,0.2608695652173913,1.5578151685887662,0.9526474330983796,0.7622551716265463
L-LSPIN,smooth_lamx3_smooth0p15,1,0,122,0.5901639344262295,0.28688524590163933,1.1633644762153401,0.8851067418773462,0.3940583341864755
L-LSPIN,smooth_lamx3_smooth0p15,1,1,112,0.6428571428571429,0.35714285714285715,1.3473284475242515,0.7246548556632961,0.5474650620620157
L-LSPIN,smooth_lamx3_smooth0p15,2,0,129,0.6046511627906976,0.27906976744186046,1.196070888727828,0.8617072644297052,0.3839610389471101
L-LSPIN,smooth_lamx3_smooth0p15,2,1,117,0.6581196581196581,0.23931623931623933,1.9099728748318898,1.4064162568958798,0.5407755470968318
LSPIN,nosmooth_lamx3,0,0,499,0.6793587174348698,0.22044088176352705,1.616809014155296,1.1337168633213117,0.5942700329661448
LSPIN,nosmooth_lamx3,0,1,497,0.6257545271629779,0.22334004024144868,1.4834999178004389,1.0590271483594385,0.4715080778253329
LSPIN,nosmooth_lamx3,1,0,495,0.6242424242424243,0.23232323232323232,1.248988381745833,0.8606349266731359,0.44270827427635007
LSPIN,nosmooth_lamx3,1,1,493,0.6592292089249493,0.20892494929006086,1.2062794044947815,0.821387933750025,0.39611749266181784
LSPIN,nosmooth_lamx3,2,0,496,0.655241935483871,0.21370967741935484,1.479442165718106,1.0291854530547282,0.5235765978721665
