family,selection,fold,rep,seed,gate_sigma,lambda_sparse,lambda_sample_smooth,test_cindex,Khard_test_mean,Ksoft_test_mean,n_subset_genes_tested
Concrete,nosmooth_lamx3,0,0,20260407,0.15,0.003,0.0,0.7589882553891004,35.186868686868685,38.83897880622835,351
Concrete,smooth_lamx3_smooth0p05,0,0,20260407,0.12,0.003,0.05,0.7511016957562604,34.43181818181818,39.71792742248738,324
L-Concrete,nosmooth_lamx3,0,0,20260407,0.15,0.0069,0.0,0.7570665267206097,13.76199494949495,15.477102019419574,150
L-Concrete,smooth_lamx3_smooth0p1,0,0,20260407,0.12,0.0069,0.1,0.7605369632133732,13.693497474747474,14.967742423668053,177
L-LSPIN,nosmooth_lamx3,0,0,20260407,0.17,0.0075,0.0,0.7484263365558677,25.806502525252526,25.813471713150392,173
L-LSPIN,smooth_lamx3_smooth0p15,0,0,20260407,0.17,0.0075,0.15,0.7385561699924287,30.19034090909091,30.196799337863922,142
LSPIN,nosmooth_lamx3,0,0,20260407,0.2,0.0021,0.0,0.7523947179314447,128.8169191919192,128.96323269063777,499
LSPIN,smooth_lamx3_smooth0p15,0,0,20260407,0.2,0.0021,0.15,0.7490206013749817,108.6344696969697,108.67141336624069,376
Concrete,nosmooth_lamx3,0,1,20260408,0.15,0.003,0.0,0.7580145483966817,33.31691919191919,38.53060394856665,315
Concrete,smooth_lamx3_smooth0p05,0,1,20260408,0.12,0.003,0.05,0.7604546534496256,31.790719696969695,36.21684953540262,305
L-Concrete,nosmooth_lamx3,0,1,20260408,0.15,0.0069,0.0,0.7516504275145779,13.094381313131313,14.519872624615227,155
L-Concrete,smooth_lamx3_smooth0p1,0,1,20260408,0.12,0.0069,0.1,0.7491262614263173,13.758838383838384,16.336053533498387,160
L-LSPIN,nosmooth_lamx3,0,1,20260408,0.17,0.0075,0.0,0.7478005488485098,30.41635101010101,30.454518015336507,137
L-LSPIN,smooth_lamx3_smooth0p15,0,1,20260408,0.17,0.0075,0.15,0.7414504381389587,20.71212121212121,20.72409284054631,115
LSPIN,nosmooth_lamx3,0,1,20260408,0.2,0.0021,0.0,0.7627534892626622,110.22506313131314,110.38942039133322,497
LSPIN,smooth_lamx3_smooth0p15,0,1,20260408,0.2,0.0021,0.15,0.7622462042648133,122.88857323232324,122.97058353038749,416
Concrete,nosmooth_lamx3,1,0,20261407,0.15,0.003,0.0,0.745097604331447,29.057151878749604,32.769476577691336,267
Concrete,smooth_lamx3_smooth0p05,1,0,20261407,0.12,0.003,0.05,0.7513110128997538,28.983580675718347,32.479971196698884,257
L-Concrete,nosmooth_lamx3,1,0,20261407,0.15,0.0069,0.0,0.7563182700304962,13.144616356173035,14.04359365537184,162
L-Concrete,smooth_lamx3_smooth0p1,1,0,20261407,0.12,0.0069,0.1,0.7502451116293481,14.01610356804547,15.237734767063431,132
L-LSPIN,nosmooth_lamx3,1,0,20261407,0.17,0.0075,0.0,0.7441028066341591,37.83675402589201,37.85570163142617,146
L-LSPIN,smooth_lamx3_smooth0p15,1,0,20261407,0.17,0.0075,0.15,0.7483103116489179,36.630249447426586,36.62944285275622,122
LSPIN,nosmooth_lamx3,1,0,20261407,0.2,0.0021,0.0,0.752517164337318,105.13356488790653,105.25335288883423,495
LSPIN,smooth_lamx3_smooth0p15,1,0,20261407,0.2,0.0021,0.15,0.7481576672809407,97.69561098831701,97.72932172461492,365
Concrete,nosmooth_lamx3,1,1,20261408,0.15,0.003,0.0,0.7514538723723478,31.794442690243134,36.05643684253506,293
Concrete,smooth_lamx3_smooth0p05,1,1,20261408,0.12,0.003,0.05,0.7561838908005675,32.67413956425639,37.082346795446156,292
L-Concrete,nosmooth_lamx3,1,1,20261408,0.15,0.0069,0.0,0.7536633017498655,14.780233659614778,15.937468654393472,182
L-Concrete,smooth_lamx3_smooth0p1,1,1,20261408,0.12,0.0069,0.1,0.755410231738939,13.442374486896115,15.032485546657705,139
L-LSPIN,nosmooth_lamx3,1,1,20261408,0.17,0.0075,0.0,0.7517695983300445,33.68834859488475,33.71302868162829,154
L-LSPIN,smooth_lamx3_smooth0p15,1,1,20261408,0.17,0.0075,0.15,0.7517741646145567,29.275655194190087,29.28112340432671,112
LSPIN,nosmooth_lamx3,1,1,20261408,0.2,0.0021,0.0,0.7605942693129373,112.71834543732238,112.84396694871127,493
LSPIN,smooth_lamx3_smooth0p15,1,1,20261408,0.2,0.0021,0.15,0.7616960485330811,130.50994632143986,130.53713045641192,356
Concrete,nosmooth_lamx3,2,0,20262407,0.15,0.003,0.0,0.7479978297918214,34.06441427218188,37.85940381800823,309
Concrete,smooth_lamx3_smooth0p05,2,0,20262407,0.12,0.003,0.05,0.7487824978954754,32.134512156615095,35.61490501151463,290
L-Concrete,nosmooth_lamx3,2,0,20262407,0.15,0.0069,0.0,0.7556324383679139,12.569308493842753,13.877336171435978,134
L-Concrete,smooth_lamx3_smooth0p1,2,0,20262407,0.12,0.0069,0.1,0.7553096169559002,11.70729396905589,12.914221432143519,125
L-LSPIN,nosmooth_lamx3,2,0,20262407,0.17,0.0075,0.0,0.7552088825371878,26.178718029681086,26.20411674992158,162
L-LSPIN,smooth_lamx3_smooth0p15,2,0,20262407,0.17,0.0075,0.15,0.7460670867665017,32.31038838017051,32.32301241914143,129
LSPIN,nosmooth_lamx3,2,0,20262407,0.2,0.0021,0.0,0.7476166884531847,109.47300284180612,109.63723393648928,496
LSPIN,smooth_lamx3_smooth0p15,2,0,20262407,0.2,0.0021,0.15,0.7474128632550884,96.52668140195769,96.54892150618731,320
Concrete,nosmooth_lamx3,2,1,20262408,0.15,0.003,0.0,0.7518666794695597,37.51215661509315,41.006902135506316,351
Concrete,smooth_lamx3_smooth0p05,2,1,20262408,0.12,0.003,0.05,0.7441557837167231,40.008841174613195,44.905327308806555,327
L-Concrete,nosmooth_lamx3,2,1,20262408,0.15,0.0069,0.0,0.7489421413309786,14.146826649826334,15.866349310313334,147
L-Concrete,smooth_lamx3_smooth0p1,2,1,20262408,0.12,0.0069,0.1,0.7542781200718925,14.830754657404484,16.309937784413567,135
L-LSPIN,nosmooth_lamx3,2,1,20262408,0.17,0.0075,0.0,0.7394919568573924,38.25197347647616,38.27834826265558,126
L-LSPIN,smooth_lamx3_smooth0p15,2,1,20262408,0.17,0.0075,0.15,0.7483754365894507,46.49921060940954,46.512009318634504,117
LSPIN,nosmooth_lamx3,2,1,20262408,0.2,0.0021,0.0,0.7475654376085766,111.60877802336596,111.72431199965433,499
LSPIN,smooth_lamx3_smooth0p15,2,1,20262408,0.2,0.0021,0.15,0.7578244428827009,146.69561098831701,146.73955599727938,482
