family,selection,model_label,top_n,observed_pairs,random_pairs,observed_mean_jaccard,observed_median_jaccard,random_mean_jaccard,random_median_jaccard,observed_mean_overlap_n,random_mean_overlap_n,mannwhitney_p_greater
Concrete,nosmooth_lamx3,Concrete nosmooth,25,15,30000,0.013775510204081631,0.0,0.0026202827230182853,0.0,0.6666666666666666,0.1281,7.0854784001928116e-06
Concrete,nosmooth_lamx3,Concrete nosmooth,50,15,30000,0.01997973137555753,0.02040816326530612,0.005089781762110457,0.0,1.9333333333333333,0.5014333333333333,2.8176242053315774e-06
Concrete,nosmooth_lamx3,Concrete nosmooth,100,15,30000,0.02571656057144117,0.02564102564102564,0.010070831998005883,0.010101010101010102,5.0,1.9844,8.340199166231329e-09
Concrete,nosmooth_lamx3,Concrete nosmooth,200,15,30000,0.04354085828455402,0.04712041884816754,0.02046612066967503,0.02040816326530612,16.666666666666668,8.003433333333334,1.1283963504212809e-10
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,25,15,30000,0.009580498866213151,0.0,0.002550881901223846,0.0,0.4666666666666667,0.12466666666666666,0.00027169370961448066
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,50,15,30000,0.01704243501003442,0.02040816326530612,0.005038481597415981,0.0,1.6666666666666667,0.4963666666666667,3.199521136977018e-07
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,100,15,30000,0.02571694855000698,0.02564102564102564,0.010188246438691505,0.010101010101010102,5.0,2.0072,4.207100973844236e-09
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,200,15,30000,0.0401039988702052,0.03626943005181347,0.020433618955521916,0.02040816326530612,15.4,7.991033333333333,3.627802026488733e-10
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,25,15,30000,0.015136054421768706,0.02040816326530612,0.002559415858541998,0.0,0.7333333333333333,0.12513333333333335,9.749041565541991e-08
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,50,15,30000,0.019118901335396184,0.02040816326530612,0.005008998481666298,0.0,1.8666666666666667,0.4935,7.0353541658302395e-09
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,100,15,30000,0.021151762659364966,0.02040816326530612,0.01016502096307875,0.010101010101010102,4.133333333333334,2.0029333333333335,5.848767133491823e-07
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,25,15,30000,0.005498866213151927,0.0,0.002565910406715878,0.0,0.26666666666666666,0.12543333333333334,0.14593344275489462
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,50,15,30000,0.01641198080815165,0.010101010101010102,0.005024003093786445,0.0,1.6,0.4949,1.4653940298257206e-05
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,100,15,30000,0.018104541772008913,0.015228426395939087,0.010094952460995482,0.010101010101010102,3.533333333333333,1.9891,0.0007795314514309518
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,25,15,30000,0.008219954648526076,0.0,0.002514865272350075,0.0,0.4,0.12293333333333334,0.0035703666407017978
