family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000276170,3,BRCA,3,1.0,0.6258288621902466,1982.0,12.385248644035109,2.8544968259047785,9.530751818130328,1.0,ENSG00000276170,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000204655,3,LGG,3,1.0,0.0871487185359001,276.0,0.5055554309780539,2.36053688278493,-2.3528755233748897,0.3333333333333333,ENSG00000204655,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000168078,3,KIRC,2,0.6666666666666666,0.2797600328922272,886.0,33.52517488545633,1.831340241164217,31.693834644292117,1.0,ENSG00000168078,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000088325,3,LGG,2,0.6666666666666666,0.1508838385343551,478.0,18.145208241925047,1.550443842688647,17.323174185402458,1.0,ENSG00000088325,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000114737,3,BRCA,2,0.6666666666666666,0.5329965353012085,1688.0,18.205246480542804,1.963131232779372,16.242115247763433,1.0,ENSG00000114737,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000243566,3,BRCA,2,0.6666666666666666,0.4834227859973907,1531.0,15.714969010761498,1.292527582920753,14.25462575508142,1.0,ENSG00000243566,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000243566,3,BRCA,2,0.6666666666666666,0.5595200657844543,1772.0,14.910484700709526,1.3114482397339382,13.290816774925169,1.0,ENSG00000243566,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000141756,3,LGG,2,0.6666666666666666,0.2005052119493484,635.0,13.772883174904884,1.5490721880310985,12.223810986873785,1.0,ENSG00000141756,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000198431,3,LGG,2,0.6666666666666666,0.4057467579841614,1285.0,8.31646493978602,2.1132796935913785,7.095634282118976,1.0,ENSG00000198431,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000100612,3,BRCA,2,0.6666666666666666,0.1900852471590042,602.0,5.496785688645621,0.98459676850624,4.708910818661815,1.0,ENSG00000100612,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000105854,3,LGG,2,0.6666666666666666,0.1319444477558136,418.0,5.315860475814699,1.3562386972447888,3.9596217785699097,1.0,ENSG00000105854,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000102924,3,LGG,2,0.6666666666666666,0.190401017665863,603.0,3.1541926879166056,1.9191258703958975,1.6229239677380018,1.0,ENSG00000102924,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000158488,3,KIRC,2,0.6666666666666666,0.1294600516557693,410.0,2.0788977880159503,1.033873482183168,0.4889790631820141,1.0,ENSG00000158488,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000174371,3,LGG,1,0.3333333333333333,0.2096621394157409,664.0,36.85978917106471,1.4231059198830578,35.43668325118165,1.0,ENSG00000174371,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000011426,3,THCA,1,0.3333333333333333,0.352699726819992,1117.0,27.27405434650745,2.9678361097077275,24.171201559769624,1.0,ENSG00000011426,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000145386,3,KIRC,1,0.3333333333333333,0.2131354659795761,675.0,18.720888769378387,2.0475866086434724,16.673302160734913,1.0,ENSG00000145386,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000107984,3,LUSC,1,0.3333333333333333,0.411616176366806,1304.0,10.96633546571013,0.9530655631753272,10.013269902534804,1.0,ENSG00000107984,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000141756,3,SARC,1,0.3333333333333333,0.1032196953892707,327.0,10.200987750977305,2.618311120811893,7.551267039572318,0.6666666666666666,ENSG00000141756,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000254560,3,UCEC,1,0.3333333333333333,0.3868013918399811,1225.0,6.438648378222927,1.0627179003836442,5.375930477839282,1.0,ENSG00000254560,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000136574,3,KIRC,1,0.3333333333333333,0.1682980805635452,533.0,5.845132696126156,1.0245415757400047,4.820591120386151,0.6666666666666666,ENSG00000136574,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000229891,3,LGG,1,0.3333333333333333,0.1626144647598266,515.0,4.300182827771914,0.9319287518259134,3.8544319306509793,0.6666666666666666,ENSG00000229891,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000243566,3,BRCA,1,0.3333333333333333,0.1531417816877365,485.0,5.158426212485234,0.926612063687243,3.777061126956065,0.6666666666666666,ENSG00000243566,,,False
