model,tumor_type,gene_symbol,ensembl_id,refit_recurrence,same_top_gated_tumor_across_refits,median_gate_rate,median_selected_patients,median_cox_signal_neglog10p,median_random_signal_neglog10p,median_gated_gene_advantage_neglog10p,fraction_refits_beating_random_median,top100_refit_overlap_vs_random_for_model,curated_tumor_gene_note
LSPIN smooth,BRCA,ENSG00000276170,ENSG00000276170,3/6,3/3,0.6258288621902466,1982.0,12.385248644035109,2.8544968259047785,9.530751818130328,1.0,2.7 vs 2.0; p=0.022,
L-Concrete nosmooth,LGG,ENSG00000133048,ENSG00000133048,2/6,2/2,0.1090937815606594,345.5,31.664988806136694,1.3119409640980328,30.353047842038663,1.0,4.1 vs 2.0; p=5.8e-07,
Concrete nosmooth,KIRC,ENSG00000066279,ENSG00000066279,2/6,2/2,0.3692176043987274,1169.5,31.00548229500089,2.8224499516284176,28.183032343372467,1.0,5.0 vs 2.0; p=8.3e-09,
LSPIN nosmooth,BRCA,ENSG00000106366,ENSG00000106366,2/6,2/2,0.7559204399585724,2394.0,29.33745366767645,1.935646100598051,27.4018075670784,1.0,2.6 vs 2.0; p=0.139,
Concrete nosmooth,LGG,ENSG00000013810,ENSG00000013810,2/6,2/2,0.27533943951129913,872.0,29.684032137429064,3.250792744488812,26.43323939294025,1.0,5.0 vs 2.0; p=8.3e-09,
LSPIN smooth,BRCA,ENSG00000227036,ENSG00000227036,2/6,2/2,0.8381794393062592,2655.0,28.67304480176315,3.004660979724241,25.66838382203891,1.0,2.7 vs 2.0; p=0.022,
LSPIN nosmooth,BRCA,ENSG00000227036,ENSG00000227036,2/6,2/2,0.73050557076931,2314.0,26.42796470132543,2.024794381379826,24.403170319945602,1.0,2.6 vs 2.0; p=0.139,
L-Concrete smooth,BRCA,ENSG00000196177,ENSG00000196177,2/6,2/2,0.22604238986968989,716.0,24.38581988038287,2.8133414962604792,21.57247838412239,1.0,3.5 vs 2.0; p=7.8e-04,
L-Concrete nosmooth,BRCA,ENSG00000171791,ENSG00000171791,2/6,2/2,0.2293382994830608,726.5,23.038832924236168,1.9767349995810215,21.062097924655145,1.0,4.1 vs 2.0; p=5.8e-07,
L-Concrete smooth,LGG,ENSG00000157456,ENSG00000157456,2/6,2/2,0.1793495416641235,568.0,19.013046916817878,2.1933312657944186,16.819715651023458,1.0,3.5 vs 2.0; p=7.8e-04,
LSPIN smooth,BRCA,ENSG00000141526,ENSG00000141526,2/6,2/2,0.7970053255558014,2524.5,18.342242406223438,1.816543114291965,16.52569929193147,1.0,2.7 vs 2.0; p=0.022,
L-Concrete smooth,KIRC,ENSG00000145386,ENSG00000145386,2/6,2/2,0.21771392971277234,689.5,17.24985255999609,1.6006060910457847,15.649246468950302,1.0,3.5 vs 2.0; p=7.8e-04,
LSPIN smooth,BRCA,ENSG00000249242,ENSG00000249242,2/6,2/2,0.6770271956920624,2144.5,18.152237623587702,3.1792804371605987,14.972957186427104,1.0,2.7 vs 2.0; p=0.022,
L-Concrete nosmooth,LGG,ENSG00000072274,ENSG00000072274,2/6,2/2,0.18326459825038904,580.5,15.941174245385898,1.4432555066340742,14.497918738751824,1.0,4.1 vs 2.0; p=5.8e-07,
LSPIN smooth,BRCA,ENSG00000178935,ENSG00000178935,2/6,2/2,0.6133565008640289,1942.5,13.992191541019718,1.7238366158031049,12.268354925216613,1.0,2.7 vs 2.0; p=0.022,
L-LSPIN smooth,LGG,ENSG00000172380,ENSG00000172380,2/6,2/2,0.1692453399300575,536.0,13.102318605266433,0.8756785381088126,12.226640067157621,1.0,4.3 vs 2.0; p=2.6e-05,
LSPIN nosmooth,BRCA,ENSG00000126460,ENSG00000126460,2/6,2/2,0.726239338517189,2300.5,14.816557988334662,2.9158279416623705,11.900730046672289,1.0,2.6 vs 2.0; p=0.139,
LSPIN smooth,BRCA,ENSG00000198431,ENSG00000198431,2/6,2/2,0.8615408837795258,2728.5,14.916893328346662,3.091028150313841,11.82586517803282,1.0,2.7 vs 2.0; p=0.022,
LSPIN smooth,BRCA,ENSG00000228952,ENSG00000228952,2/6,2/2,0.9515314102172852,3013.5,14.08317062685752,2.4529024373877384,11.63026818946978,1.0,2.7 vs 2.0; p=0.022,
L-Concrete smooth,LGG,ENSG00000123080,ENSG00000123080,2/6,2/2,0.14997125416994095,475.0,12.621254010514935,1.4060429840563315,11.215211026458604,1.0,3.5 vs 2.0; p=7.8e-04,
LSPIN smooth,BRCA,ENSG00000070404,ENSG00000070404,2/6,2/2,0.542065292596817,1717.0,12.273244222409577,1.4828388291206813,10.790405393288896,1.0,2.7 vs 2.0; p=0.022,
L-Concrete nosmooth,LGG,ENSG00000173391,ENSG00000173391,2/6,2/2,0.1734532788395881,549.5,11.23936354238543,0.9936245882380581,10.245738954147372,1.0,4.1 vs 2.0; p=5.8e-07,
L-Concrete nosmooth,UCEC,ENSG00000234287,ENSG00000234287,2/6,2/2,0.20314837992191315,643.5,11.114448125510878,0.937669067603541,10.176779057907336,1.0,4.1 vs 2.0; p=5.8e-07,
L-Concrete nosmooth,BRCA,ENSG00000127084,ENSG00000127084,2/6,2/2,0.24763257801532745,784.5,10.743596479625339,1.9088543778496634,8.834742101775678,1.0,4.1 vs 2.0; p=5.8e-07,
L-Concrete smooth,BRCA,ENSG00000127084,ENSG00000127084,2/6,2/2,0.2902462109923363,919.5,10.437850016048962,1.80789964823117,8.629950367817791,1.0,3.5 vs 2.0; p=7.8e-04,
