model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
Concrete,0.12,0.001,0.0,0.7424756816186889,0.0029744253954676,185.12826029459637,27.98129285463376,0.9535754055647764,0.0087118461319376,434.6666666666667,352.6666666666667,3,185.13316853841147,27.99121048475313
Concrete,0.12,0.001,0.05,0.7426045008852579,0.0041794018302756,195.37761433919272,20.411028624430145,0.9506823124406628,0.0173982927472286,454.8333333333333,374.3333333333333,12,195.38135274251303,20.41423584944785
Concrete,0.12,0.001,0.1,0.7448844271487104,0.0044131835633249,206.42090352376303,25.598636683026253,0.948779244560872,0.0093708441586555,437.3333333333333,371.0,3,206.42928059895837,25.60726131620589
Concrete,0.12,0.001,0.15,0.7392875295959769,0.0058979207090571,185.72594197591147,23.879911343041336,0.940713256145052,0.0031865459686437,395.0,332.3333333333333,3,185.72858174641928,23.87418784035048
Concrete,0.12,0.0012,0.0,0.7383044089142933,0.004266468978483,148.80194091796875,21.108637941656475,0.9318689920325468,0.0135062256656803,348.0,288.3333333333333,3,148.80712890625,21.097657004504736
Concrete,0.12,0.0012,0.05,0.7402830079398605,0.0051527604073345,161.67227681477866,6.181604192129473,0.933733041645628,0.0189258043282909,345.6666666666667,290.3333333333333,3,161.67756144205728,6.181048155484673
Concrete,0.12,0.0012,0.1,0.7392538268808861,0.0029300939534434,144.75809733072916,11.80271061573747,0.9262988859525988,0.0246494697693053,273.6666666666667,244.0,3,144.7568359375,11.800926831118726
Concrete,0.12,0.0012,0.15,0.744402852797525,0.0012199314640082,166.04197692871094,15.999678304058916,0.9471252521005744,0.0023032711654729,390.3333333333333,335.6666666666667,3,166.04143269856772,16.00318306459053
Concrete,0.12,0.0014,0.0,0.7364344075262407,0.0050602960975692,127.75131479899088,20.275722247305016,0.9295123678268212,0.0081380787090027,306.6666666666667,253.0,3,127.7552719116211,20.27236091274466
Concrete,0.12,0.0014,0.05,0.7413868342715171,0.0074140395335446,119.32537841796876,10.707677544970949,0.9349762958002468,0.0083851612493227,347.6666666666667,277.6666666666667,3,119.32557678222656,10.71469427683821
